plot,date,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,latitude,longitude,accuracy,elevation,soil,location,comment,alliance,observer
adx01,2017-11-15,,,,,,,,,,,,16,16,S,,,,,47.691697,13.145583,10,,,"Adnet, Guggenberg","planned, easy",Caprinion betuli,R. Kaiser
adx02,2017-11-15,,,,,,,,,,,,16,16,S,,,,,47.691864,13.145933,10,,,"Adnet, Guggenberg","planned, easy",Caprinion betuli,R. Kaiser
adx03,2017-11-15,,,,,,,,,,,,16,16,S,,,,,47.692472,13.149083,10,,,"Adnet, Guggenberg","planned, easy",Caprinion betuli,R. Kaiser
adx04,2017-11-15,,,,,,,,,,,,25,10,S,,,,,47.692403,13.144269,10,,,"Adnet, Guggenberg","planned, easy",Caprinion betuli,R. Kaiser
adx05,2017-11-15,,,,,,,,,,,,25,10,S,,,,,47.692561,13.143872,10,,,"Adnet, Guggenberg","planned, easy",Caprinion betuli,R. Kaiser
adx06,2017-11-15,,,,,,,,,,,,25,10,S,,,,,47.692531,13.143669,10,,,"Adnet, Guggenberg","planned, easy",Caprinion betuli,R. Kaiser
adx07,2017-11-15,,,,,,,,,,,,25,10,S,,,,,47.692869,13.142697,10,,,"Adnet, Guggenberg","planned, easy",Caprinion betuli,R. Kaiser
adx08,2017-11-15,,,,,,,,,,,,25,10,S,,,,,47.693175,13.141797,10,,,"Adnet, Guggenberg","planned, easy",Caprinion betuli,R. Kaiser
adx09,2017-11-15,,,,,,,,,,,,25,10,S,,,,,47.693422,13.141369,10,,,"Adnet, Guggenberg","planned, easy",Caprinion betuli,R. Kaiser
adx10,2017-11-15,,,,,,,,,,,,25,10,S,,,,,47.693875,13.140536,10,,,"Adnet, Guggenberg","planned, easy",Caprinion betuli,R. Kaiser
adx11,2017-11-15,,,,,,,,,,,,25,10,S,,,,,47.693947,13.140294,10,,,"Adnet, Guggenberg","planned, easy",Caprinion betuli,R. Kaiser
adx12,2017-11-15,,,,,,,,,,,,25,10,S,,,,,47.694189,13.139614,10,,,"Adnet, Guggenberg","planned, easy",Caprinion betuli,R. Kaiser
