plot,abbr,layer,cover,voucher,comment,history
ai01,aego poda,hl,+,,,
ai01,arrh elat,hl,1,,,
ai01,caly sepi,hl,1,,,
ai01,care briz,hl,1,,,
ai01,care hirt,hl,1,,,
ai01,cent jace jace,hl,+,,,
ai01,cera holo,hl,+,,,
ai01,chae hirs,hl,2a,,,
ai01,crep bien,hl,1,,,
ai01,dact glom glom,hl,2a,,,
ai01,equi arve,hl,1,,,
ai01,fest rubr rubr,hl,1,,,
ai01,gali albu,hl,+,,,
ai01,gera phae phae,hl,+,,,
ai01,hera spho spho,hl,1,,,
ai01,holc lana,hl,+,,,
ai01,homa pube pube,hl,2b,,,
ai01,lath prat prat,hl,+,,,
ai01,lotu corn,hl,+,,,
ai01,phle prat,hl,1,,,
ai01,pimp majo majo,hl,+,,,
ai01,poa triv,hl,2a,,,
ai01,ranu acri acri,hl,+,,,
ai01,rhin alec alec,hl,+,,,
ai01,rume acet osa,hl,+,,,
ai01,rume obtu obtu,hl,+,,,
ai01,tara sect rude,hl,+,,,
ai01,trif prat prat,hl,+,,,
ai01,tris flav flav,hl,+,,,
ai01,vero cham cham,hl,+,,,
ai01,vici crac,hl,1,,,
ai01,vici sepi,hl,1,,,
ai02,aego poda,hl,1,,,
ai02,arrh elat,hl,1,,,
ai02,caly sepi,hl,1,,,
ai02,crep bien,hl,1,,,
ai02,dact glom glom,hl,2b,,,
ai02,elyt repe,hl,2b,,,
ai02,equi arve,hl,1,,,
ai02,gali albu,hl,+,,,
ai02,hera spho spho,hl,2a,,,
ai02,lath prat prat,hl,+,,,
ai02,ment long,hl,+,,,
ai02,phle prat,hl,2b,,,
ai02,poa triv,hl,2b,,,
ai02,ranu acri acri,hl,1,,,
ai02,ranu repe,hl,+,,,
ai02,rume obtu obtu,hl,1,,,
ai02,tara sect rude,hl,+,,,
ai02,trif prat prat,hl,+,,,
ai02,tris flav flav,hl,+,,,
ai02,urti dioi dioi,hl,2a,,,
ai02,vero cham cham,hl,+,,,
ai02,vici sepi,hl,1,,,
ai03,alop prat,hl,1,,,
ai03,arrh elat,hl,+,,,
ai03,caly sepi,hl,+,,,
ai03,card prat,hl,+,,,
ai03,care acut rmis,hl,5,,,
ai03,care briz,hl,+,,,
ai03,care rand,hl,1,,,
ai03,dact glom glom,hl,1,,,
ai03,equi palu,hl,+,,,
ai03,fili ulma ulma,hl,2a,,,
ai03,gali albu,hl,+,,,
ai03,geum riva,hl,+,,,
ai03,holc lana,hl,1,,,
ai03,lath prat prat,hl,+,,,
ai03,lyth sali,hl,+,,,
ai03,pers bist,hl,2a,,,
ai03,phle prat,hl,2a,,,
ai03,poa triv,hl,2a,,,
ai03,ranu acri acri,hl,+,,,
ai03,scir sylv,hl,+,,,
ai04,alop prat,hl,+,,,
ai04,anth odor,hl,+,,,
ai04,camp patu patu,hl,r,,,
ai04,care briz,hl,2b,,,
ai04,care rand,hl,5,,,
ai04,cera holo,hl,+,,,
ai04,crep bien,hl,+,,,
ai04,crep palu,hl,+,,,
ai04,dact glom glom,hl,+,,,
ai04,equi palu,hl,+,,,
ai04,fili ulma ulma,hl,2a,,,
ai04,gali albu,hl,+,,,
ai04,gali palu palu,hl,2m,,,
ai04,geum riva,hl,+,,,
ai04,holc lana,hl,+,,,
ai04,homa pube pube,hl,+,,,
ai04,lath prat prat,hl,+,,,
ai04,lyth sali,hl,+,,,
ai04,pers bist,hl,1,,,
ai04,phle prat,hl,1,,,
ai04,poa prat,hl,+,,,
ai04,poa triv,hl,2a,,,
ai04,ranu acri acri,hl,+,,,
ai04,rume acet osa,hl,+,,,
ai05,anth odor,hl,1,,,
ai05,caly sepi,hl,+,,,
ai05,care briz,hl,4,,,
ai05,crep palu,hl,2b,,,
ai05,dact glom glom,hl,1,,,
ai05,equi palu,hl,+,,,
ai05,fest prat prat,hl,+,,,
ai05,fest rubr rubr,hl,+,,,
ai05,fili ulma ulma,hl,2a,,,
ai05,gali albu,hl,+,,,
ai05,geum riva,hl,+,,,
ai05,holc lana,hl,2a,,,
ai05,homa pube pube,hl,+,,,
ai05,lath prat prat,hl,1,,,
ai05,lyth sali,hl,+,,,
ai05,pers bist,hl,1,,,
ai05,phle prat,hl,2a,,,
ai05,poa triv,hl,2m,,,
ai05,ranu acri acri,hl,+,,,
ai05,scir sylv,hl,+,,,
ai05,tara sect rude,hl,r,,,
ai05,tris flav flav,hl,+,,,
ai05,vici sepi,hl,1,,,
ai06,anth odor,hl,1,,,
ai06,arrh elat,hl,2b,,,
ai06,caly sepi,hl,+,,,
ai06,care briz,hl,1,,,
ai06,care rand,hl,+,,,
ai06,cent jace jace,hl,+,,,
ai06,cera holo,hl,+,,,
ai06,crep bien,hl,1,,,
ai06,dact glom glom,hl,2a,,,
ai06,fall japo,hl,+,,,
ai06,fest rubr rubr,hl,2a,,,
ai06,gali albu,hl,2a,,,
ai06,hera spho spho,hl,1,,,
ai06,holc lana,hl,1,,,
ai06,homa pube pube,hl,1,,,
ai06,lath prat prat,hl,1,,,
ai06,lotu corn,hl,+,,,
ai06,luzu mult,hl,+,,,
ai06,medi lupu,hl,+,,,
ai06,phle prat,hl,2a,,,
ai06,plan lanc,hl,+,,,
ai06,poa prat,hl,2a,,,
ai06,ranu acri acri,hl,+,,,
ai06,rume acet osa,hl,+,,,
ai06,trif prat prat,hl,2b,,,
ai06,tris flav flav,hl,2b,,,
ai06,vero cham cham,hl,+,,,
ai07,alop prat,hl,3,,,
ai07,arrh elat,hl,1,,,
ai07,caly sepi,hl,+,,,
ai07,care rand,hl,+,,,
ai07,cera holo,hl,+,,,
ai07,chae hirs,hl,+,,,
ai07,crep bien,hl,2a,,,
ai07,dact glom glom,hl,2a,,,
ai07,fili ulma ulma,hl,+,,,
ai07,gali albu,hl,1,,,
ai07,gali apar,hl,+,,,
ai07,glec hede,hl,+,,,
ai07,hera spho spho,hl,2b,,,
ai07,holc lana,hl,1,,,
ai07,lath prat prat,hl,1,,,
ai07,pers bist,hl,+,,,
ai07,phle prat,hl,2b,,,
ai07,poa triv,hl,2m,,,
ai07,ranu acri acri,hl,+,,,
ai07,rume acet osa,hl,+,,,
ai07,urti dioi dioi,hl,+,,,
ai07,vici crac,hl,+,,,
ai07,vici sepi,hl,1,,,
ai08,anth odor,hl,2a,,,
ai08,care briz,hl,5,,,
ai08,dact glom glom,hl,1,,,
ai08,equi palu,hl,+,,,
ai08,fili ulma ulma,hl,+,,,
ai08,gali albu,hl,1,,,
ai08,geum riva,hl,1,,,
ai08,holc lana,hl,2b,,,
ai08,lath prat prat,hl,+,,,
ai08,lotu corn,hl,1,,,
ai08,pers bist,hl,2a,,,
ai08,phle prat,hl,1,,,
ai08,poa prat,hl,2b,,,
ai08,poa triv,hl,1,,,
ai08,pote erec,hl,+,,,
ai08,ranu acri acri,hl,+,,,
ai08,rhin alec alec,hl,+,,,
ai08,rume acet osa,hl,1,,,
ai08,vero cham cham,hl,1,,,
ai09,agro stol,hl,1,,,
ai09,anth odor,hl,2a,,,
ai09,card prat,hl,+,,,
ai09,care echi,hl,+,,,
ai09,care elat,hl,1,,,
ai09,care lepo,hl,+,,,
ai09,care pall,hl,+,,,
ai09,care pani,hl,+,,,
ai09,cera holo,hl,+,,,
ai09,cirs rivu,hl,1,,,
ai09,dact glom glom,hl,1,,,
ai09,desc cesp,hl,+,,,
ai09,equi palu,hl,+,,,
ai09,erio angu,hl,+,,,
ai09,fest prat prat,hl,+,,,
ai09,fest rubr rubr,hl,+,,,
ai09,fili ulma ulma,hl,1,,,
ai09,gali albu,hl,+,,,
ai09,gali palu palu,hl,1,,,
ai09,geum riva,hl,+,,,
ai09,holc lana,hl,3,,,
ai09,hype macu,hl,+,,,
ai09,junc effu,hl,2a,,,
ai09,junc fili,hl,+,,,
ai09,lath prat prat,hl,+,,,
ai09,luzu mult,hl,+,,,
ai09,lyth sali,hl,+,,,
ai09,moli caer,hl,2b,,,
ai09,myos palu aggr,hl,+,,,
ai09,pers bist,hl,2b,,,
ai09,phle prat,hl,+,,,
ai09,plan lanc,hl,+,,,
ai09,poa prat,hl,1,,,
ai09,poa triv,hl,+,,,
ai09,pote erec,hl,1,,,
ai09,ranu acri acri,hl,+,,,
ai09,ranu repe,hl,+,,,
ai09,scir sylv,hl,1,,,
ai09,stel gram,hl,+,,,
ai09,trif repe repe,hl,+,,,
ai09,vale dioi dioi,hl,+,,,
ai09,vero cham cham,hl,+,,,
ai10,ajug rept,hl,+,,,
ai10,anth odor,hl,2b,,,
ai10,beto offi offi,hl,+,,,
ai10,caly sepi,hl,+,,,
ai10,care acut rmis,hl,+,,,
ai10,care briz,hl,4,,,
ai10,care elat,hl,+,,,
ai10,care pall,hl,+,,,
ai10,care rand,hl,2a,,,
ai10,crep bien,hl,+,,,
ai10,cyno cris,hl,2a,,,
ai10,dact glom glom,hl,1,,,
ai10,equi arve,hl,+,,,
ai10,fest prat prat,hl,1,,,
ai10,fest rubr rubr,hl,1,,,
ai10,fili ulma ulma,hl,+,,,
ai10,gali albu,hl,2a,,,
ai10,geum riva,hl,+,,,
ai10,glec hede,hl,+,,,
ai10,holc lana,hl,1,,,
ai10,homa pube pube,hl,2a,,,
ai10,hype macu,hl,+,,,
ai10,lath prat prat,hl,1,,,
ai10,lotu corn,hl,+,,,
ai10,luzu mult,hl,+,,,
ai10,pers bist,hl,2b,,,
ai10,phle prat,hl,1,,,
ai10,pimp majo majo,hl,+,,,
ai10,plan lanc,hl,+,,,
ai10,poa triv,hl,2a,,,
ai10,ranu acri acri,hl,+,,,
ai10,stel gram,hl,+,,,
ai10,tris flav flav,hl,1,,,
ai11,ange sylv sylv,hl,r,,,
ai11,care acut a,hl,2a,,,
ai11,care flac,hl,+,,,
ai11,care flav flav,hl,1,,,
ai11,care nigr,hl,2a,,,
ai11,care pani,hl,2a,,,
ai11,cirs oler,hl,r,,,
ai11,dact maja slat,hl,+,,,
ai11,equi palu,hl,1,,,
ai11,fili ulma ulma,hl,+,,,
ai11,junc arti,hl,1,,,
ai11,junc effu,hl,+,,,
ai11,junc infl,hl,+,,,
ai11,linu cath,hl,+,,,
ai11,lotu corn,hl,+,,,
ai11,lysi numm,hl,1,,,
ai11,lyth sali,hl,+,,,
ai11,ment vert,hl,+,,cf.,
ai11,moli caer,hl,3,,,
ai11,pote erec,hl,2a,,,
ai11,prun vulg,hl,1,,,
ai11,ranu acri acri,hl,+,,,
ai11,ranu spec ies,hl,+,,,
ai11,trif hybr hybr,hl,+,,,
ai11,vale dioi dioi,hl,+,,,
