plot,abbr,layer,cover,voucher,comment,history
wiai01,achi mill,hl,+,,,
wiai01,agro capi,hl,1,,,
wiai01,alch mont,hl,+,,,
wiai01,anth odor,hl,2b,,,
wiai01,arrh elat,hl,1,,,
wiai01,bell pere,hl,+,,,
wiai01,briz medi,hl,1,,,
wiai01,camp patu patu,hl,+,,,
wiai01,care muri sstr,hl,+,,,
wiai01,care pall,hl,1,,,
wiai01,care sylv,hl,+,,,
wiai01,cent jace jace,hl,1,,,
wiai01,cera holo,hl,+,,,
wiai01,crep bien,hl,r,,,
wiai01,cyno cris,hl,1,,,
wiai01,dact glom glom,hl,1,,,
wiai01,dauc caro caro,hl,1,,,
wiai01,dian cart cart,hl,2a,,,
wiai01,fest stri trac,hl,+,,,
wiai01,fest prat prat,hl,1,,,
wiai01,fest rubr rubr,hl,2a,,,
wiai01,gali albu,hl,1,,,
wiai01,gali veru,hl,1,,,
wiai01,glec hede,hl,+,,,
wiai01,holc lana,hl,2a,,,
wiai01,homa pube pube,hl,1,,,
wiai01,koel pyra pyra,hl,+,,,
wiai01,leon hisp hisp,hl,1,,,
wiai01,leuc ircu,hl,2a,,,
wiai01,loli pere,hl,+,,,
wiai01,lotu corn,hl,1,,,
wiai01,luzu camp,hl,+,,,
wiai01,lysi nemo,hl,+,,,
wiai01,medi lupu,hl,+,,,
wiai01,oeno bien aggr,hl,r,,,
wiai01,phle prat,hl,1,,,
wiai01,plan lanc,hl,1,,,
wiai01,plan medi,hl,+,,,
wiai01,poa angu,hl,1,,,
wiai01,poa prat,hl,2m,,,
wiai01,prun vulg,hl,+,,,
wiai01,ranu acri acri,hl,1,,,
wiai01,rhin alec alec,hl,+,,,
wiai01,rhin mino,hl,2a,,,
wiai01,salv prat prat,hl,2a,,,
wiai01,sang mino mino,hl,+,,,
wiai01,sile vulg vulg,hl,+,,,
wiai01,trif prat prat,hl,2b,,,
wiai01,trif repe repe,hl,1,,,
wiai01,tris flav flav,hl,2b,,,
wiai01,verb nigr,hl,+,,,
wiai01,vero cham cham,hl,+,,,
wiai01,vero serp serp,hl,+,,,
wiai01,vici sepi,hl,+,,,
wiai02,agro capi,hl,1,,,
wiai02,anth odor,hl,2a,,,
wiai02,arrh elat,hl,2b,,,
wiai02,bell pere,hl,+,,,
wiai02,briz medi,hl,2a,,,
wiai02,caly sepi,hl,r,,,
wiai02,camp patu patu,hl,1,,,
wiai02,care muri sstr,hl,+,,,
wiai02,cera holo,hl,+,,,
wiai02,crep bien,hl,r,,,
wiai02,cyno cris,hl,r,,,
wiai02,dact glom glom,hl,1,,,
wiai02,dian cart cart,hl,1,,,
wiai02,fest stri trac,hl,+,,,
wiai02,fest rubr rubr,hl,2a,,,
wiai02,gali albu,hl,1,,,
wiai02,gali veru,hl,+,,,
wiai02,glec hede,hl,+,,,
wiai02,holc lana,hl,1,,,
wiai02,lath prat prat,hl,+,,,
wiai02,leon hisp hisp,hl,1,,,
wiai02,leuc ircu,hl,+,,,
wiai02,loli pere,hl,1,,,
wiai02,lotu corn,hl,1,,,
wiai02,medi lupu,hl,+,,,
wiai02,oeno bien aggr,hl,r,,,
wiai02,phle prat,hl,1,,,
wiai02,plan lanc,hl,2a,,,
wiai02,plan medi,hl,+,,,
wiai02,poa angu,hl,2m,,,
wiai02,poa prat,hl,1,,,
wiai02,ranu acri acri,hl,+,,,
wiai02,rhin alec alec,hl,+,,,
wiai02,rhin mino,hl,+,,,
wiai02,sang mino mino,hl,r,,,
wiai02,scab colu,hl,r,,,
wiai02,sile vulg vulg,hl,r,,,
wiai02,trif prat prat,hl,2b,,,
wiai02,tris flav flav,hl,2b,,,
wiai02,verb nigr,hl,+,,,
wiai02,verb thap,hl,r,,,
wiai02,vero cham cham,hl,+,,,
wiai02,vici sepi,hl,+,,,
wiai03,achi mill,hl,+,,,
wiai03,agro capi,hl,1,,,
wiai03,alop prat,hl,2b,,,
wiai03,anth odor,hl,3,,,
wiai03,arrh elat,hl,r,,,
wiai03,briz medi,hl,+,,,
wiai03,camp patu patu,hl,r,,,
wiai03,cent jace jace,hl,3,,,
wiai03,cera holo,hl,+,,,
wiai03,cyno cris,hl,r,,,
wiai03,fest prat prat,hl,1,,,
wiai03,fest rubr rubr,hl,2a,,,
wiai03,gali albu,hl,+,,,
wiai03,holc lana,hl,1,,,
wiai03,leon hisp hisp,hl,2a,,,
wiai03,loli pere,hl,+,,,
wiai03,luzu camp,hl,2a,,,
wiai03,luzu mult,hl,1,,,
wiai03,lych flos cucu,hl,+,,,
wiai03,pimp majo majo,hl,+,,,
wiai03,plan lanc,hl,2b,,,
wiai03,poa angu,hl,2m,,,
wiai03,prun vulg,hl,2a,,,
wiai03,ranu acri acri,hl,2a,,,
wiai03,ranu repe,hl,1,,,
wiai03,rhin alec alec,hl,+,,,
wiai03,rhin mino,hl,+,,,
wiai03,rume acet osa,hl,1,,,
wiai03,tara sect rude,hl,1,,,
wiai03,trif prat prat,hl,1,,,
wiai03,trif repe repe,hl,1,,,
wiai03,tris flav flav,hl,2a,,,
wiai03,vero cham cham,hl,1,,,
wiai03,vero serp serp,hl,+,,,
wiai04,achi mill,hl,+,,,
wiai04,ajug rept,hl,+,,,
wiai04,alch mont,hl,r,,,
wiai04,alop prat,hl,1,,,
wiai04,anth odor,hl,2a,,,
wiai04,arrh elat,hl,1,,,
wiai04,briz medi,hl,+,,,
wiai04,care cary,hl,1,,,
wiai04,care muri sstr,hl,+,,,
wiai04,care pall,hl,+,,,
wiai04,care sylv,hl,+,,,
wiai04,cent jace jace,hl,3,,,
wiai04,cera holo,hl,+,,,
wiai04,cyno cris,hl,1,,,
wiai04,dact glom glom,hl,1,,,
wiai04,fest prat prat,hl,1,,,
wiai04,fest rubr rubr,hl,2a,,,
wiai04,gali albu,hl,1,,,
wiai04,holc lana,hl,+,,,
wiai04,homa pube pube,hl,2b,,,
wiai04,knau arve arve,hl,1,,,
wiai04,leon hisp hisp,hl,2a,,,
wiai04,leuc ircu,hl,+,,,
wiai04,lotu corn,hl,1,,,
wiai04,luzu camp,hl,2a,,,
wiai04,luzu mult,hl,+,,,
wiai04,phle prat,hl,+,,,
wiai04,pimp majo majo,hl,+,,,
wiai04,plan lanc,hl,2b,,,
wiai04,poa angu,hl,1,,,
wiai04,poa prat,hl,+,,,
wiai04,pote erec,hl,+,,,
wiai04,prun vulg,hl,+,,,
wiai04,ranu acri acri,hl,2b,,,
wiai04,ranu repe,hl,+,,,
wiai04,rume acet osa,hl,+,,,
wiai04,tara sect rude,hl,+,,,
wiai04,trif prat prat,hl,1,,,
wiai04,tris flav flav,hl,2b,,,
wiai04,vero cham cham,hl,+,,,
