taxon,matched.taxon
Silene alpina,Silene vulgaris ssp. glareosa
Rumex scutatus,Rumex scutatus
Festuca laxa,Festuca laxa
Athamanta cretensis,Athamanta cretensis
Scrophularia Hoppei,Scrophularia juratensis
blank,NA
Poa minor,Poa minor
Ranunculus hybridus,Ranunculus hybridus
Linaria alpina,Linaria alpina ssp. alpina
Valeriana montana,Valeriana montana
Juncus monanthos,Juncus monanthos
blank,NA
Cerastium carinthiacum,Cerastium carinthiacum ssp. austroalpinum
Thlaspi rotundifolium,Noccaea rotundifolia ssp. rotundifolia
Moehringia ciliata,Moehringia ciliata
blank,NA
Campanula cochleariifolia,Campanula cochleariifolia
Dryopteris Robertiana,Gymnocarpium robertianum
Trisetum argenteum,Trisetum argenteum
Adenostyles glabra,Adenostyles alpina
Achillea atrata,Achillea atrata
Arabis alpina,Arabis alpina ssp. alpina
blank,NA
Achillea clavenae,Achillea clavennae
Veronica lutea,Paederota lutea
Biscutella laevigata,Biscutella laevigata ssp. laevigata
