plot;abbr;layer;cov;voucher;comment;history
aw01;alli lusi;hl;2a;;;
aw01;aspl ruta;hl;+;;;
aw01;cala vari;hl;1;;;
aw01;card defl viri;hl;+;;;
aw01;care mucr;hl;2a;;;
aw01;care orni orni;hl;+;;;
aw01;clin alpi alpi;hl;+;;;
aw01;erys sylv;hl;+;;;
aw01;euph cypa;hl;+;;;
aw01;gali anis;hl;1;;;
aw01;glob cord;hl;1;;;
aw01;gyps repe;hl;2a;;;
aw01;heli numm obsc;hl;+;;;
aw01;juni comm comm;hl;1;;;
aw01;lase lati lati;hl;r;;;
aw01;leon hisp dubi;hl;+;;;
aw01;lotu corn slat;hl;+;;;
aw01;poa moli;hl;1;####-0144;;
aw01;poly cham;hl;2a;;;
aw01;poly odor;hl;+;;;
aw01;rosa micr;hl;+;####-0147;;
aw01;rosa tome;hl;r;;;
aw01;saxi pani;hl;+;;;
aw01;sesl caer;hl;2b;;;
aw01;sile nuta nuta;hl;+;;;
aw01;teuc mont;hl;2a;;;
aw01;thes alpi;hl;+;;;
aw01;thym prae prae;hl;2b;;;
aw01;vale offi tenu;hl;r;;;
aw01;vinc hiru;hl;+;;;
aw01;amel oval;sl;r;;;
aw01;rosa cani;sl;r;;;
aw02;alli lusi;hl;1;;;
aw02;berb vulg;hl;+;;;
aw02;cala vari;hl;3;;;
aw02;card defl viri;hl;+;;;
aw02;care orni orni;hl;+;;;
aw02;clin alpi alpi;hl;1;;;
aw02;crep alpe;hl;+;;;
aw02;erys sylv;hl;+;;;
aw02;euph cypa;hl;1;;;
aw02;frag vesc;hl;1;;;
aw02;gali anis;hl;1;;;
aw02;glob cord;hl;1;;;
aw02;gyps repe;hl;2a;;;
aw02;heli numm obsc;hl;+;####-0148;;
aw02;juni sabi;hl;2a;;;
aw02;lase lati lati;hl;+;;;
aw02;leon hisp dubi;hl;+;####-0143;;
aw02;poa moli;hl;2a;;;
aw02;poly odor;hl;+;;;
aw02;rham cath;hl;+;;;
aw02;rosa rubi;hl;1;####-0142;Griffelkanal 1,5mm; ungerieben nach Apfel duftend, Wuchs aufrecht, Kelchblätter abstehend bis aufrecht, junge Frucht aufrecht, reife Früchte fehlend
aw02;sesl caer;hl;2b;;;
aw02;teuc mont;hl;+;;;
aw02;thym prae prae;hl;+;####-0145;;
aw02;vinc hiru;hl;1;;;
aw02;berb vulg;sl;1;;;
aw02;popu trem;sl;+;;;
aw02;rham cath;sl;+;;;
aw02;rosa rubi;sl;+;####-0149;gesamte Pflanze (eventuell Wildverbiss)!, Griffelkanal 1,5mm, Nabenköpfchen wollig, sehr schwach nach Apfel duftend (Drüsen in Behaarung), Wuchs aufrecht, Kelchblätter abstehend bis zurück geschlagen;
aw03;alli lusi;hl;1;;;
aw03;amel oval;hl;+;;;
aw03;aspl ruta;hl;+;;;
aw03;berb vulg;hl;+;;;
aw03;cala vari;hl;2a;;;
aw03;card defl viri;hl;+;;;
aw03;clin alpi alpi;hl;1;;;
aw03;crep alpe;hl;+;;;
aw03;echi vulg;hl;+;;;
aw03;euph cypa;hl;1;;;
aw03;glob cord;hl;1;;;
aw03;gyps repe;hl;2b;;;
aw03;heli numm obsc;hl;1;;;
aw03;juni sabi;hl;2a;;;
aw03;lase lati lati;hl;1;;;
aw03;orob alba;hl;r;####-0150;;
aw03;poa moli;hl;1;;;
aw03;poly odor;hl;+;;;
aw03;rosa cani;hl;+;####-0146;;
aw03;rosa tome;hl;+;;;
aw03;rosa vill;hl;+;;;
aw03;saxi pani;hl;+;;;
aw03;sesl caer;hl;2b;;;
aw03;sile nuta nuta;hl;+;;;
aw03;sorb aria;hl;+;;;
aw03;teuc mont;hl;2a;;;
aw03;thym prae prae;hl;2a;;;
aw03;vinc hiru;hl;2a;;;
aw03;amel oval;sl;1;;;
aw03;berb vulg;sl;1;;;
aw03;popu trem;sl;1;;;
aw03;rham cath;sl;2a;;;
aw04;acer pseu;hl;1;;;
aw04;achi mill;hl;+;;;
aw04;agro stol;hl;+;;;
aw04;ange sylv sylv;hl;+;;;
aw04;anth vuln alpi;hl;+;;;
aw04;arrh elat;hl;+;;;
aw04;briz medi;hl;+;;;
aw04;cala vari;hl;1;;;
aw04;camp sche;hl;+;2014-0227;;
aw04;camp trac;hl;+;;;
aw04;care alba;hl;+;;;
aw04;care flac;hl;2b;;;
aw04;care orni orni;hl;+;;;
aw04;clin vulg vulg;hl;+;;;
aw04;dact glom glom;hl;+;;;
