plot;variable;value
aa01a;altitude;384
aa01b;altitude;386
aa01c;altitude;389
aa01d;altitude;387
aa01e;altitude;388
aa02a;altitude;387
aa02b;altitude;383
aa02c;altitude;390
aa02d;altitude;389
aa02e;altitude;389
aa02f;altitude;385
aa03a;altitude;380
aa03b;altitude;379
aa03c;altitude;380
aa03d;altitude;375
aa03e;altitude;383
aa04a;altitude;393
aa04b;altitude;387
aa04c;altitude;391
aa01a;comment;
aa01b;comment;
aa01c;comment;
aa01d;comment;
aa01e;comment;
aa02a;comment;
aa02b;comment;
aa02c;comment;
aa02d;comment;
aa02e;comment;
aa02f;comment;
aa03a;comment;
aa03b;comment;
aa03c;comment;
aa03d;comment;
aa03e;comment;
aa04a;comment;
aa04b;comment;
aa04c;comment;
aa01a;cov;100
aa01b;cov;100
aa01c;cov;100
aa01d;cov;100
aa01e;cov;98
aa02a;cov;100
aa02b;cov;100
aa02c;cov;95
aa02d;cov;100
aa02e;cov;100
aa02f;cov;97
aa03a;cov;98
aa03b;cov;98
aa03c;cov;85
aa03d;cov;95
aa03e;cov;100
aa04a;cov;100
aa04b;cov;100
aa04c;cov;100
aa01a;date;2010-05-11
aa01b;date;2010-05-11
aa01c;date;2010-05-11
aa01d;date;2010-05-18
aa01e;date;2010-05-18
aa02a;date;2010-05-11
aa02b;date;2010-05-11
aa02c;date;2010-05-11
aa02d;date;2010-05-11
aa02e;date;2010-05-11
aa02f;date;2010-05-11
aa03a;date;2010-05-11
aa03b;date;2010-05-11
aa03c;date;2010-05-11
aa03d;date;2010-05-18
aa03e;date;2010-05-18
aa04a;date;2010-05-11
aa04b;date;2010-05-11
aa04c;date;2010-05-11
aa01a;expo;F
aa01b;expo;F
aa01c;expo;F
aa01d;expo;F
aa01e;expo;F
aa02a;expo;F
aa02b;expo;F
aa02c;expo;N
aa02d;expo;F
aa02e;expo;F
aa02f;expo;F
aa03a;expo;F
aa03b;expo;F
aa03c;expo;F
aa03d;expo;F
aa03e;expo;F
aa04a;expo;F
aa04b;expo;F
aa04c;expo;F
aa01a;hcov;100
aa01b;hcov;100
aa01c;hcov;100
aa01d;hcov;100
aa01e;hcov;98
aa02a;hcov;100
aa02b;hcov;100
aa02c;hcov;50
aa02d;hcov;80
aa02e;hcov;100
aa02f;hcov;97
aa03a;hcov;98
aa03b;hcov;95
aa03c;hcov;85
