abbr,layer,taxon,V-002,V-003,V-004
saxi muta,hl,Saxifraga mutata,1,2,+
peta para,hl,Petasites paradoxus,2,2,1
camp coch,hl,Campanula cochleariifolia,1,2,1
agro giga,hl,Agrostis gigantea,1,+,1
sesl caer,hl,Sesleria varia,+,+,2
bell mich,hl,Aster bellidiastrum,+,+,+
saxi aizo,hl,Saxifraga aizoides,1,.,2
care ferr,hl,Carex ferruginea,2,2,.
brac sylv,hl,Brachypodium sylvaticum,+,+,.
chae vill,hl,Chaerophyllum villarsii,+,+,.
achn cala,hl,Achnatherum calamagrostis,r,+,.
cala vari,hl,Calamagrostis varia,.,+,2
vale mont,hl,Valeriana montana,.,+,+
card defl slat,hl,Carduus defloratus,.,.,1
rhin glac,hl,Rhinanthus aristatus,.,.,1
frag vesc,hl,Fragaria vesca,2,.,.
ange sylv slat,hl,Angelica sylvestris,.,.,+
buph sali,hl,Buphthalmum salicifolium,.,.,+
care flac,hl,Carex flacca,.,.,+
care semp semp,hl,Carex sempervirens,r,.,+
eric carn,hl,Erica herbacea,.,.,+
gali anis,hl,Galium anisophyllum,.,.,+
pote erec,hl,Potentilla erecta,.,.,+
rubu saxa,hl,Rubus saxatilis,.,.,+
thym prae poly,hl,Thymus praecox subsp. polytrichus,.,.,+
tofi caly,hl,Tofieldia calyculata,.,.,+
euph sali,hl,Euphrasia salisburgensis,.,.,r
fest amet amet,hl,Festuca amethystina,.,.,r
gymn cono cono,hl,Gymnadenia conopsea,.,.,r
lili mart,hl,Lilium martagon,.,.,r
thes alpi,hl,Thesium alpinum,.,.,r
eupa cann,hl,Eupatorium cannabinum,+,.,.
gera robe,hl,Geranium robertianum,+,.,.
lysi nemo,hl,Lysimachia nemorum,+,.,.
prun vulg,hl,Prunella vulgaris,+,.,.
vero urti,hl,Veronica urticifolia,+,.,.
care firm,hl,Carex firma,r,.,.
rubu sect rubu,hl,Rubus fruticosus s. lat.,r,.,.
pren purp,hl,Prenanthes purpurea,.,+,.
aden alpi,hl,Adenostyles glabra,.,r,.
hier muro,hl,Hieracium murorum,.,r,.
acer pseu,hl,Acer pseudoplatanus,1,r,+
frax exce,hl,Fraxinus excelsior,+,+,.
pice abie,hl,Picea abies,+,.,+
sali appe,hl,Salix appendiculata,+,.,+
sali elea elea,hl,Salix eleagnos,.,.,+
loni alpi,hl,Lonicera alpigena,.,r,.
