plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;litter;stones;date;latitude;longitude;accuracy;alliance.code;alliance;association;soil;comment;location;observer
hraw01;80;0;0;0;35;50;0;0;0;0,8;0,1;4;4;F;0;0;0;20;0;2022-07-15;48.096398;13.544039;10;ART-01B;Dauco-Melilotion Görs ex Rostański et Gutte 1971;;;fomer putting green;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
hraw02;93;0;0;0;93;1;0;0;0;0,3;0,2;4;4;NE;5;0;0;7;0;2022-07-16;48.098161;13.541894;10;;unclassified;;;;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
hraw03;85;0;0;0;85;0;0;0;0;0,4;0,2;4;4;SE;5;0;0;15;0;2022-07-16;48.097993;13.541236;10;;unclassified;;;;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
hraw04;25;0;0;0;25;0;0;0;0;0,2;0,1;4;4;NE;5;0;0;75;0;2022-07-16;48.097860;13.541085;10;;unclassified;;;;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
hraw05;97;0;0;1;93;1;0;0;1,3;0,6;0,2;4;4;F;0;0;0;3;0;2022-07-16;48.097716;13.539793;10;ART-01B;Dauco-Melilotion Görs ex Rostański et Gutte 1971;;;fomer putting green;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
hraw06;90;0;0;0;90;1;0;0;0;0,7;0,25;4;4;F;0;0;0;10;0;2022-07-16;48.097355;13.541036;10;;unclassified;;;;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
hraw07;45;0;0;0;15;30;0;0;0;0,8;0,2;4;4;F;0;0;55;0;0;2022-07-16;48.097488;13.540987;10;;unclassified;;;former bunker hazard;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
hraw08;97;0;0;0;97;0;0;0;0;0,4;0,2;4;4;F;0;0;0;3;0;2022-07-16;48.097140;13.541622;10;;unclassified;;;;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
hraw09;93;0;0;0;93;0;0;0;0;0,4;0,2;4;4;NE;5;0;0;7;0;2022-07-16;48.097056;13.543307;10;;unclassified;;;;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
hraw10;93;0;0;0;90;0;0;0;0;0,55;0,1;4;4;NNE;7;0;0;7;0;2022-07-16;48.096875;13.544174;10;;unclassified;;;;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
hraw11;100;0;0;0;99;40;0;0;0;0,8;0,25;4;4;E;20;0;0;0;0;2022-07-16;48.096135;13.543733;10;MOL-05A;Molinion caeruleae Koch 1926;;;;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
hraw12;96;0;0;0;96;10;0;0;0;0,6;0,15;4;4;NE;3;0;3;1;0;2022-07-16;48.096545;13.544916;10;;unclassified;;;;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
hraw13;93;0;0;0;93;3;0;0;0;0,35;0,1;4;4;F;0;0;0;7;0;2022-07-16;48.096562;13.546688;10;;unclassified;;;;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
hraw14;80;0;0;0;80;1;0;0;0;0,35;0,15;4;4;F;0;0;0;20;0;2022-07-16;48.096496;13.547628;10;ART-01B;Dauco-Melilotion Görs ex Rostański et Gutte 1971;;;fomer putting green;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
hraw15;95;0;0;0;95;30;0;0;0;0,75;0,35;4;4;N;15;0;0;5;0;2022-07-16;48.096125;13.547874;10;MOL-05A;Molinion caeruleae Koch 1926;;;;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
hraw16;97;0;0;0;97;1;0;0;0;0,8;0,25;4;4;N;4;0;0;3;0;2022-07-16;48.096517;13.548961;10;;unclassified;;;;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
hraw17;97;0;0;0;97;1;0;0;0;0,55;0,2;4;4;E;7;0;0;3;0;2022-07-16;48.096912;13.550076;10;;unclassified;;;;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
hraw18;95;0;0;0;95;10;0;0;0;0,75;0,2;4;4;NE;30;0;0;5;0;2022-07-16;48.097335;13.550182;10;MOL-05A;Molinion caeruleae Koch 1926;;;;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
hraw19;20;0;0;0;20;1;0;0;0;0,25;0,05;4;4;NE;3;0;80;0;0;2022-07-16;48.097398;13.550444;10;;unclassified;;;former bunker hazard;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
hraw20;98;0;0;0;98;3;0;0;0;1,1;0,3;4;4;NE;5;0;0;2;0;2022-07-16;48.097786;13.550332;10;MOL-05A;Molinion caeruleae Koch 1926;;;;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
hraw21;99;0;0;0;99;10;0;0;0;1;0,25;4;4;NE;7;0;0;1;0;2022-07-16;48.097799;13.550868;10;MOL-05A;Molinion caeruleae Koch 1926;;;;Ampflwang im Hausruckwald, ehemaliger Golfplatz Aldania Club Hotel (vormals Robinson Club Ampflwamg);T. Eberl & R. Kaiser
