plot,abbr,layer,cover,voucher,comment,history
hraw01,achi mill aggr,hl,2a,,,
hraw01,agro capi,hl,+,,,
hraw01,agro stol,hl,1,,,
hraw01,betu pend,hl,+,,,
hraw01,bryu arge,ml,3,,,
hraw01,camp patu patu,hl,r,,,
hraw01,cera holo,hl,1,,,
hraw01,chen albu slat,hl,r,,,
hraw01,epil parv,hl,+,,,
hraw01,epil tetr lamy,hl,1,,,
hraw01,erig cana,hl,+,,,
hraw01,fest nigr cens,hl,1,,,
hraw01,fest rubr aggr,hl,1,,,
hraw01,hypo radi,hl,+,,,
hraw01,lact serr,hl,+,,,
hraw01,poa prat,hl,r,,,
hraw01,prun vulg,hl,+,,,
hraw01,sagi sagi ides,hl,1,,,
hraw01,sali capr,hl,r,,,
hraw01,sene vulg,hl,2a,,,
hraw01,stel gram,hl,1,,,
hraw01,tara sect rude,hl,2a,,,
hraw01,trif dubi,hl,+,,,
hraw01,vero arve,hl,+,,,
hraw01,vero cham cham,hl,+,,,
hraw02,acer pseu,hl,r,,,
hraw02,acer sacc,hl,r,,,
hraw02,call cusp,ml,+,,,
hraw02,care hirt,hl,r,,,
hraw02,cera holo,hl,+,,,
hraw02,fest rubr aggr,hl,4,,,
hraw02,frax exce,hl,r,,,
hraw02,poa prat,hl,4,,,
hraw02,tara sect rude,hl,r,,,
hraw03,agro capi,hl,3,,,
hraw03,carp betu,hl,r,,,
hraw03,cera holo,hl,+,,,
hraw03,chen poly,hl,+,,,
hraw03,fest rubr aggr,hl,4,,,
hraw03,loli pere,hl,1,,,
hraw03,prun vulg,hl,+,,,
hraw03,tara sect rude,hl,+,,,
hraw03,vici sepi,hl,+,,,
hraw04,agro stol,hl,3,,,
hraw04,card prat,hl,r,,,
hraw04,carp betu,hl,r,,,
hraw04,cera holo,hl,r,,,
hraw04,chen poly,hl,r,,,
hraw04,loli pere,hl,1,,,
hraw04,sile dioi,hl,r,,,
hraw04,tara sect rude,hl,r,,,
hraw04,urti dioi dioi,hl,r,,,
hraw05,agro stol,hl,3,,,
hraw05,alnu glut,sl,r,,,
hraw05,bryu arge,ml,+,,,
hraw05,camp patu patu,hl,2a,,,
hraw05,cera holo,hl,2a,,,
hraw05,cirs palu,hl,+,,,
hraw05,epil angu,hl,+,,,
hraw05,epil parv,hl,1,,,
hraw05,epil tetr lamy,hl,2a,,,
hraw05,fest nigr cens,hl,1,,,
hraw05,fest rubr aggr,hl,2b,,,
hraw05,frag vesc,hl,+,,,
hraw05,hype tetr,hl,+,,,
hraw05,hypo radi,hl,2b,,,
hraw05,loli pere,hl,+,,,
hraw05,poa prat,hl,1,,,
hraw05,prun vulg,hl,+,,,
hraw05,sali capr,hl,r,,,
hraw05,stel gram,hl,2a,,,
hraw05,tara sect rude,hl,+,,,
hraw05,trif repe repe,hl,+,,,
hraw05,vero arve,hl,+,,,
hraw05,vero cham cham,hl,1,,,
hraw06,alch spec ies,hl,r,,,
hraw06,anth odor,hl,1,,,
hraw06,call cusp,ml,+,,,
hraw06,care hirt,hl,5,,,
hraw06,care lepo,hl,1,,,
hraw06,cirs palu,hl,r,,,
hraw06,fest rubr aggr,hl,2b,,,
hraw06,junc cong,hl,r,,,
hraw06,junc effu,hl,+,,,
hraw06,phle prat,hl,+,,,
hraw06,ranu repe,hl,2b,,,
hraw06,stel gram,hl,+,,,
hraw06,vero cham cham,hl,r,,,
hraw07,achi mill aggr,hl,r,,,
hraw07,alnu glut,hl,+,,,
hraw07,betu pend,hl,1,,,
hraw07,bryu arge,ml,3,,,
hraw07,cala epig,hl,+,,,
hraw07,camp patu patu,hl,r,,,
hraw07,care hirt,hl,+,,,
hraw07,carp betu,hl,+,,,
hraw07,cera purp,ml,2a,,,
hraw07,clim dend,ml,r,,,
hraw07,erig annu annu,hl,r,,,
hraw07,erig cana,hl,r,,,
hraw07,fest nigr cens,hl,1,,,
hraw07,gali ulig,hl,+,,,
hraw07,holc lana,hl,+,,,
hraw07,hypo radi,hl,+,,,
hraw07,lotu corn,hl,+,,,
hraw07,pice abie,hl,+,,,
hraw07,prun vulg,hl,r,,,
hraw07,sagi sagi ides,hl,1,,,
hraw07,sali alba,hl,+,,,
hraw07,sali capr,hl,1,,,
hraw07,sali purp,hl,1,,,
hraw07,tara sect rude,hl,r,,,
hraw07,trif dubi,hl,r,,,
hraw07,vero serp serp,hl,r,,,
hraw08,agro capi,hl,+,,,
hraw08,agro stol,hl,5,,,
hraw08,alop geni,hl,1,,,
hraw08,carp betu,hl,r,,,
hraw08,cera holo,hl,+,,,
hraw08,fest rubr aggr,hl,1,,,
hraw08,glyc flui,hl,+,,,
hraw08,holc lana,hl,r,,,
hraw08,loli pere,hl,2a,,,
hraw08,lyth sali,hl,r,,,
hraw08,poa prat,hl,1,,,
hraw08,poa triv,hl,+,,,
hraw08,ranu repe,hl,1,,,
hraw08,tara sect rude,hl,+,,,
hraw08,trif repe repe,hl,+,,,
hraw09,acer pseu,hl,r,,,
hraw09,agro stol,hl,+,,,
hraw09,alch spec ies,hl,+,,,
hraw09,arrh elat,hl,r,,,
hraw09,card prat,hl,+,,,
hraw09,care lepo,hl,1,,,
hraw09,cera holo,hl,1,,,
hraw09,fest rubr aggr,hl,4,,,
hraw09,frax exce,hl,r,,,
hraw09,prun vulg,hl,+,,,
hraw09,stel gram,hl,2a,,,
hraw09,tara sect rude,hl,1,,,
hraw09,trif dubi,hl,+,,,
hraw09,vero cham cham,hl,3,,,
hraw09,vero serp serp,hl,r,,,
hraw10,anth odor,hl,+,,,
hraw10,call cusp,ml,1,,,
hraw10,card prat,hl,r,,,
hraw10,care hirt,hl,+,,,
hraw10,care lepo,hl,1,,,
hraw10,cera holo,hl,1,,,
hraw10,fest rubr aggr,hl,5,,,
hraw10,geum urba,hl,r,,,
hraw10,holc lana,hl,+,,,
hraw10,hype macu,hl,+,,,
hraw10,hypo radi,hl,r,,,
hraw10,junc effu,hl,r,,,
hraw10,lych flos cucu,hl,r,,,
hraw10,plan lanc,hl,+,,,
hraw10,plan majo slat,hl,r,,,
hraw10,prun vulg,hl,+,,,
hraw10,ranu acri acri,hl,+,,,
hraw10,ranu repe,hl,2a,,,
hraw10,stel gram,hl,1,,,
