plot,abbr,layer,cover,voucher,comment,history
abaa01,agro capi,hl,+,,,
abaa01,ajug rept,hl,r,,,
abaa01,alch mont,hl,2a,,,
abaa01,alop prat,hl,+,,,
abaa01,anth odor,hl,2b,,,
abaa01,briz medi,hl,1,,,
abaa01,calt palu,hl,+,,,
abaa01,care echi,hl,1,,,
abaa01,care flav flav,hl,+,,,
abaa01,care lepi,hl,+,,,
abaa01,care lepo,hl,2m,,,
abaa01,care nigr,hl,+,,,
abaa01,care pall,hl,+,,,
abaa01,care pani,hl,2a,,,
abaa01,caru carv,hl,1,,,
abaa01,cera holo,hl,+,,,
abaa01,cyno cris,hl,1,,,
abaa01,dact maja maja,hl,r,,,
abaa01,fest prat prat,hl,2a,,,
abaa01,fest rubr rubr,hl,2a,,,
abaa01,gali palu palu,hl,r,,,
abaa01,gali ulig,hl,+,,,
abaa01,gera sylv,hl,r,,,
abaa01,holc lana,hl,+,,,
abaa01,junc effu,hl,+,,,
abaa01,lath prat prat,hl,+,,,
abaa01,leon hisp hisp,hl,2a,,,
abaa01,lotu corn,hl,+,,,
abaa01,luzu mult,hl,+,,,
abaa01,lych flos cucu,hl,+,,,
abaa01,myos palu aggr,hl,1,,,
abaa01,phle prat,hl,r,,,
abaa01,plan lanc,hl,1,,,
abaa01,poa triv,hl,+,,,
abaa01,prun vulg,hl,1,,,
abaa01,ranu acri acri,hl,+,,,
abaa01,ranu nemo,hl,+,,,
abaa01,ranu repe,hl,+,,,
abaa01,rhin mino,hl,1,,,
abaa01,rume acet osa,hl,+,,,
abaa01,stel gram,hl,+,,,
abaa01,tara sect rude,hl,r,,,
abaa01,trif dubi,hl,2b,,,
abaa01,trif prat prat,hl,2a,,,
abaa01,trif repe repe,hl,+,,,
abaa01,tris flav flav,hl,1,,,
abaa01,trol euro,hl,1,,,
abaa01,vero cham cham,hl,r,,,
abaa02,agro capi,hl,+,,,
abaa02,ajug rept,hl,+,,,
abaa02,alch mont,hl,1,,,
abaa02,anem nemo,hl,r,,,
abaa02,anth odor,hl,2b,,,
abaa02,briz medi,hl,2a,,,
abaa02,care echi,hl,2m,,,
abaa02,care flav flav,hl,+,,,
abaa02,care lepi,hl,1,,,
abaa02,care lepo,hl,2a,,,
abaa02,care nigr,hl,1,,,
abaa02,care pall,hl,1,,,
abaa02,care pani,hl,2b,,,
abaa02,cera holo,hl,+,,,
abaa02,cyno cris,hl,1,,,
abaa02,dact maja maja,hl,1,,,
abaa02,fest prat prat,hl,2a,,,
abaa02,fest rubr rubr,hl,2b,,,
abaa02,gali ulig,hl,1,,,
abaa02,holc lana,hl,2a,,,
abaa02,junc arti,hl,r,,,
abaa02,junc effu,hl,+,,,
abaa02,lath prat prat,hl,+,,,
abaa02,leon hisp hisp,hl,2b,,,
abaa02,lotu corn,hl,+,,,
abaa02,luzu mult,hl,+,,,
abaa02,lych flos cucu,hl,1,,,
abaa02,myos palu aggr,hl,1,,,
abaa02,phle prat,hl,+,,,
abaa02,plan lanc,hl,2a,,,
abaa02,poa triv,hl,+,,,
abaa02,prun vulg,hl,1,,,
abaa02,ranu acri acri,hl,+,,,
abaa02,ranu repe,hl,r,,,
abaa02,rume acet osa,hl,+,,,
abaa02,trif dubi,hl,2a,,,
abaa02,trif prat prat,hl,2a,,,
abaa02,trif repe repe,hl,+,,,
abaa02,tris flav flav,hl,1,,,
abaa02,trol euro,hl,+,,,
abaa02,vale dioi dioi,hl,+,,,
abaa02,vera albu albu,hl,r,,,
abaa02,vero cham cham,hl,+,,,
abaa02,vici crac,hl,+,,,
abaa02,will stip stip,hl,+,,,
abaa03,alch mont,hl,+,,,
abaa03,anth odor,hl,1,,,
abaa03,briz medi,hl,2b,,,
abaa03,calt palu,hl,1,,,
abaa03,care dava,hl,2a,,,
abaa03,care echi,hl,2a,,,
abaa03,care flav flav,hl,1,,,
abaa03,care lepi,hl,+,,,
abaa03,care lepo,hl,1,,,
abaa03,care nigr,hl,1,,,
abaa03,care pall,hl,+,,,
abaa03,care pani,hl,3,,,
abaa03,cera holo,hl,r,,,
abaa03,cirs palu,hl,r,,,
abaa03,cyno cris,hl,1,,,
abaa03,dact maja maja,hl,1,,,
abaa03,fest prat prat,hl,+,,,
abaa03,fest rubr rubr,hl,2a,,,
abaa03,gali palu palu,hl,+,,,
abaa03,holc lana,hl,2a,,,
abaa03,junc arti,hl,+,,,
abaa03,junc effu,hl,1,,,
abaa03,lath prat prat,hl,+,,,
abaa03,leon hisp hisp,hl,1,,,
abaa03,lych flos cucu,hl,1,,,
abaa03,myos palu aggr,hl,1,,,
abaa03,plan lanc,hl,+,,,
abaa03,poa triv,hl,+,,,
abaa03,pote erec,hl,+,,,
abaa03,prun vulg,hl,1,,,
abaa03,ranu acri acri,hl,1,,,
abaa03,ranu flam,hl,r,,,
abaa03,rume acet osa,hl,+,,,
abaa03,scir sylv,hl,+,,,
abaa03,trif prat prat,hl,1,,,
abaa03,trif repe repe,hl,+,,,
abaa03,trol euro,hl,+,,,
abaa03,vale dioi dioi,hl,2b,,,
abaa03,vici crac,hl,r,,,
abaa03,will stip stip,hl,1,,,
abaa04,ajug rept,hl,r,,,
abaa04,anth odor,hl,+,,,
abaa04,care dava,hl,1,,,
abaa04,care echi,hl,1,,,
abaa04,care flav flav,hl,+,,,
abaa04,care lepi,hl,1,,,
abaa04,care nigr,hl,2b,,,
abaa04,care pall,hl,+,,,
abaa04,care pani,hl,3,,,
abaa04,cirs palu,hl,r,,,
abaa04,dact maja maja,hl,1,,,
abaa04,epil palu,hl,r,,,
abaa04,epil parv,hl,+,,,
abaa04,epil spec ies,hl,+,,,
abaa04,erio lati,hl,r,,,
abaa04,gali palu palu,hl,1,,,
abaa04,holc lana,hl,+,,,
abaa04,junc arti,hl,2m,,,
abaa04,junc effu,hl,1,,,
abaa04,junc infl,hl,1,,,
abaa04,lath prat prat,hl,+,,,
abaa04,lych flos cucu,hl,+,,,
abaa04,ment long,hl,1,,,
abaa04,myos palu aggr,hl,+,,,
abaa04,poa triv,hl,+,,,
abaa04,pote erec,hl,1,,,
abaa04,ranu acri acri,hl,+,,,
abaa04,ranu flam,hl,+,,,
abaa04,scir sylv,hl,3,,,
abaa04,vale dioi dioi,hl,2b,,,
abaa04,vero becc,hl,r,,,
abaa04,vici crac,hl,r,,,
abaa05,ajug rept,hl,+,,,
abaa05,alch glab,hl,+,,cf,
abaa05,anth odor,hl,+,,,
abaa05,briz medi,hl,+,,,
abaa05,care dava,hl,2b,,,
abaa05,care echi,hl,2b,,,
abaa05,care lepi,hl,+,,,
abaa05,care nigr,hl,2a,,,
abaa05,care pani,hl,2a,,,
abaa05,care pani pani,hl,1,,,
abaa05,cirs palu,hl,r,,,
abaa05,dact macu slat,hl,1,,,
abaa05,equi palu,hl,r,,,
abaa05,erio lati,hl,3,,,
abaa05,fest prat prat,hl,+,,,
abaa05,fest rubr rubr,hl,+,,,
abaa05,gali palu palu,hl,+,,,
abaa05,gali ulig,hl,+,,,
abaa05,geum riva,hl,r,,,
abaa05,holc lana,hl,+,,,
abaa05,hype tetr,hl,r,,,
abaa05,junc arti,hl,+,,,
abaa05,junc effu,hl,+,,,
abaa05,lath prat prat,hl,+,,,
abaa05,leon hisp hisp,hl,1,,,
abaa05,ment vert,hl,r,,cf,
abaa05,pote erec,hl,2a,,,
abaa05,prim elat,hl,r,,,
abaa05,prun vulg,hl,+,,,
abaa05,ranu acri acri,hl,+,,,
abaa05,scir sylv,hl,2a,,,
abaa05,trif prat prat,hl,+,,,
abaa05,vale dioi dioi,hl,2b,,,
abaa05,vero becc,hl,r,,,
abaa05,will stip stip,hl,1,,,
abaa06,ajug rept,hl,+,,,
abaa06,alch glab,hl,r,,,
abaa06,anth odor,hl,+,,,
abaa06,briz medi,hl,1,,,
abaa06,care dava,hl,2a,,,
abaa06,care echi,hl,2b,,,
abaa06,care flac,hl,+,,,
abaa06,care nigr,hl,2a,,,
abaa06,care pani,hl,1,,,
abaa06,care pani pani,hl,+,,,
abaa06,cirs palu,hl,r,,,
abaa06,dact maja maja,hl,1,,,
abaa06,erio lati,hl,3,,,
abaa06,fest rubr rubr,hl,+,,,
abaa06,gali ulig,hl,+,,,
abaa06,junc arti,hl,+,,cf,
abaa06,lath prat prat,hl,+,,,
abaa06,leon hisp hisp,hl,2a,,,
abaa06,ment vert,hl,+,,cf,
abaa06,plan lanc,hl,+,,,
abaa06,poly amar ella,hl,1,,,
abaa06,pote erec,hl,1,,,
abaa06,ranu acri acri,hl,+,,,
abaa06,rhin mino,hl,r,,,
abaa06,scir sylv,hl,1,,,
abaa06,trif dubi,hl,r,,,
abaa06,trif prat prat,hl,1,,,
abaa06,vale dioi dioi,hl,3,,,
abaa06,will stip stip,hl,1,,,
abaa07,ajug rept,hl,+,,,
abaa07,anth odor,hl,2a,,,
abaa07,briz medi,hl,2a,,,
abaa07,calt palu,hl,+,,,
abaa07,care echi,hl,2a,,,
abaa07,care flav flav,hl,+,,,
abaa07,care lepi,hl,+,,,
abaa07,care lepo,hl,+,,,
abaa07,care nigr,hl,2a,,,
abaa07,care pani,hl,2b,,,
abaa07,cera holo,hl,+,,,
abaa07,chae hirs,hl,+,,,
abaa07,cyno cris,hl,2a,,,
abaa07,dact maja maja,hl,+,,,
abaa07,fest prat prat,hl,+,,,
abaa07,fest rubr rubr,hl,2a,,,
abaa07,gali palu palu,hl,+,,,
abaa07,gali ulig,hl,+,,,
abaa07,holc lana,hl,2a,,,
abaa07,junc arti,hl,+,,,
abaa07,junc effu,hl,1,,,
abaa07,leon hisp hisp,hl,2a,,,
abaa07,lotu corn,hl,+,,,
abaa07,lych flos cucu,hl,+,,,
abaa07,myos palu aggr,hl,+,,,
abaa07,plan lanc,hl,2a,,,
abaa07,poa triv,hl,+,,,
abaa07,prun vulg,hl,1,,,
abaa07,ranu acri acri,hl,1,,,
abaa07,ranu repe,hl,+,,,
abaa07,rhin mino,hl,1,,,
abaa07,scir sylv,hl,1,,,
abaa07,trif dubi,hl,2a,,,
abaa07,trif repe repe,hl,r,,,
abaa07,trif prat prat,hl,2a,,,
abaa07,tris flav flav,hl,+,,,
abaa07,trol euro,hl,2a,,,
abaa07,vale dioi dioi,hl,2a,,,
abaa07,vera albu albu,hl,r,,,
abaa07,vici crac,hl,+,,,
abaa07,will stip stip,hl,1,,,
abaa08,alch glab,hl,+,,cf,
abaa08,alch mont,hl,+,,,
abaa08,anth odor,hl,2a,,,
abaa08,briz medi,hl,1,,,
abaa08,calt palu,hl,+,,,
abaa08,care echi,hl,1,,,
abaa08,care nigr,hl,2a,,,
abaa08,care pani,hl,2b,,,
abaa08,care pani pani,hl,+,,,
abaa08,cera holo,hl,+,,,
abaa08,chae hirs,hl,+,,,
abaa08,cyno cris,hl,2a,,,
abaa08,dact maja maja,hl,r,,,
abaa08,fest prat prat,hl,1,,,
abaa08,fest rubr rubr,hl,1,,,
abaa08,gali palu palu,hl,+,,,
abaa08,gali ulig,hl,+,,,
abaa08,holc lana,hl,2a,,,
abaa08,junc arti,hl,+,,,
abaa08,junc effu,hl,1,,,
abaa08,lath prat prat,hl,+,,,
abaa08,leon hisp hisp,hl,1,,,
abaa08,lych flos cucu,hl,+,,,
abaa08,myos palu aggr,hl,+,,,
abaa08,plan lanc,hl,1,,,
abaa08,pote erec,hl,+,,,
abaa08,prun vulg,hl,+,,,
abaa08,ranu acon,hl,r,,,
abaa08,ranu acri acri,hl,+,,,
abaa08,rhin mino,hl,+,,,
abaa08,rume acet osa,hl,r,,,
abaa08,scir sylv,hl,3,,,
abaa08,trif dubi,hl,2a,,,
abaa08,trif prat prat,hl,2b,,,
abaa08,tris flav flav,hl,+,,,
abaa08,trol euro,hl,+,,,
abaa08,vale dioi dioi,hl,2b,,,
abaa08,vici crac,hl,+,,,
abaa08,will stip stip,hl,1,,,
abaa09,alch mont,hl,r,,,
abaa09,anth odor,hl,2a,,,
abaa09,briz medi,hl,2a,,,
abaa09,calt palu,hl,+,,,
abaa09,care echi,hl,1,,,
abaa09,care flav flav,hl,+,,,
abaa09,care lepi,hl,+,,,
abaa09,care lepo,hl,1,,,
abaa09,care nigr,hl,2a,,,
abaa09,care pall,hl,1,,,
abaa09,care pani,hl,2b,,,
abaa09,cera holo,hl,+,,,
abaa09,cirs palu,hl,r,,,
abaa09,cyno cris,hl,2a,,,
abaa09,dact maja maja,hl,r,,,
abaa09,epil parv,hl,r,,,
abaa09,fest prat prat,hl,1,,,
abaa09,fest rubr rubr,hl,1,,,
abaa09,gali palu palu,hl,1,,,
abaa09,gali ulig,hl,r,,,
abaa09,holc lana,hl,2b,,,
abaa09,junc arti,hl,+,,,
abaa09,junc effu,hl,1,,,
abaa09,lath prat prat,hl,+,,,
abaa09,leon hisp hisp,hl,1,,,
abaa09,luzu mult,hl,+,,,
abaa09,lych flos cucu,hl,1,,,
abaa09,ment long,hl,1,,,
abaa09,myos palu aggr,hl,+,,,
abaa09,plan lanc,hl,+,,,
abaa09,poa triv,hl,+,,,
abaa09,ranu acri acri,hl,+,,,
abaa09,ranu flam,hl,1,,,
abaa09,ranu repe,hl,+,,,
abaa09,rume acet osa,hl,+,,,
abaa09,scir sylv,hl,1,,,
abaa09,stel gram,hl,+,,,
abaa09,trif dubi,hl,+,,,
abaa09,trif prat prat,hl,2a,,,
abaa09,trif repe repe,hl,2b,,,
abaa09,vale dioi dioi,hl,2a,,,
abaa09,vero becc,hl,r,,,
abaa09,vero cham cham,hl,+,,,
abaa09,vici crac,hl,+,,,
abaa09,vici sepi,hl,+,,,
abaa09,will stip stip,hl,1,,,
abaa10,achi mill aggr,hl,+,,,
abaa10,alch mont,hl,+,,,
abaa10,alop prat,hl,1,,,
abaa10,anth odor,hl,2a,,,
abaa10,bell pere,hl,+,,,
abaa10,caru carv,hl,+,,,
abaa10,cera holo,hl,+,,,
abaa10,chae hirs,hl,1,,,
abaa10,dact glom glom,hl,1,,,
abaa10,fest rubr rubr,hl,2a,,,
abaa10,hera spho spho,hl,+,,,
abaa10,lath prat prat,hl,+,,,
abaa10,phle prat,hl,2a,,,
abaa10,plan lanc,hl,2a,,,
abaa10,poa triv,hl,1,,,
abaa10,ranu acri acri,hl,2a,,,
