plot,abbr,layer,cover,voucher,comment,history
ba01,acer pseu,hl,+,,,
ba01,anth ramo,hl,+,,,
ba01,aspl ruta,hl,r,,,
ba01,aspl tric quad,hl,+,,,
ba01,brac sylv,hl,+,,,
ba01,cala vari,hl,2b,,,
ba01,camp pers,hl,+,,,
ba01,camp trac,hl,+,,,
ba01,care alba,hl,4,,,
ba01,care digi,hl,+,,,
ba01,care orni orni,hl,r,,,
ba01,carp betu,hl,+,,,
ba01,ceph long,hl,r,,,
ba01,clem vita,hl,+,,,
ba01,conv maja maja,hl,+,,,
ba01,corn sang slat,hl,+,,,
ba01,cory avel,hl,+,,,
ba01,coto hori,hl,r,,,
ba01,crat mono,hl,+,,,
ba01,cycl purp,hl,+,,,
ba01,euph amyg amyg,hl,+,,,
ba01,fagu sylv,hl,+,,,
ba01,frag vesc,hl,+,,,
ba01,frax exce,hl,2a,,,
ba01,gali moll,hl,+,,,
ba01,hell nige,hl,1,,,
ba01,hepa nobi,hl,+,,,
ba01,hipp emer emer,hl,r,,,
ba01,jugl regi,hl,r,,,
ba01,ligu vulg,hl,1,,,
ba01,loni xylo,hl,+,,,
ba01,meli nuta,hl,+,,,
ba01,merc pere,hl,+,,,
ba01,moeh musc,hl,+,,,
ba01,orig vulg,hl,+,,,
ba01,pice abie,hl,+,,,
ba01,poly cham,hl,2m,,,
ba01,poly odor,hl,+,,,
ba01,rham cath,hl,+,,,
ba01,rosa arve,hl,+,,,
ba01,salv glut,hl,r,,,
ba01,sesl caer,hl,1,,,
ba01,sorb aria,hl,+,,,
ba01,teuc cham,hl,r,,,
ba01,vinc hiru,hl,2b,,,
ba01,viol reic,hl,+,,,
ba01,carp betu,sl,1,,,
ba01,clem vita,sl,1,,,
ba01,cory avel,sl,2a,,,
ba01,fagu sylv,sl,1,,,
ba01,frax exce,sl,2a,,,
ba01,ligu vulg,sl,+,,,
ba01,sorb aria,sl,+,,,
ba01,frax exce,tl1,2b,,,
ba01,sorb aria,tl1,1,,,
ba01,carp betu,tl2,3,,,
ba01,fagu sylv,tl2,2b,,,
