abbr,layer,taxon,11,2,10,4,9,12,1,8,6,7
achn cala,hl,Achnatherum calamagrostis,,2a,1,2a,2b,2b,2a,2a,2b,2a
vinc hiru,hl,Vincetoxicum hirundinaria,3,+,3,r,2a,2a,1,+,,
moli arun,hl,Molinia arundinacea,3,1,,+,,,,,,
clin vulg vulg,hl,Clinopodium vulgare,1,,,,,,,,,
digi lute,hl,Digitalis lutea,1,,,,,+,,,,
cent scab alpe,hl,Centaurea alpestris,1,,,,,,,,,
salv glut,hl,Salvia glutinosa,1,,,,,,,,,
teuc mont,hl,Teucrium montanum,2a,2a,1,2a,1,+,+,1,,+
gali albu,hl,Galium album,+,,r,,+,,,,,
sedu albu,hl,Sedum album,,,+,,,r,,,,
buph sali,hl,Buphthalmum salicifolium,1,+,1,r,,+,r,,,
anth ramo,hl,Anthericum ramosum,+,+,+,,,,,,,
gera robe,hl,Geranium robertianum,+,,r,,,+,,,,
euph cypa,hl,Euphorbia cyparissias,+,,,,+,,,,,
camp coch,hl,Campanula cochleariifolia,+,+,,+,1,1,+,1,+,
sile vulg glar,hl,Silene vulgaris ssp. glareosa,,+,+,1,1,1,1,1,1,1
lina alpi alpi,hl,Linaria alpina ssp. alpina,,,,,,,,,+,
chlo stat,hl,Chlorocrepis staticifolia,+,1,,1,1,1,1,1,+,+
peta para,hl,Petasites paradoxus,1,+,,,,+,+,+,,r
gyps repe,hl,Gypsophila repens,+,,,,,,r,,,+
atha cret,hl,Athamanta cretensis,,,,,,,,,,+
thym prae poly,hl,Thymus vulgaris ssp. polytrichus,2a,2a,2a,2a,2b,,+,+,,1
cala vari,hl,Calamagrostis varia,,2b,2a,2b,1,,1,1,+,+
card defl slat,hl,Carduus defloratus,,1,1,1,2a,1,,+,,1
leon hisp hyos,hl,Leontodon hispidus ssp. glabratus,,1,+,+,1,+,+,,,
glob cord,hl,Gobularia cordifolia,,+,2a,,1,,,1,,
leon inca,hl,Leontodon incanus,+,,+,+,,,,,,
care semp semp,hl,Carex sempervirens,1,1,1,,,,,,,
drya octo,hl,Dryas octopetala,,,,1,,,,,,
sesl caer,hl,Sesleria varia,,1,2a,+,,,,,,
eric carn,hl,Erica herbacea,,+,2a,,,,,,,
carl acau slat,hl,Carlina acaulis,+,+,+,,,,,,,
euph sali,hl,Euphrasia salisburgensis,,+,+,,,,,,,
gali anis,hl,Galium anisophyllon,1,+,+,,,,,,,
