taxon,matched.taxon
Aster.bellidiastrum,Bellidiastrum michelii
Linum.catharticum,Linum catharticum
Lotus.comiculatus,Lotus corniculatus s.str.
Hieracium.bifidum,Hieracium bifidum
Kemera.saxatilis,Kernera saxatilis
Lotus.comiculatus,Lotus corniculatus s.str.
Orobanchae.teucrium,Orobanche teucrii
Salix.eleagnos,Salix eleagnos ssp. eleagnos
Pinus.sylvestris,Pinus sylvestris
Asplenium.viride,Asplenium viride
Carex.mucronata,Carex mucronata
Hieracium.bifidum,Hieracium bifidum
Kernera.saxatilis,Kernera saxatilis
Teucrium.chamaedrys,Teucrium chamaedrys ssp. chamaedrys
Valeriana.tripteris,Valeriana tripteris
Rhamnus.saxatilis,Rhamnus saxatilis ssp. saxatilis
Anthyllis.vulneraria,Anthyllis vulneraria s.lat.
Biscutella.laevigata,Biscutella laevigata ssp. laevigata
Dryas.octopetala,Dryas octopetala
Primula.auricula,Primula auricula ssp. auricula
Salix.eleagnos,Salix eleagnos ssp. eleagnos
Salix.purpurea,Salix purpurea
Parnassia.palustris,Parnassia palustris
Potentilla.caulescens,Potentilla caulescens ssp. caulescens
Picea.abies,Picea abies
Pinus.sylvestns,Pinus sylvestris
Athamanta.cretensis,Athamanta cretensis
