plot;variable;value
H1-01;cov;99
H1-02;cov;93
H1-03;cov;98
H1-04;cov;93
H1-05;cov;98
H1-06;cov;93
H1-07;cov;99
H1-08;cov;93
H1-09;cov;98
H1-10;cov;95
H2-01;cov;90
H2-02;cov;98
H2-03;cov;98
H2-04;cov;95
H2-05;cov;96
H2-06;cov;96
H2-07;cov;95
H2-08;cov;95
H2-09;cov;94
H2-10;cov;97
H3-01;cov;97
H3-02;cov;93
H3-03;cov;97
H3-04;cov;92
H3-05;cov;98
H3-06;cov;95
H3-07;cov;99
H3-08;cov;95
H3-09;cov;98
H3-10;cov;98
H4-01;cov;75
H4-02;cov;95
H4-03;cov;97
H4-04;cov;95
H4-05;cov;98
H4-06;cov;96
H4-07;cov;97
H4-08;cov;93
H4-09;cov;88
H4-10;cov;98
H5-01;cov;98
H5-02;cov;97
H5-03;cov;99
H5-04;cov;99
H5-05;cov;91
H5-06;cov;94
H5-07;cov;85
H5-08;cov;98
H5-09;cov;98
H5-10;cov;99
H6-01;cov;97
H6-02;cov;75
H6-03;cov;95
H6-04;cov;68
H6-05;cov;85
H6-06;cov;65
H6-07;cov;95
H6-08;cov;85
H6-09;cov;98
H6-10;cov;90
H7-01;cov;94
H7-02;cov;93
H7-03;cov;98
H7-04;cov;94
H7-05;cov;98
H7-06;cov;80
H7-07;cov;96
H7-08;cov;94
H7-09;cov;45
H7-10;cov;80
HO1-01;cov;90
HO1-02;cov;95
HO1-03;cov;88
HO1-04;cov;95
HO1-05;cov;98
HO1-06;cov;95
HO1-07;cov;97
HO1-08;cov;95
HO1-09;cov;99
HO1-10;cov;95
HO2-01;cov;99
HO2-02;cov;98
HO2-03;cov;98
HO2-04;cov;96
HO2-05;cov;100
HO2-06;cov;100
HO2-07;cov;100
HO2-08;cov;98
HO2-09;cov;98
HO2-10;cov;98
HO3-01;cov;100
HO3-02;cov;100
HO3-03;cov;100
HO3-04;cov;100
HO3-05;cov;99
HO3-06;cov;98
HO3-07;cov;98
HO3-08;cov;100
HO3-09;cov;100
HO3-10;cov;99
HO4-01;cov;85
HO4-02;cov;95
HO4-03;cov;99
HO4-04;cov;93
HO4-05;cov;99
HO4-06;cov;96
HO4-07;cov;98
HO4-08;cov;92
HO4-09;cov;97
HO4-10;cov;90
HO5-01;cov;50
HO5-02;cov;75
HO5-03;cov;40
HO5-04;cov;95
HO5-05;cov;82
HO5-06;cov;90
HO5-07;cov;75
HO5-08;cov;80
HO5-09;cov;62
HO5-10;cov;85
T1-01;cov;98
T1-02;cov;95
T1-03;cov;95
T1-04;cov;95
T1-05;cov;98
T1-06;cov;92
T1-07;cov;99
T1-08;cov;97
T1-09;cov;85
T1-10;cov;90
T2-01;cov;80
T2-02;cov;90
T2-03;cov;97
T2-04;cov;95
T2-05;cov;100
T2-06;cov;85
T2-07;cov;96
T2-08;cov;97
T2-09;cov;99
T2-10;cov;97
T3-01;cov;100
T3-02;cov;95
T3-03;cov;98
T3-04;cov;100
T3-05;cov;99
T3-06;cov;98
T3-07;cov;98
T3-08;cov;97
T3-09;cov;98
T3-10;cov;99
T4-01;cov;85
T4-02;cov;95
T4-03;cov;97
T4-04;cov;96
T4-05;cov;90
T4-06;cov;93
T4-07;cov;90
T4-08;cov;92
T4-09;cov;95
T4-10;cov;95
T5-01;cov;100
T5-02;cov;98
T5-03;cov;98
T5-04;cov;99
T5-05;cov;98
T5-06;cov;99
T5-07;cov;98
T5-08;cov;95
T5-09;cov;99
T5-10;cov;98
W1-01;cov;83
W1-02;cov;85
W1-03;cov;64
W1-04;cov;95
W1-05;cov;85
W1-06;cov;95
W1-07;cov;82
W1-08;cov;80
W1-09;cov;90
W1-10;cov;62
W2-01;cov;55
W2-02;cov;95
W2-03;cov;35
W2-04;cov;60
W2-05;cov;80
W2-06;cov;75
W2-07;cov;85
W2-08;cov;75
W2-09;cov;82
W2-10;cov;80
W3-01;cov;99
W3-02;cov;98
W3-03;cov;90
W3-04;cov;98
W3-05;cov;95
W3-06;cov;95
W3-07;cov;95
W3-08;cov;98
W3-09;cov;95
W3-10;cov;93
W4-01;cov;77
W4-02;cov;80
W4-03;cov;78
W4-04;cov;85
W4-05;cov;69
W4-06;cov;65
W4-07;cov;40
W4-08;cov;60
W4-09;cov;88
W4-10;cov;85
W5-01;cov;30
W5-02;cov;75
W5-03;cov;70
W5-04;cov;85
W5-05;cov;85
W5-06;cov;95
W5-07;cov;90
W5-08;cov;75
W5-09;cov;95
W5-10;cov;97
W6-01;cov;96
W6-02;cov;97
W6-03;cov;72
W6-04;cov;85
W6-05;cov;92
W6-06;cov;93
W6-07;cov;96
W6-08;cov;95
W6-09;cov;93
W6-10;cov;95
W7-01;cov;97
W7-02;cov;96
W7-03;cov;95
W7-04;cov;70
W7-05;cov;98
W7-06;cov;53
W7-07;cov;98
W7-08;cov;65
W7-09;cov;91
W7-10;cov;90
WMa1-01;cov;98
WMa1-02;cov;98
WMa1-03;cov;98
WMa1-04;cov;93
WMa1-05;cov;93
WMa1-06;cov;95
WMa1-07;cov;98
WMa1-08;cov;95
WMa1-09;cov;97
WMa1-10;cov;95
WMa2-01;cov;95
WMa2-02;cov;94
WMa2-03;cov;97
WMa2-04;cov;90
WMa2-05;cov;97
WMa2-06;cov;95
WMa2-07;cov;93
WMa2-08;cov;95
WMa2-09;cov;95
WMa2-10;cov;95
WMa3-01;cov;59
WMa3-02;cov;95
WMa3-03;cov;92
WMa3-04;cov;94
WMa3-05;cov;98
WMa3-06;cov;95
WMa3-07;cov;99
WMa3-08;cov;15
WMa3-09;cov;98
WMa3-10;cov;95
WMa4-01;cov;98
WMa4-02;cov;98
WMa4-03;cov;97
WMa4-04;cov;95
WMa4-05;cov;99
WMa4-06;cov;90
WMa4-07;cov;96
WMa4-08;cov;90
WMa4-09;cov;96
WMa4-10;cov;93
WMa5-01;cov;99
WMa5-02;cov;98
WMa5-03;cov;94
WMa5-04;cov;100
WMa5-05;cov;74
WMa5-06;cov;97
WMa5-07;cov;96
WMa5-08;cov;40
WMa5-09;cov;38
WMa5-10;cov;95
WMb1-01;cov;98
WMb1-02;cov;98
WMb1-03;cov;98
WMb1-04;cov;93
WMb1-05;cov;95
WMb1-06;cov;98
WMb1-07;cov;98
WMb1-08;cov;99
WMb1-09;cov;98
