"plot";"abbr";"layer";"cov";"comment";"history"
"bi01";"abie alba";"hl";"+";"";""
"bi01";"abie alba";"sl";"1";"";""
"bi01";"betu pend";"hl";"+";"";""
"bi01";"camp flex";"ml";"+";"";""
"bi01";"dryo cart";"hl";"+";"";""
"bi01";"fran alnu";"hl";"+";"";""
"bi01";"fran alnu";"sl";"2a";"";""
"bi01";"hylo sple";"ml";"2a";"";""
"bi01";"hypn cupr";"ml";"+";"";""
"bi01";"lari deci deci";"tl";"3";"";""
"bi01";"leuc glau";"ml";"+";"";""
"bi01";"maia bifo";"hl";"+";"";""
"bi01";"pice abie";"sl";"+";"";""
"bi01";"pice abie";"tl";"1";"";""
"bi01";"pleu schr";"ml";"1";"";""
"bi01";"poly form";"ml";"+";"";""
"bi01";"rubu sect rubu";"hl";"+";"";" | Changed rubu frut To rubu sect rubu 2012-11-27 19:22:01"
"bi01";"vacc myrt";"hl";"2a";"";""
"bi02";"abie alba";"hl";"+";"";""
"bi02";"camp flex";"ml";"1";"";""
"bi02";"dicr scop";"ml";"1";"";""
"bi02";"fran alnu";"hl";"+";"";""
"bi02";"hylo sple";"ml";"2a";"";""
"bi02";"hypn cupr";"ml";"2a";"";""
"bi02";"leuc glau";"ml";"1";"";""
"bi02";"pice abie";"tl";"5";"";""
"bi02";"pleu schr";"ml";"1";"";""
"bi02";"poly form";"ml";"1";"";""
"bi02";"quer robu";"hl";"+";"";""
"bi02";"spha capi";"ml";"+";"";""
"bi02";"vacc myrt";"hl";"+";"";""
"bi03";"abie alba";"hl";"+";"";""
"bi03";"aego poda";"hl";"+";"";""
"bi03";"aven flex flex";"hl";"+";"";""
"bi03";"betu pend";"hl";"+";"";""
"bi03";"care cane cane";"hl";"1";"";" | Changed care cane To care cane cane 2012-11-27 19:22:01"
"bi03";"care pilu pilu";"hl";"+";"";" | Changed care pilu To care pilu pilu 2012-11-27 19:22:01"
"bi03";"fran alnu";"hl";"+";"";""
"bi03";"fran alnu";"sl";"1";"";""
"bi03";"junc effu";"hl";"1";"";""
"bi03";"lari deci deci";"hl";"r";"";""
"bi03";"oxal acet";"hl";"+";"";""
"bi03";"pice abie";"hl";"+";"";""
"bi03";"poly form";"ml";"+";"";""
"bi03";"samb nigr";"hl";"+";"";""
"bi03";"tara sect rude";"hl";"+";"";" | Changed tara offi To tara sect rude 2012-11-27 19:22:01"
"bi03";"vacc myrt";"hl";"+";"";""
"bi04";"abie alba";"hl";"1";"";""
"bi04";"abie alba";"sl";"4";"";""
"bi04";"abie alba";"tl";"1";"";""
"bi04";"aven flex flex";"hl";"+";"";""
"bi04";"betu pend";"sl";"+";"";""
"bi04";"betu pend";"tl";"1";"";""
"bi04";"camp flex";"ml";"+";"";""
"bi04";"fran alnu";"hl";"1";"";""
"bi04";"fran alnu";"sl";"2a";"";""
"bi04";"hylo sple";"ml";"1";"";""
"bi04";"hypn cupr";"ml";"1";"";""
"bi04";"leuc glau";"ml";"+";"";""
"bi04";"pice abie";"hl";"+";"";""
"bi04";"pice abie";"sl";"1";"";""
"bi04";"pice abie";"tl";"1";"";""
"bi04";"pinu sylv";"tl";"+";"";""
"bi04";"pleu schr";"ml";"1";"";""
"bi04";"poly form";"ml";"+";"";""
"bi04";"vacc myrt";"hl";"2a";"";""
"bi05";"abie alba";"hl";"1";"";""
"bi05";"abie alba";"sl";"+";"";""
"bi05";"abie alba";"tl";"2b";"";""
"bi05";"aven flex flex";"hl";"+";"";""
"bi05";"dicr scop";"ml";"+";"";""
"bi05";"dryo cart";"hl";"+";"";""
"bi05";"fran alnu";"hl";"+";"";""
"bi05";"fran alnu";"sl";"+";"";""
"bi05";"hypn cupr";"ml";"1";"";""
"bi05";"leuc glau";"ml";"+";"";""
