plot,abbr,layer,cover,voucher,comment,history
bt01,acer pseu,hl,+,,,
bt01,alli lusi,hl,+,,,
bt01,anth ramo,hl,2m,,,
bt01,beto alop,hl,2a,,,
bt01,buph sali,hl,1,,,
bt01,cala vari,hl,1,,,
bt01,card defl viri,hl,+,,,
bt01,care digi,hl,2a,,,
bt01,care flac,hl,+,,,
bt01,care humi,hl,2b,,,
bt01,ceph long,hl,+,,,
bt01,clin alpi alpi,hl,+,,,
bt01,cory avel,hl,+,,,
bt01,epip atro,hl,r,,,
bt01,euph cypa,hl,+,,,
bt01,frag vesc,hl,r,,,
bt01,fran alnu,hl,+,,,
bt01,gali moll,hl,+,,,
bt01,glob cord,hl,r,,,
bt01,gyps repe,hl,r,,,
bt01,hera aust aust,hl,r,,,
bt01,hipp como,hl,+,,,
bt01,lase lati lati,hl,+,,,
bt01,lase sile sile,hl,5,,,
bt01,moli caer aggr,hl,1,M. arundinacea,,
bt01,orig vulg,hl,+,,,
bt01,pimp majo majo,hl,+,,,
bt01,poly cham,hl,+,,,
bt01,poly odor,hl,+,,,
bt01,rham cath,hl,+,,,
bt01,rhin glac,hl,+,,,
bt01,salv glut,hl,+,,,
bt01,scab luci luci,hl,+,,,
bt01,sesl caer,hl,1,,,
bt01,teuc cham,hl,+,,,
bt01,teuc mont,hl,+,,,
bt01,thym prae poly,hl,r,,,
bt01,verb thap,hl,r,,,
bt01,vinc hiru,hl,2m,,,
bt01,viol pyre,hl,2m,,,
bt01,cory avel,sl,3,,,
bt01,fran alnu,sl,1,,,
bt01,frax exce,sl,1,,,
bt01,sorb aria,sl,1,,,
bt01,frax exce,tl2,2a,,,
bt01,pice abie,tl2,2a,,,
bt01,sorb aria,tl2,2b,,,
bt02,acer pseu,hl,+,,,
bt02,anth ramo,hl,1,,,
bt02,beto alop,hl,1,,,
bt02,brac sylv,hl,+,,,
bt02,buph sali,hl,1,,,
bt02,cala vari,hl,1,,,
bt02,card defl viri,hl,+,,,
bt02,care digi,hl,1,cf.,,
bt02,care flac,hl,1,,,
bt02,care humi,hl,1,,,
bt02,clem vita,hl,2a,,,
bt02,clin alpi alpi,hl,+,,,
bt02,cory avel,hl,+,,,
bt02,eupa cann,hl,+,,,
bt02,euph amyg amyg,hl,r,,,
bt02,euph cypa,hl,+,,,
bt02,fran alnu,hl,+,,,
bt02,frax exce,hl,+,,,
bt02,gali moll,hl,+,,,
bt02,lase lati lati,hl,+,,,
bt02,lase sile sile,hl,5,,,
bt02,moli caer aggr,hl,2a,M. arundinacea,,
bt02,orig vulg,hl,+,,,
bt02,pimp majo majo,hl,+,,,
bt02,poly cham,hl,+,,,
bt02,poly odor,hl,+,,,
bt02,rham cath,hl,+,,,
bt02,salv glut,hl,1,,,
bt02,scab luci luci,hl,+,,,
bt02,sesl caer,hl,+,,,
bt02,sile nuta nuta,hl,+,,,
bt02,sile vulg glar,hl,r,,,
bt02,teuc cham,hl,+,,,
bt02,vale offi tenu,hl,r,cf.,,
bt02,vinc hiru,hl,2m,,,
bt02,viol pyre,hl,2m,,,
bt02,clem vita,sl,+,,,
bt02,cory avel,sl,3,,,
bt02,fran alnu,sl,1,,,
bt02,frax exce,sl,2a,,,
bt02,rham cath,sl,r,,,
bt02,acer pseu,tl2,2a,,,
bt02,frax exce,tl2,2a,,,
bt02,sorb aria,tl2,1,,,
bt03,acer pseu,hl,+,,,
bt03,alli lusi,hl,+,,,
bt03,anth ramo,hl,+,,,
bt03,aqui atra,hl,+,,,
bt03,aspl ruta,hl,r,,,
bt03,beto alop,hl,2m,,,
bt03,brac sylv,hl,+,,,
bt03,buph sali,hl,1,,,
bt03,cala vari,hl,2a,,,
bt03,camp trac,hl,1,,,
bt03,card defl viri,hl,+,,,
bt03,care alba,hl,+,,,
bt03,care digi,hl,1,,,
bt03,care flac,hl,2a,,,
bt03,care humi,hl,1,,,
bt03,clem vita,hl,2b,,,
bt03,clin vulg vulg,hl,+,,,
bt03,cory avel,hl,+,,,
bt03,epip atro,hl,r,,,
bt03,eupa cann,hl,+,,,
bt03,euph amyg amyg,hl,+,,,
bt03,euph cypa,hl,+,,,
bt03,fran alnu,hl,+,,,
bt03,frax exce,hl,+,,,
bt03,gale flav,hl,+,,,
bt03,gale spec iosa,hl,1,,,
bt03,gali moll,hl,1,,,
bt03,gera robe,hl,+,,,
bt03,lase lati lati,hl,+,,,
bt03,lase sile sile,hl,4,,,
bt03,moeh musc,hl,r,,,
bt03,moli caer aggr,hl,2b,M. arundinacea,,
bt03,orig vulg,hl,1,,,
bt03,pimp majo majo,hl,1,,,
bt03,poly odor,hl,1,,,
bt03,rham cath,hl,+,,,
bt03,rosa arve,hl,+,,,
bt03,salv glut,hl,2b,,,
bt03,salv vert,hl,+,,,
bt03,sesl caer,hl,+,,,
bt03,teuc cham,hl,+,,,
bt03,thym prae poly,hl,r,,,
bt03,verb nigr,hl,r,,,
bt03,vinc hiru,hl,2a,,,
bt03,viol pyre,hl,2a,,,
bt03,cory avel,sl,+,,,
bt03,fran alnu,sl,1,,,
bt03,frax exce,sl,+,,,
bt03,frax exce,tl1,2b,,,
bt03,frax exce,tl2,2b,,,
bt04,acer pseu,hl,+,,,
bt04,alli lusi,hl,+,,,
bt04,anth ramo,hl,+,,,
bt04,arab hirs,hl,r,cf.,,
bt04,aspl ruta,hl,r,,,
bt04,beto alop,hl,+,,,
bt04,brac sylv,hl,+,,,
bt04,buph sali,hl,1,,,
bt04,cala vari,hl,+,,,
bt04,camp trac,hl,+,,,
bt04,card defl viri,hl,+,,,
bt04,care alba,hl,+,,,
bt04,care digi,hl,+,,,
bt04,care flac,hl,2a,,,
bt04,care humi,hl,1,,,
bt04,clem vita,hl,2b,,,
bt04,clin alpi alpi,hl,+,,,
bt04,clin vulg vulg,hl,+,,,
bt04,cory avel,hl,+,,,
bt04,cusc epit epit,hl,r,,,
bt04,eupa cann,hl,+,,,
bt04,euph cypa,hl,+,,,
bt04,fran alnu,hl,+,,,
bt04,frax exce,hl,+,,,
bt04,gale flav,hl,+,,,
bt04,gale spec iosa,hl,2b,,,
bt04,gali moll,hl,2a,,,
bt04,gera robe,hl,+,,,
bt04,lase lati lati,hl,+,,,
bt04,lase sile sile,hl,2a,,,
bt04,moeh musc,hl,+,,,
bt04,moli caer aggr,hl,2b,M. arundinacea,,
bt04,orig vulg,hl,+,,,
bt04,phyt orbi,hl,r,,,
bt04,pimp majo majo,hl,1,,,
bt04,poly odor,hl,+,,,
bt04,rham cath,hl,+,,,
bt04,salv glut,hl,2b,,,
bt04,scab luci luci,hl,+,,,
bt04,sesl caer,hl,+,,,
bt04,teuc cham,hl,+,,,
bt04,vale offi tenu,hl,r,cf.,,
bt04,vinc hiru,hl,2a,,,
bt04,viol pyre,hl,2m,,,
bt04,clem vita,sl,1,,,
bt04,cory avel,sl,2a,,,
bt04,fran alnu,sl,+,,,
bt04,rham cath,sl,+,,,
bt04,frax exce,tl1,2b,,,
bt04,acer pseu,tl2,1,,,
bt04,frax exce,tl2,3,,,
bt05,acer pseu,hl,+,,,
bt05,alli lusi,hl,+,,,
bt05,anth ramo,hl,+,,,
bt05,aspl ruta,hl,r,,,
bt05,aspl tric quad,hl,r,2015-0068,,
bt05,beto alop,hl,+,,,
bt05,brac sylv,hl,+,,,
bt05,buph sali,hl,+,,,
bt05,cala vari,hl,1,,,
bt05,camp trac,hl,+,,,
bt05,card defl viri,hl,+,,,
bt05,care alba,hl,1,,,
bt05,care digi,hl,+,cf.,,
bt05,care humi,hl,1,,,
bt05,clem vita,hl,2b,,,
bt05,clin vulg vulg,hl,1,,,
bt05,cory avel,hl,+,,,
bt05,eupa cann,hl,+,,,
bt05,euph cypa,hl,+,,,
bt05,fran alnu,hl,+,,,
bt05,frax exce,hl,+,,,
bt05,gale spec iosa,hl,3,,,
bt05,gali moll,hl,+,,,
bt05,lase lati lati,hl,2a,,,
bt05,lase sile sile,hl,+,,,
bt05,moli caer aggr,hl,1,M. arundinacea,,
bt05,orig vulg,hl,+,,,
bt05,rham cath,hl,+,,,
bt05,salv glut,hl,3,,,
bt05,scab luci luci,hl,+,,,
bt05,sesl caer,hl,+,,,
bt05,teuc cham,hl,+,,,
bt05,vinc hiru,hl,2a,,,
bt05,viol pyre,hl,2m,,,
bt05,acer pseu,sl,+,,,
bt05,clem vita,sl,+,,,
bt05,cory avel,sl,2b,,,
bt05,fran alnu,sl,1,,,
bt05,frax exce,sl,+,,,
bt05,rham cath,sl,+,,,
bt05,frax exce,tl1,2a,,,
bt05,clem vita,tl2,2a,,,
bt05,frax exce,tl2,3,,,
bt05,prun aviu slat,tl2,1,,,
bt05,sorb aria,tl2,1,,,
bt06,acer pseu,hl,+,,,
bt06,acon vari vari,hl,+,,,
bt06,alli lusi,hl,r,,,
bt06,anth ramo,hl,+,,,
bt06,aspl tric quad,hl,r,,,
bt06,beto alop,hl,+,,,
bt06,brac sylv,hl,1,,,
bt06,buph sali,hl,1,,,
bt06,cala vari,hl,2b,,,
bt06,camp trac,hl,+,,,
bt06,card defl viri,hl,+,,,
bt06,care alba,hl,+,,,
bt06,care digi,hl,+,,,
bt06,care flac,hl,+,,,
bt06,care humi,hl,+,,,
bt06,clem vita,hl,2a,,,
bt06,clin vulg vulg,hl,+,,,
bt06,cory avel,hl,+,,,
bt06,eupa cann,hl,+,,,
bt06,euph cypa,hl,+,,,
bt06,fran alnu,hl,r,,,
bt06,gale flav,hl,2a,,,
bt06,gale spec iosa,hl,3,,,
bt06,gali moll,hl,+,,,
bt06,hepa nobi,hl,+,,,
bt06,lase lati lati,hl,2a,,,
bt06,lase sile sile,hl,1,,,
bt06,moli caer aggr,hl,1,M. arundinacea,,
bt06,orig vulg,hl,1,,,
bt06,poly odor,hl,+,,,
bt06,ranu nemo,hl,r,,,
bt06,rham cath,hl,+,,,
bt06,salv glut,hl,2b,,,
bt06,scab luci luci,hl,+,,,
bt06,sesl caer,hl,+,,,
bt06,teuc cham,hl,+,,,
bt06,vinc hiru,hl,1,,,
bt06,viol pyre,hl,2m,,,
bt06,acer pseu,sl,+,,,
bt06,clem vita,sl,+,,,
bt06,cory avel,sl,+,,,
bt06,frax exce,sl,+,,,
bt06,sorb aria,sl,+,,,
bt06,frax exce,tl1,2b,,,
bt06,frax exce,tl2,3,,,
bt07,acer pseu,hl,+,,,
bt07,alli lusi,hl,2a,,,
bt07,anth ramo,hl,+,,,
bt07,aspl ruta,hl,r,,,
bt07,buph sali,hl,+,,,
bt07,cala vari,hl,+,,,
bt07,card defl viri,hl,+,,,
bt07,care alba,hl,+,,,
bt07,care humi,hl,2a,,,
bt07,euph cypa,hl,+,,,
bt07,frax exce,hl,+,,,
bt07,gali anis,hl,+,,,
bt07,gali moll,hl,1,,,
bt07,glob cord,hl,+,,,
bt07,gyps repe,hl,+,,,
bt07,lase sile sile,hl,1,,,
bt07,orig vulg,hl,+,,,
bt07,pimp majo majo,hl,+,,,
bt07,pimp saxi slat,hl,+,,,
bt07,poly odor,hl,r,,,
bt07,ranu nemo,hl,+,,,
bt07,sedu albu,hl,+,,,
bt07,sedu sexa,hl,1,,,
bt07,sesl caer,hl,1,,,
bt07,sile nuta nuta,hl,+,,,
bt07,teuc cham,hl,1,,,
bt07,thym prae poly,hl,+,,,
bt07,vinc hiru,hl,2a,,,
bt07,viol pyre,hl,+,,,
bt07,pice abie,sl,+,,,
bt07,acer pseu,tl1,2a,,,
bt07,frax exce,tl1,2b,,,
bt07,frax exce,tl2,+,,,
