plot,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,latitude,longitude,accuracy,alliance,association,soil,comment,location,observer
brx01,,,,,,,,,,,,,,,,,,,2015-03-08,47.89314,13.96760,20,Seslerion caeruleae,,,"planned, easy",Bräumauer,R. Kaiser
brx02,,,,,,,,,,,,,,,,,,,2015-03-08,47.89345,13.96787,20,Cephalanthero-Fagenion,,,"planned, easy",Bräumauer,R. Kaiser
brx03,,,,,,,,,,,,,,,,,,,2015-03-08,47.89353,13.96799,20,Cephalanthero-Fagenion,,,"planned, easy",Bräumauer,R. Kaiser
brx04,,,,,,,,,,,,,,,,,,,2015-03-08,47.89381,13.96863,20,Cephalanthero-Fagenion,,,"planned, easy",Bräumauer,R. Kaiser
brx05,,,,,,,,,,,,,,,,,,,2015-03-08,47.89421,13.96923,20,Cephalanthero-Fagenion,,,"planned, easy",Bräumauer,R. Kaiser
brx06,,,,,,,,,,,,,,,,,,,2015-03-08,47.89429,13.96938,20,Cephalanthero-Fagenion,,,"planned, easy",Bräumauer,R. Kaiser
brx07,,,,,,,,,,,,,,,,,,,2015-03-08,47.89439,13.96949,20,Cephalanthero-Fagenion,,,"planned, easy",Bräumauer,R. Kaiser
brx08,,,,,,,,,,,,,,,,,,,2015-03-08,47.89357,13.96889,20,Cephalanthero-Fagenion,,,"planned, easy",Bräumauer,R. Kaiser
brx09,,,,,,,,,,,,,,,,,,,2015-03-08,47.89433,13.96995,20,Cephalanthero-Fagenion,,,"planned, easy",Bräumauer,R. Kaiser
brx10,,,,,,,,,,,,,,,,,,,2015-03-08,47.89420,13.96998,20,Cephalanthero-Fagenion,,,"planned, easy",Bräumauer,R. Kaiser
brx11,,,,,,,,,,,,,,,,,,,2015-03-08,47.89417,13.96968,20,Cephalanthero-Fagenion,,,"planned, easy",Bräumauer,R. Kaiser
brx12,,,,,,,,,,,,,,,,,,,2015-03-08,47.89374,13.96953,20,Cephalanthero-Fagenion,,,"planned, easy",Bräumauer,R. Kaiser
