"plot";"abbr";"layer";"cov";"comment";"history"
"bu01";"corn sang slat";"sl";"2b";;
"bu01";"corn sang slat";"hl";"2a";;
"bu01";"loni xylo";"hl";"+";;
"bu01";"amel oval";"sl";1;;
"bu01";"amel oval";"hl";"+";;
"bu01";"rham cath";"sl";"2b";;
"bu01";"rosa micr";"sl";"+";;
"bu01";"rosa micr";"hl";"+";;
"bu01";"euon euro";"sl";1;;
"bu01";"vibu lant";"sl";"2a";;
"bu01";"rosa cani";"sl";1;;
"bu01";"rosa cani";"hl";"+";;
"bu01";"juni sabi";"sl";3;;
"bu01";"juni sabi";"hl";"2b";;
"bu01";"frax exce";"sl";"+";;
"bu01";"frax exce";"hl";"+";;
"bu01";"taxu bacc";"hl";"+";;
"bu01";"quer robu";"hl";"+";;
"bu01";"berb vulg";"sl";"2a";;
"bu01";"berb vulg";"hl";1;;
"bu01";"alli lusi";"hl";1;;
"bu01";"sesl caer";"hl";"2a";;
"bu01";"vinc hiru";"hl";1;;
"bu01";"gali luci";"hl";"2b";;
"bu01";"teuc mont";"hl";"+";;
"bu01";"teuc cham";"hl";1;;
"bu01";"euph cypa";"hl";1;;
"bu01";"poly cham";"hl";"2m";;
"bu01";"poly odor";"hl";"2a";;
"bu01";"orig vulg";"hl";1;;
"bu01";"card defl viri";"hl";"+";;
"bu01";"cala vari";"hl";1;;
"bu01";"hylo maxi";"hl";"+";;
"bu01";"beto alop";"hl";"+";;
"bu01";"euph sali";"hl";"+";;
"bu01";"homa lute";"ml";1;;
"bu01";"sile nuta nuta";"hl";"+";;
"bu01";"thym prae prae";"hl";"+";;
"bu01";"kern saxa";"hl";"+";;
"bu01";"lase lati lati";"hl";"+";;
"bu01";"meli cili";"hl";"+";;
"bu01";"thal minu slat";"hl";"+";;
"bu01";"anth ramo";"hl";"+";;
"bu01";"buph sali";"hl";"+";;
"bu01";"camp rapu";"hl";"+";;
"bu01";"heli numm gran";"hl";"+";;
"bu01";"care alba";"hl";"+";;
"bu02";"sorb aria";"sl";"+";;
"bu02";"amel oval";"hl";"1";;
"bu02";"amel oval";"sl";"2a";;
"bu02";"berb vulg";"hl";"1";;
"bu02";"berb vulg";"sl";"2b";;
"bu02";"rosa cani";"sl";"+";;
"bu02";"rosa cani";"hl";"1";;
"bu02";"rham cath";"hl";"+";;
"bu02";"juni sabi";"hl";"1";;
"bu02";"hier glau cum";"hl";"1";;
"bu02";"sesl caer";"hl";"2b";;
"bu02";"teuc mont";"hl";"1";;
"bu02";"gali luci";"hl";"1";;
"bu02";"beto alop";"hl";"+";;
"bu02";"thym prae prae";"hl";"+";;
"bu02";"glob cord";"hl";"1";;
"bu02";"pote caul";"hl";"2a";;
"bu02";"anth ramo";"hl";"+";;
"bu02";"thal minu slat";"hl";"+";;
"bu02";"euph sali";"hl";"+";;
"bu02";"coro vagi";"hl";"+";;
"bu02";"poly odor";"hl";"+";;
"bu02";"buph sali";"hl";"+";;
"bu02";"tort tort";"ml";"+";;
"bu02";"alli lusi";"hl";"+";;
"bu02";"meli cili";"hl";"+";;
"bu02";"jovi glob hirt";"hl";"+";;
"bu02";"card defl viri";"hl";"+";;
"bu02";"lase lati lati";"hl";"+";;
"bu02";"teuc cham";"hl";"+";;
"bu02";"sese aust";"hl";"r";;
"bu02";"sedu albu";"hl";"+";;
"bu02";"erys sylv";"hl";"+";;
