abbr;taxon;observerity
bryu subr;Bryum subrotundifolium;missing
xant maws;Xanthoria mawsonii;missing
cand murr;Candelaria murrayi;missing
aman pete;Amandinea petermannii;missing
calo citr;Caloplaca citrina;missing
leca expe;Lecanora expectans;missing
grey crus;grey indeterminate crust;missing
pras cris;Prasiola crispa;missing
gree alga;green algae;missing
alga moss;algae on moss;missing
cyan bact;cyanobacteria;missing
calo saxi;Caloplaca saxicola;missing
phys caes;Physcia caesia;missing
buel frig;Buellia frigida;missing
