Table number;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;Species no.;Species name
Releve number;;400007;400008;400009;400010;400011;400012;400013;400014;400015;400016;400017;400018;400019;400020;400021;400022;400023;400024;400025;400569;400570;;
Country code;;CZ;CZ;CZ;CZ;CZ;CZ;CZ;CZ;CZ;CZ;CZ;CZ;CZ;CZ;CZ;CZ;CZ;CZ;CZ;CZ;CZ;;
Biblioreference;;400116;400116;400116;400116;400116;400116;400116;400116;400116;400116;400116;400116;400116;400116;400116;400116;400116;400116;400116;400116;400116;;
No. table in publ.;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
No. releve in table;;7;8;15;16;17;9;6;5;18;19;4;10;11;12;14;3;1;2;13;26;31;;
Cover abundance scale;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
Year;;1993;1993;1993;1993;1993;1995;1993;1993;1993;1993;1993;1995;1995;1995;1992;1993;1991;1993;1995;1994;1994;;
Month;;6;6;9;9;9;7;6;8;9;9;8;7;7;7;8;8;5;8;7;7;8;;
Day;;1;1;10;10;10;1;1;25;10;10;25;1;1;1;1;25;20;25;1;31;6;;
Author code;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;;
Date (year/month/day);;19930601;19930601;19930910;19930910;19930910;19950701;19930601;19930825;19930910;19930910;19930825;19950701;19950701;19950701;19920801;19930825;19910520;19930825;19950701;19940731;19940806;;
Syntaxon code;;32AC06 ;32AC06 ;32AC06 ;32AC06 ;32AC06 ;32AC06 ;32AC06 ;32AC06 ;32AC06 ;32AC06 ;32AC06 ;32AC06 ;32AC06 ;32AC06 ;32AC06 ;32AC06 ;32AC06 ;32AC06 ;32AC06 ;32AC06 ;32AC06 ;;
Releve area (m2);; 250.00; 300.00; 250.00; 200.00; 300.00; 200.00; 100.00; 400.00; 200.00; 200.00; 300.00; 250.00; 150.00; 150.00; 300.00; 200.00; 100.00; 300.00; 200.00;  50.00; 150.00;;
Altitude (m);;410;410;250;250;250;440;370;450;260;260;450;440;440;440;280;450;490;450;440;270;410;;
Aspect (degrees);;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;;
Slope (degrees);;30;30;40;25;20;45;40;30;30;25;30;45;55;45;35;30;20;25;50;80;45;;
Cover total (%);;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;
Cover tree layer (%);;70;75;70;70;75;70;65;80;60;65;65;85;85;70;85;70;70;75;75;80;60;;
Cover shrub layer (%);;20;20;20;15;10;25;20;15;40;30;35;10;10;20;10;20;30;20;15;10;30;;
Cover herb layer (%);;30;15;60;65;70;25;40;25;40;35;40;25;20;25;25;40;30;40;30;70;70;;
Cover moss layer (%);;15;5;7;10;10;1;15;10;-1;1;10;5;1;2;2;5;25;10;5;50;30;;
Cover lichen layer (%);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Height (high) tree layer (m);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Height low tree layer (m);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Height (high) shrub layer (m);; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0;;
Height low shrub  layer (m);; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0;;
Height (high) herb layer (cm);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Height (low) herb layer (cm);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Mosses identified (y/n);;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;Y;;
Lichens identified (y/n);;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;Y;;
Remarks;;;;;;;;;;;;;;;;;;;;;;;;
Coordinate system;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;;
Locality;;Blansko-Tìchov, Skalní mlýn, boèní okraje otevøeného suového pole pod skalou Praseèí Ucho         ;Blansko-Tìchov, Skalní mlýn, suový svah tìsnì pod skalou Praseèí ucho                             ;Svatý Jan pod Skalou, svah nad skalním stupnìm v lese jinì kostela                                ;Svatý Jan pod Skalou, svah nad skalním stupnìm v lese jinì kostela                                ;Svatý Jan pod Skalou, horní okraj skal nad obcí jinì od kostela                                   ;Kozojedy (Dbán), rezervace Pochválovská stráò 1 km JV samoty Døevíè, svah nad skalami             ;Blansko-Tìchov, Suchý leb, svah pod skalou vedle Zbojnické jeskynì                                ;Blansko-Tìchov, Suchý leb, skalní ebro nad Sluneèními skalami                                    ;Svatý Jan pod Skalou, suový svah pod Duièkovou skálou                                            ;Svatý Jan pod Skalou, suový svah pod Duièkovou skálou                                            ;Blansko-Tìchov, Suchý leb, skalní vejplazek nad suovým polem na západním konci Sluneèních skal   ;Kozojedy (Dbán), rezervace Pochválovská stráò 1 km JV samoty Døevíè, svah nad skalami             ;Kozojedy (Dbán), rezervace Pochválovská stráò 1 km JV samoty Døevíè, svah nad skalami             ;Kozojedy (Dbán), rezervace Pochválovská stráò 1 km JV samoty Døevíè, svah nad skalami             ;Roztoky u Køivoklátu, Støíbrný luh, lesní svah s drobnou sutí a skalkami                           ;Blansko-Tìchov, Suchý leb, skalní vejplazek na západním konci Sluneèních skal                     ;Javoøíèko, skála Zkamenìlý zámek, skalnatý svah pøi vrcholu                                        ;Blansko-Tìchov, Suchý leb, skalní ebro nad Sluneèními skalami                                    ;Kozojedy (Dbán), rezervace Pochválovská stráò 1 km JV samoty Døevíè, svah nad skalami             ;Rudlice, ostrona nad levým bøehem Jeviovky 1 km JZ obce                                          ;Horní Vìstonice, Z svah Dìvína 1 km JV od JV okraje obce                                           ;;
