plot;abbr;layer;cover;voucher;comment;history
1;agro alpi;hl;2m;;;
1;arct alpi;hl;+;;;
1;bart alpi;hl;1;;;
1;care firm;hl;4;;;
1;care mari;hl;2m;;;
1;crep jacq slat;hl;1;;;
1;drya octo;hl;+;;;
1;empe nigr aggr;hl;+;;;
1;erio angu;hl;1;;;
1;euph sali;hl;1;;;
1;gali anis;hl;+;;;
1;gent clus clus;hl;r;cf.;;
1;junc trif;hl;1;;;
1;kobr simp;hl;2a;;;
1;pedi vert;hl;+;;;
1;phyt orbi;hl;+;;;
1;prim clus;hl;2m;;;
1;ranu alpe;hl;1;;;
1;sali alpi;hl;+;cf.;;
1;sela sela;hl;+;;;
1;tofi pusi;hl;1;;;
1;vacc viti;hl;+;;;
1;camp stel;ml;1;;;
1;cetr isla isla;ml;+;;;
1;clad arbu miti;ml;+;;;
1;ditr flex;ml;+;;;
1;fiss osmu;ml;1;;;
1;hypn bamb;ml;+;;;
1;vulp tubu;ml;+;;;
