Aufahmenummer;Lokalität;Höhe;Exp.;Neig..in.;Fläche.in.m.;dk;ds;db;Längengrad;Breitengrad;Unschärfe
2203;Kante zur Preinerwand 20m oberh. des Weges Seehtt.-Jakobskogel;1745;E;15;NA;80;0;0;15.733457E;47.702249E;20
2213;Grat südl. Bißkogel zw. kl. und gr. Karstwanne;1915;;0;8;100;0;0;15.715950E;47.712337E;20
2202;Kante zur Preinerwand, 20m oberhalb des Weges;1745;E;25;6;70;0;0;15.733457E;47.702249E;20
2208;100m südl. des Weißkogelgipfels;1755;WNW;5;10;85;0;0;15.745074E;47.705952E;20
2230;oberer Waxriegelkamm bei Weggabelung Bismarcksteig;1890;ESE;15;25;NA;NA;NA;15.712799E;47.697174E;20
2217;Taupentalalm, 50m östlich der Htt;1685;W;15;2;100;0;0;15.700422E;47.696144E;20
2219;Heukuppe NO-Hang, 10m vor der Kante zu den Raxmauem;1860;ENO;20;20;60;0;0;15.700691E;47.686054E;20
2221;Trinksteinsattel, 200m sw der Htt.;1820;NE;20;35;60;0;0;15.715517E;47.701704E;20
2222;Weg Trinksteinsattel - Bißkogel;1880;S;15;20;100;0;0;15.715239E;47.704895E;20
2114;200m no Dreimarkstein;1905;E;3;55;100;0;0;15.717189E;47.708962E;20
2223;500m südl. des Bißkogel, NW-Hang der gi. Karstwanne;1910;NW;20;30;90;0;0;15.716276E;47.709578E;20
2226;Heukuppe, orogr. li. des Weges vom K.-Ludwighaus;1945;NE;10;20;100;0;0;15.689186E;47.691152E;20
2139;Heukuppe, 50m vor der Plateaukante;1880;NE;20;6;100;0;0;15.699515E;47.686389E;20
2145;Trinksteinsattel, W-Hang zu Weg Habsb.-H. - K.Ludwighaus;1815;WNW;20;35;100;0;0;15.716279E;47.704793E;20
2136;Plateau K.Ludwighaus, 250m sw der Htt.;1830;NE;5;6;100;0;0;15.702640E;47.686766E;20
2108;südl. Bißkogel bei Quote 1870m;1870;;0;15;95;0;0;15.716414E;47.712546E;20
2106;Scheibwaldhöhe, östl. Waxriegel;1880;;0;45;NA;NA;NA;15.716376E;47.718033E;20
2115;Plateaurand Raxmäuer, 50m no des Wegweisers;1835;NE;5;10;NA;NA;NA;15.759990E;47.711487E;20
