"Aufahmenummer";"Lokalität";"Höhe";"Exp.";"Neig. in°";"Fläche in m²";"dk";"ds";"db";"GK x-wert";"GK y-Wert"
2101;"große Polje nördlich Bißkogel";1860;"SW";5;25;100;0;0;;
2102;"Hofhaltalm, 100m nordlich der Htt.";1595;"NW";5;25;100;0;0;706135;286807
2103;"Gretchensteig-Plateaurand, 150m östl. der Kapelle";1835;"N";5;15;;;;;
2104;"40m nw der Dirnbacherhtt.";1490;"SE";10;8;100;0;0;;
2105;"Hofhaltalm 20m sso der blauen Tafel";1560;"NNE";5;50;;;;;
2106;"Scheibwaldhöhe, östl. Waxriegel";1880;;0;45;;;;703796;286773
2107;"südl Bißkogel bei Quote 1870m";1870;;0;5;100;0;0;703804;286152
2108;"südl. Bißkogel bei Quote 1870m";1870;;0;15;95;0;0;703794;286163
2109;"W-Hang zum Taupental, 500m nach Trinksteinsattel";1815;"W";15;35;100;0;0;703215;285007
2110;"nördl. Bißkogel, kl. Doline, südl. Rand";1860;;0;2;95;0;0;;
2111;"Skipiste";1570;"NE";5;40;100;0;0;;
2112;"Wiese über Klobentörl, SW-Hang";1645;"SW";20;35;100;0;0;705170;287484
2113;"gr. Polje nördl. des Bißkogels";1870;"NW";5;35;;;;;
2114;"200m no Dreimarkstein";1905;"E";3;55;100;0;0;703849;285764
2115;"Plateaurand Raxmäuer, 50m no des Wegweisers";1835;"NE";5;10;;;;707063;286020
2116;"Jakobskogel Ostang 10m unterhalb des Weges";1695;"E";15;;100;0;0;;
2117;"gr. Polje nördl. des Bißkogels";1860;;0;30;100;0;0;;
2118;"östl. der Haberfeldkuppe, Rinne zu Lcchnerwänden";1795;"E";5;65;100;0;0;703896;286976
2119;"Weideflache Ober dem Klobentörl";1640;;0;80;100;0;0;705074;287430
2120;"kl Polje südl. Bißkogel, 10m vor dem Schuttfeld";1870;"SE";5;15;100;0;0;704044;285800
2121;"30m sso der Ebnerhtt.";1600;"W";7;20;100;0;0;;
2122;"Heukuppe - Südhang";1890;"SE";15;25;100;0;0;701901;283307
2123;"Hofhaltalm 200m südl. der Höllentalaus-sicht, 50 südl. des zentralen Wegweisers";1610;"NE";5;20;100;0;0;706718;287161
2124;"Skipiste";1600;"E";15;5;;;;;
2125;"Skipiste";1610;"ESE";25;20;95;0;0;;
2126;"Skipiste";1560;"E";5;10;100;0;0;;
2127;"Im Graben vom Seeweg zum Jakobskogel";1650;"NW";5;40;100;0;0;706195;285786
2128;"Ottohaus - Weidefläche, SO-Hang";1610;"SE";35;0;90;0;0;707410;286548
2129;"Almweidefläche nw Weißkogel am Seeweg";1685;;0;35;100;0;0;706235;286207
2130;"Hofhalt, 150m südöstl. der Hütten";1610;"NW";15;15;100;0;0;706274;286772
2131;"Graben von Trinksteinsattel zur Taupentalalm, orogr. re. Hang";1755;"SE";30;50;95;0;0;702877;284899
2132;"Ottohaus-Almfläche, SO-Hang";1615;"SE";30;15;100;0;0;707302;286479
2133;"wsw Klobentörl";1760;"N";20;25;;;;;
2134;"Hofnaltalm, sw der alten Ho.";1580;"E";0;30;100;0;0;;
2135;"Gretchensteig-Plateaurand, 150m östl. der Kapelle";1835;"N";5;15;100;0;0;702814;283270
2136;"Plateau K.Ludwighaus, 250m sw der Htt.";1830;"NE";5;6;100;0;0;702737;283305
2137;"Weidefläche bei Ottohaus, flacher NW-Hang, 80m s Wegweiser";1605;"NW";10;50;100;0;0;;
2138;"Skipiste Graben zum Liftanfang";1545;"NW";10;50;100;0;0;708294;286671
2139;"Heukuppe, 50m vor der Plateaukante";1880;"NE";20;6;100;0;0;702502;283265
2140;"kl. Poljc südl. Bißkogel, Hohe Lehne 20m vor Schuttfeld";1870;;0;2;95;0;0;704058;285792
2141;"Trinksteinsattel, 5m neben Weg, 200m westl der Htt.";1825;;0;15;100;0;0;703681;285087
2142;"Trinksteinsattel, 100m sw. der Htt.";1815;;0;12;100;0;0;703718;285044
2143;"gr. Karstwanne nördl. Bißkogel, TUmpelrand";1860;;5;3;95;0;0;;
2145;"Trinksteinsattel, W-Hang zu Weg Habsb.-H. - K.Ludwighaus";1815;"WNW";20;35;100;0;0;703777;285301
2146;"Bärenlochgraben";1535;;0;65;100;0;0;;
2147;"Scheibwaldhöhe Sstl. Waxriegel";1850;;0;10;95;0;0;;
2148;"so Ebenwaldhtt.";1570;"N";10;20;;;;;
2149;"unbekannt";1590;"NNW";15;8;;;;;
2150;"Alpenvereinssteig";1120;"W";30;50;;;;;
2201;"Hofhalt, 5m unterhalb des Weges bei blauer Tafel";1585;"NW";20;20;100;0;0;706427;287101
2202;"Kante zur Preinerwand, 20m oberhalb des Weges";1745;"E";25;6;70;0;0;705064;285008
