Aufahmenummer	Lokalität	Höhe	Exp.	Neig..in.	Fläche.in.m.	dk	ds	db	GK.x.wert	GK.y.Wert	Längengrad	Breitengrad	Unschärfe
2101	große Polje nördlich Bißkogel	1860	SW	5	25	100	0	0	NA	NA	15.720030E	47.703821E	1000
2102	Hofhaltalm, 100m nordlich der Htt.	1595	NW	5	25	100	0	0	706135	286807	15.747544E	47.718503E	20
2103	Gretchensteig-Plateaurand, 150m östl. der Kapelle	1835	N	5	15	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2104	40m nw der Dirnbacherhtt.	1490	SE	10	8	100	0	0	NA	NA	15.720030E	47.703821E	1000
2105	Hofhaltalm 20m sso der blauen Tafel	1560	NNE	5	50	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2106	Scheibwaldhöhe, östl. Waxriegel	1880		0	45	NA	NA	NA	703796	286773	15.716376E	47.718033E	20
2107	südl Bißkogel bei Quote 1870m	1870		0	5	100	0	0	703804	286152	15.716548E	47.712448E	20
2108	südl. Bißkogel bei Quote 1870m	1870		0	15	95	0	0	703794	286163	15.716414E	47.712546E	20
2109	W-Hang zum Taupental, 500m nach Trinksteinsattel	1815	W	15	35	100	0	0	703215	285007	15.708823E	47.702108E	20
2110	nördl. Bißkogel, kl. Doline, südl. Rand	1860		0	2	95	0	0	NA	NA	15.720030E	47.703821E	1000
2111	Skipiste	1570	NE	5	40	100	0	0	NA	NA	15.720030E	47.703821E	1000
2112	Wiese über Klobentörl, SW-Hang	1645	SW	20	35	100	0	0	705170	287484	15.734613E	47.724524E	20
2113	gr. Polje nördl. des Bißkogels	1870	NW	5	35	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2114	200m no Dreimarkstein	1905	E	3	55	100	0	0	703849	285764	15.717189E	47.708962E	20
2115	Plateaurand Raxmäuer, 50m no des Wegweisers	1835	NE	5	10	NA	NA	NA	707063	286020	15.759990E	47.711487E	20
2116	Jakobskogel Ostang 10m unterhalb des Weges	1695	E	15	NA	100	0	0	NA	NA	15.720030E	47.703821E	1000
2117	gr. Polje nördl. des Bißkogels	1860		0	30	100	0	0	NA	NA	15.720030E	47.703821E	1000
2118	östl. der Haberfeldkuppe, Rinne zu Lcchnerwänden	1795	E	5	65	100	0	0	703896	286976	15.717687E	47.719865E	20
2119	Weideflache Ober dem Klobentörl	1640		0	80	100	0	0	705074	287430	15.733339E	47.724032E	20
2120	kl Polje südl. Bißkogel, 10m vor dem Schuttfeld	1870	SE	5	15	100	0	0	704044	285800	15.719784E	47.709300E	20
2121	30m sso der Ebnerhtt.	1600	W	7	20	100	0	0	NA	NA	15.720030E	47.703821E	1000
2122	Heukuppe - Südhang	1890	SE	15	25	100	0	0	701901	283307	15.691505E	47.686722E	20
2123	Hofhaltalm 200m südl. der Höllentalaus-sicht, 50 südl. des zentralen Wegweisers	1610	NE	5	20	100	0	0	706718	287161	15.755278E	47.721726E	20
2124	Skipiste	1600	E	15	5	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
