Aufnahmenummer;050;053;045;043;028;030;054;038
Flaeche (m2);3;5;10;4;7;4;10;10
Exposition;E;NNE;E;S;NNE;S;N;N
Inklination (o);5;10;15;10;10;30;15;1 5
Quellwasser: pH-Wert;60;55;60;60;60;70;60;60
Haerte (dH);3;1;1;2;5;6;4;3
Phanerogamen: Deckung (%);10;5;40;20;5;20;.;10
Artenzahl;7;5;5;7;7;9;.;2
Moos: Deckung (%);40;20;30;20;10;10;10;40
Artenzahl;7;8;8;9;9;4;7;6
;;;;;;;;
Saxifraga stellaris;+;+;3;3;+;.;.;.
Deschampsia cespitosa;+;2;1;+;1;.;.;1
Viola biflora;.;+;.;+;+;.;.;.
Epilobium alsinifolium;.;.;+;+;.;.;.;4
Poa alpina;.;.;+;+;+;+;.;.
Philonotis seriata;2;1;2;2;+;.;.;.
Brachythecium rivulare;.;.;.;1;1;2;3;2
Racomitrium aciculare;.;+;.;+;.;+;.;.
;;;;;;;;
Scapania undulata;1;2;.;+;.;.;.;.
Kiaira starkei;.;+;.;';.;.;+;.
Bryum pallens agg.;.;.;1;+;.;.;.;.
Plagiothecium ruthei;.;1;+;.;.;.;.;.
Jungermannia obovata;.;.;+;+;.;.;.;.
Jungermannia sp.;.;+;R;.;.;.;+;R
Pellia epiphylla;.;.;.;.;.;.;.;.
Bryum pseudotriquetrum;.;.;.;+;.;1;.;.
;.;.;.;.;.;.;.;.
Carex nigra;+;.;+;.;.;.;.;.
Cardamine amara;2;.;.;.;.;.;.;.
