Aufnahmenummer;20;7;4;52;33;58;56
Flaeche (m2);20;10;4;10;10;20;20
Exposition;E;E;E;N;SSE;N;W
Inklination (o);10;10;5;5;5;10;10
Quellwasser: pH-Wert;55;60;60;60;60;55;60
Haerte (dH);4;4;4;3;4;3;3
Phanerogamen: Deckung (%);50;50;40;10;80;60;30
Artenzahl;22;29;23;10;21;20;8
Moos: Deckung (%);20;40;40;70;20;30;60
Artenzahl;4;7;10;13;4;14;8
;;;;;;;
Eriophorum angustifolium;1;1;.;+;+;1;1
Sphagnum capillifolium;2;2;2;1;+;2;.
Sphagnum girgensohnii;.;.;.;.;.;2;.
Sphagnum squarrosum;.;.;.;.;.;.;+
Aulacomnium palustre;.;1;+;+;.;+;+
Polytrichum alpinum;.;.;+;+;.;.;.
Carex nigra;.;.;1;1;+;.;+
Carex limosa;+;+;.;.;+;.;+
Carex echinata;+;.;1;.;+;.;+
Trichophorum cespitosum;1;+;.;.;.;.;.
Potentilla erecta;+;+;1;.;.;+;.
Pinguicula vulgaris;+;1;+;.;+;+;.
Calycocorsus stipitatus;.;1;R;.;+;+;.
Deschampsia cespitosa;.;1;.;1;+;+;1
Swertia perennis;1;.;.;+;.;+;.
;;;;;;;
Bryum pseudotriquetrum;.;.;+;+;.;.;.
Racomitrium aciculare;.;.;+;+;.;.;.
Dicranella palustris;.;.;+;+;.;+;.
Campylium stellatum;.;+;.;.;3;.;.
Blindia acuta;.;.;.;.;+;+;.
Drepanocladus fluitans;+;.;.;.;.;.;2
Scapania undulata;.;.;.;3;.;.;+
Scorpidium scorpioides;.;.;.;R;.;+;.
Diplophyllum taxifolium;.;.;.;+;.;.;R
Drepanocladus exannulatus var. rotae;.;.;+;.;.;.;2
;;;;;;;
Epilobium alsinifolium;.;.;+;.;.;+;+
Caltha palustris;.;.;+;1;.;+;.
Drosera rotundifolia;+;+;.;.;+;.;.
Bartsia alpina;+;.;.;.;.;.;.
Carex flava;+;.;.;.;+;.;.
Eleocharis quinqueflora;.;.;+;.;.;.;.
Luzula alpino-pilosa;+;.;R;.;+;.;.
Carex davalliana;.;+;+;.;.;.;.
Saxifraga stellaris;.;.;.;.;.;.;2
Poa alpina;.;+;+;.;.;.;.
Nardus stricta;.;.;+;.;.;.;.
Festuca pulchella;.;1;.;.;.;.;.
Valeriana dioica;.;.;.;.;.;.;.
Dactylorhiza maculata;.;R;.;.;.;R;.
Agrostis canina;.;.;.;.;.;.;.
Carex pauciflora;1;+;.;.;.;.;.
Alchemilla glabra;.;.;.;.;.;.;.
Carex dioica;.;+;.;.;.;.;.
Parnassia palustris;+;.;.;.;+;.;.
Equisetum variegatum;.;.;.;.;+;.;.
Juncus alpinus;.;.;.;+;+;.;.
Juncus filiformis;.;.;.;.;+;.;.
