taxon,matched.taxon
Achillea atrata,Achillea atrata
Aconitum napellus ssp. tauricum,Aconitum tauricum ssp. tauricum
Agrostis canina,Agrostis canina s.str.
Alchemilla decumbens,Alchemilla decumbens
Alchemilla glabra,Alchemilla glabra
Alchemilla monticola,Alchemilla monticola
Alchemilla sp.,Alchemilla sp.
Alchemilla straminea,Alchemilla straminea
Allium schoenoprasum ssp. sibiricum,Allium schoenoprasum var. alpinum
Amphidium mougeotii,Amphidium mougeotii
Anthoxanthum alpinum,Anthoxanthum alpinum
Arabis jaquinii,Arabis soyeri ssp. subcoriacea
Aster bellidiastrum,Bellidiastrum michelii
Aulacomnium palustre,Aulacomnium palustre
Bartsia alpina,Bartsia alpina
Blindia acuta,Blindia acuta
Brachythecium plumosum,Sciuro-hypnum plumosum
Brachythecium rivulare,Brachythecium rivulare
Bryum pallens agg.,Bryum pallens agg.
Bryum pseudotriquetrum,Bryum pseudotriquetrum var. pseudotriquetrum
Bryum schleicheri,Bryum schleicheri s.lat.
Bryum sp.,Bryum sp.
Bryum turbinatum,Bryum turbinatum
Bryum weigelii,Bryum weigelii
Calliergon sarmentosum,Warnstorfia sarmentosa
Caltha palustris,Caltha palustris
Calycocorsus stipitatus,Willemetia stipitata ssp. stipitata
Calypogeia trichomanis,Calypogeia azurea
Campylium stellatum,Campylium stellatum
Campylopus schimperi,Campylopus subulatus var. schimperi
Cardamine amara,Cardamine amara ssp. austriaca
Cardamine rivularis,Cardamine »rivularis«
Carex davalliana,Carex davalliana
Carex dioica,Carex dioica
Carex echinata,Carex echinata
Carex ferruginea,Carex ferruginea s.str.
Carex flava,Carex flava s.lat.
Carex flavella,Carex flava var. alpina
Carex limosa,Carex limosa
Carex nigra,Carex nigra
Carex pauciflora,Carex pauciflora
Cephalanthera damasonium,Cephalanthera damasonium
Cerastium fontanum,Cerastium fontanum s.str.
Ceratodon purpureus,Ceratodon purpureus
Chaerophyllum hirsutum ssp. villarsii,Chaerophyllum villarsii
Cirsium palustre,Cirsium palustre
Conocephalum conicum,Conocephalum conicum
Crateneuron commutatum var. commutatum,Palustriella commutata var. commutata
