plot;abbr;layer;cov;comment;history
ga01;nard stri;hl;1;;
ga01;luzu luzu rube;hl;1;;
ga01;arni mont;hl;1;;
ga01;agro agro;hl;1;; | Changed agro schr To agro agro 2012-11-26 22:33:43
ga01;rhod ferr;hl;3;;
ga01;vacc gaul;hl;3;;
ga01;pote erec;hl;+;;
ga01;junc trif;hl;+;;
ga01;camp barb barb;hl;+;; | Changed camp barb To camp barb barb 2012-11-26 22:33:43
ga01;geum mont;hl;+;;
ga01;pote aure;hl;+;;
ga01;hier alpi;hl;+;;
ga01;loni caer caer;hl;+;; | Changed loni caer To loni caer caer 2012-11-26 22:33:43
ga01;scor helv;hl;+;; | Changed leon helv To scor helv 2012-11-26 22:33:43
ga01;semp stir;hl;+;;
ga01;phyt pers;hl;+;;
ga01;gent punc;hl;+;;
ga01;homo alpi;hl;+;;
ga01;juni comm nana;hl;+;; | Changed juni alpi To juni comm nana 2012-11-26 22:33:43
ga01;camp sche;hl;+;;
ga01;aven vers;hl;+;;
ga01;soli virg minu;hl;+;; | Changed soli minu To soli virg minu 2012-11-26 22:33:43
ga01;sile vulg vulg;hl;+;; | Changed sile vulg To sile vulg vulg 2012-11-26 22:33:43
ga01;cala vill;hl;+;;
ga01;vacc viti;hl;2a;;
ga01;aven flex flex;hl;2a;;
ga01;call vulg;hl;2b;;
ga01;vacc myrt;hl;2b;;
ga01;cetr isla isla;ll;+;cf.; | Changed cetr isla To cetr isla isla 2012-11-26 22:33:43
ga01;clad spec ies;ll;+;;
ga01;rhyt triq;ml;1;;
ga01;dicr denu;ml;1;;
ga01;hylo sple;ml;1;;
ga01;grim hart;ml;1;;
ga01;pleu squa;ml;3;;
ga01;dicr scop;ml;2a;;
ga02;vacc viti;hl;1;;
ga02;phyt pers;hl;1;;
ga02;call vulg;hl;1;;
ga02;puls alpi alba;hl;1;; | Changed puls alba To puls alpi alba 2012-11-26 22:33:43
ga02;geum mont;hl;1;;
ga02;homo alpi;hl;1;;
ga02;soli virg minu;hl;1;; | Changed soli minu To soli virg minu 2012-11-26 22:33:43
ga02;chae vill;hl;1;;
ga02;pote aure;hl;1;;
ga02;aven flex flex;hl;1;;
ga02;rhod ferr;hl;3;;
ga02;carl acau acau;hl;+;; | Changed carl acau To carl acau acau 2012-11-26 22:33:43
ga02;rhin glac;hl;+;;
ga02;care semp semp;hl;+;; | Changed care semp To care semp semp 2012-11-26 22:33:43
ga02;sene caca;hl;+;;
ga02;juni comm nana;hl;+;; | Changed juni alpi To juni comm nana 2012-11-26 22:33:43
ga02;camp barb barb;hl;+;; | Changed camp barb To camp barb barb 2012-11-26 22:33:43
ga02;gent punc;hl;+;;
ga02;hype macu;hl;+;;
ga02;vera albu slat;hl;+;; | Changed vera albu To vera albu slat 2012-11-26 22:33:43
ga02;peuc ostr;hl;+;;
ga02;camp sche;hl;+;;
ga02;arni mont;hl;+;;
ga02;junc trif;hl;+;;
ga02;lotu corn;hl;+;;
ga02;trif prat niva;hl;+;;
ga02;aven vers;hl;+;;
ga02;lact alpi;hl;+;; | Changed cice alpi To lact alpi 2012-11-26 22:33:43
ga02;scor helv;hl;+;; | Changed leon helv To scor helv 2012-11-26 22:33:43
ga02;doro aust;hl;+;;
ga02;leon hisp slat;hl;+;; | Changed leon hisp To leon hisp slat 2012-11-26 22:33:43
ga02;trol euro;hl;+;;
ga02;gera sylv;hl;+;;
ga02;hier aura;hl;+;;
ga02;hier lach;hl;2a;cf.;
ga02;fest rubr rubr;hl;2a;;
ga02;sile vulg vulg;hl;2a;; | Changed sile vulg To sile vulg vulg 2012-11-26 22:33:43
ga02;crep cony;hl;2a;;
ga02;vacc gaul;hl;2a;;
ga02;agro agro;hl;2a;; | Changed agro schr To agro agro 2012-11-26 22:33:43
ga02;anth alpi;hl;2a;;
ga02;nard stri;hl;2b;;
ga02;luzu luzu rube;hl;2b;;
ga02;vacc myrt;hl;2b;;
ga02;rume alpe;hl;2b;;
ga02;dact macu slat;hl;r;; | Changed dact macu To dact macu slat 2012-11-26 22:33:43
ga02;aden alli;hl;r;;
ga02;clad spec ies;ll;+;;
