plot;table.order;alliance;association;variant;data.source;pls;elevation;expo;slope;cov;scov;hcov;mcov;latitude;longitude;accuracy;location;date
291;1;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;Pinonierstadium ;Hlousek 1998;6;605;180;60;30;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
293;2;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;Pinonierstadium ;Hlousek 1998;6;605;225;75;50;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
295;3;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;Pinonierstadium ;Hlousek 1998;4;605;180;80;30;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
303;4;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;Pinonierstadium ;Hlousek 1998;12;600;180;40;60;0;0;0;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
304;5;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;Pinonierstadium ;Hlousek 1998;6;600;225;45;50;0;0;0;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
305;6;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;Pinonierstadium ;Hlousek 1998;12;600;180;40;40;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
306;7;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;Pinonierstadium ;Hlousek 1998;10;600;180;30;30;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
307;8;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;Pinonierstadium ;Hlousek 1998;4;605;225;60;70;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
314;9;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;Pinonierstadium ;Hlousek 1998;6;600;180;30;50;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
315;10;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;Pinonierstadium ;Hlousek 1998;6;600;180;50;60;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
322;11;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;Pinonierstadium ;Hlousek 1998;8;600;180;40;50;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
279;12;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;6;605;180;40;60;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
299;13;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;9;600;180;40;80;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
300;14;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;9;600;180;45;90;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
301;15;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;8;600;180;40;60;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
302;16;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;12;600;180;40;80;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
311;17;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;6;550;270;45;90;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
312;18;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;6;550;270;45;70;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
313;19;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;6;605;225;30;50;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
316;20;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;8;600;180;45;90;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
317;21;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;10;600;180;40;80;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
318;22;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;16;600;135;45;90;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
319;23;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;12;600;180;40;90;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
320;24;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;8;600;225;45;80;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
321;25;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;6;600;225;60;80;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
323;26;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;5;605;225;70;80;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
324;27;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;6;600;180;75;100;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
325;28;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;4;600;180;45;90;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
326;29;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;6;600;180;60;100;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
327;30;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;6;600;270;80;60;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
328;31;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;8;600;270;50;70;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
329;32;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;6;600;270;60;70;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
308;33;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;6;550;270;50;80;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
309;34;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;6;550;270;45;80;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
310;35;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;typicum;Hlousek 1998;4;550;270;44;70;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
23;36;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;Ausb. mit Allium senescens ssp. montanum;Eckkrammer 2003;6;811;230;70;20;0;20;5;47.689063;13.077700;50;Kleiner Barmstein, außerhalb Seilsicherung, grobe Kalk-Felsblöcke mit Ritzen und Treppen;2002-08-03
25;37;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;Ausb. mit Allium senescens ssp. montanum;Eckkrammer 2003;10;805;210;45;60;0;20;3;47.689063;13.077700;50;Kleiner Barmstein, neben Weg, Kalk-Felsblöcke;2002-08-03
21;38;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;Ausb. mit Allium senescens ssp. montanum;Eckkrammer 2003;2;821;0;0;20;0;20;2;47.689063;13.077700;50;Kleiner Barmstein, Felskuppe 10 m nördlich des Gipfels, Kalkfels;2002-08-03
22;39;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;Ausb. mit Allium senescens ssp. montanum;Eckkrammer 2003;6;820;250;20;80;0;80;3;47.689063;13.077700;50;Kleiner Barmstein, Felskuppe 5 m nördlich des Gipfels, Kalkfels mit Humusauflage;2002-08-03
24;40;Geranion sanguinei R. Tx. apud Th. Müller 1961;Laserpitietum sileris Springer 1987;Ausb. mit Allium senescens ssp. montanum;Eckkrammer 2003;16;808;240;90;20;0;20;3;47.689063;13.077700;50;Kleiner Barmstein, bei Seilsicherung, große grobe Kalk-Felsblöcke;2002-08-03
27;41;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Eckkrammer 2003;4;678;200;90;20;0;20;5;47.712960;13.028916;100;Kienberg, Kalkfels nördlich des Weißbaches, oberhalb des Weges, schattige Nische;2002-08-16
28;42;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Eckkrammer 2003;4;678;200;90;20;0;20;3;47.712960;13.028916;100;Kienberg, neben Aufnahme 27, Kalkfelsblöcke (20 cm), Beschattung durch Picea abies und Übergang;2002-08-16
33;43;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Eckkrammer 2003;4;680;230;80;15;0;10;5;47.712960;13.028916;100;Kienberg, 10 m oberhalb des Weges, relativ glatter Fels mit wenig schmalen Simsen;2002-08-16
20;44;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Eckkrammer 2003;1;790;180;85;80;3;80;0;47.690811;13.075737;50;Großer Barmstein, Südwand, Südspitze, Felssims, Beschattung durch Picea abies;2002-07-29
280;45;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Hlousek 1998;4;605;225;70;60;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
281;46;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Hlousek 1998;6;605;225;75;30;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
282;47;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Hlousek 1998;6;605;180;60;50;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
283;48;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Hlousek 1998;8;605;225;75;40;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
284;49;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Hlousek 1998;8;605;225;70;20;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
285;50;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Hlousek 1998;6;605;225;80;50;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
286;51;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Hlousek 1998;6;605;225;80;15;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
287;52;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Hlousek 1998;4;605;180;45;10;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
288;53;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Hlousek 1998;6;605;225;60;20;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
289;54;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Hlousek 1998;8;605;225;70;20;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
290;55;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Hlousek 1998;8;605;203;60;20;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
292;56;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Hlousek 1998;6;605;225;75;10;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
294;57;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Hlousek 1998;9;605;225;70;10;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
297;58;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Hlousek 1998;6;605;225;80;20;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
276;59;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Hlousek 1998;6;550;270;75;10;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
274;60;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Hlousek 1998;6;550;270;80;10;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
277;61;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Hlousek 1998;8;550;270;80;10;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
296;62;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Hlousek 1998;6;550;270;80;20;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
298;63;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Hlousek 1998;9;605;225;90;5;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
278;64;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Laserpitium siler;Hlousek 1998;6;550;270;90;5;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
273;65;Potentillion caulescentis Br.-Bl. et Jenny 1926;Potentilletum caulescentis (Br.-Bl. 1926) Aich 1933;Ausb. mit Kernera saxatilis;Hlousek 1998;4;550;270;40;20;;;;47.587873;13.161964;8000;Haarberg und Kehrgraben-Bluntautal;
