"taxon";"matched.taxon"
"Abies alba";"Abies alba"
"Acer campestre";"Acer campestre"
"Acer campestre";"Acer campestre"
"Betula pendula";"Betula pendula"
"Frangula alnus";"Frangula alnus"
"Fraxinus excelsior";"Fraxinus excelsior"
"Fraxinus excelsior";"Fraxinus excelsior"
"Juniperus communis";"Juniperus communis ssp. communis"
"Juniperus communis ssp. alpina";"Juniperus communis ssp. nana"
"Salix caprea";"Salix caprea"
"Salix eleagnos";"Salix eleagnos ssp. eleagnos"
"Salix myrsinifolia";"Salix myrsinifolia ssp. myrsinifolia"
"Salix purpurea";"Salix purpurea"
"Salix sp.";"Salix sp."
"Sorbus chamaemespilus";"Sorbus chamaemespilus"
"Abies alba";"Abies alba"
"Aconitum lycoctonum ssp. vulparia";"Aconitum lycoctonum ssp. vulparia"
"Adenostyles alliariae";"Adenostyles alliariae"
"Agrostis alpina agg.";"Agrostis alpina s.str."
"Agrostis stolonifera";"Agrostis stolonifera s.str."
"Antericum ramosum";"Anthericum ramosum"
"Anthoxanthum odoratum";"Anthoxanthum odoratum s.str."
"Arabis bellidifolia";"Arabis bellidifolia s.str."
"Athamanta cretensis";"Athamanta cretensis"
"Calluna vulgaris";"Calluna vulgaris"
"Calluna vulgaris";"Calluna vulgaris"
"Carex alba";"Carex alba"
"Carex brachystachys";"Carex brachystachys"
"Carex digitata";"Carex digitata"
"Carex flacca";"Carex flacca ssp. flacca"
"Crepis jacquinii ssp. kerneri";"Crepis jacquinii ssp. kerneri"
"Dentaria enneaphyllos";"Cardamine enneaphyllos"
"Dentaria enneaphyllos";"Cardamine enneaphyllos"
"Dryopteris carthusiana";"Dryopteris carthusiana s.str."
"Euphrasia minima";"Euphrasia minima s.str."
"Euphrasia picta";"Euphrasia officinalis ssp. picta"
"Galium lucidum";"Galium lucidum"
"Galium mollugo";"Galium mollugo s.str."
"Galium verum";"Galium verum s.str."
"Gentiana verna";"Gentiana verna ssp. verna"
"Gymnadenia conopsea";"Gymnadenia conopsea ssp. conopsea"
"Gymnadenia odoratissima";"Gymnadenia odoratissima"
"Gymnocarpium dryopteris";"Gymnocarpium dryopteris"
"Gymnocarpium dryopteris";"Gymnocarpium dryopteris"
"Gymnocarpium robertianum";"Gymnocarpium robertianum"
"Helleborus niger";"Helleborus niger"
"Helleborus niger";"Helleborus niger"
"Hieracium glaucum";"Hieracium glaucum"
"Hieracium murorum";"Hieracium murorum"
"Hieracium murorum";"Hieracium murorum"
"Hieracium murorum/bifidum";"Hieracium murorum"
"Laserpitium latifolium";"Laserpitium latifolium ssp. latifolium"
"Leontodon hispidus ssp. hyoseroides";"Leontodon hispidus ssp. hyoseroides"
"Luzula sylvatica";"Luzula sylvatica ssp. sylvatica"
"Luzula sylvatica ssp. sieberi";"Luzula sylvatica ssp. sieberi"
"Melampyrum sylvaticum";"Melampyrum sylvaticum s.str."
"Melica nutans";"Melica nutans s.str."
"Mercurialis perennis";"Mercurialis perennis s.str."
"Mercurialis perennis";"Mercurialis perennis s.str."
"Molinia arundinacea";"Molinia arundinacea"
"Mycelis muralis";"Lactuca muralis"
"Pedicularis rostratocapitata";"Pedicularis rostratocapitata ssp. rostratocapitata"
"Pimpinella major";"Pimpinella major s.lat."
"Poa nemoralis";"Poa nemoralis"
"Polygonatum odoratum";"Polygonatum odoratum"
"Polygonatum verticillatum";"Polygonatum verticillatum"
"Polystichum lonchitis";"Polystichum lonchitis"
"Primula auricula";"Primula auricula ssp. auricula"
"Pyrola media";"Pyrola media"
"Ranunculus montanus agg.";"Ranunculus montanus s.str."
"Rhinanthus glacialis";"Rhinanthus glacialis"
"Rubus idaeus";"Rubus idaeus"
"Saxifraga rotundifolia";"Saxifraga rotundifolia ssp. rotundifolia"
"Thelypteris limbosperma";"Thelypteris limbosperma"
"Thymus pulegioides";"Thymus pulegioides ssp. pulegioides"
"Trisetum distichophyllum";"Trisetum distichophyllum s.str."
"Vincetoxicum hirundinaria";"Vincetoxicum hirundinaria"
"Barbilophozia lycopodioides";"Barbilophozia lycopodioides"
"Bazzania trilobata";"Bazzania trilobata"
"Cirriphyllum sp.";"Cirriphyllum sp."
"Climacium dendroides";"Climacium dendroides"
"Eurhynchium striatum";"Eurhynchium striatum"
"Fissidens adianthoides";"Fissidens adianthoides"
"Fissidens taxifolius";"Fissidens taxifolius"
"Hypnum callichroum";"Hypnum callichroum"
"Hypnum cupressiforme";"Hypnum cupressiforme"
"Lophocolea bidentata";"Lophocolea bidentata"
"Orthothecium rufescens";"Orthothecium rufescens"
"Plagiochila porelloides";"Plagiochila porelloides"
"Plagiomnium affine";"Plagiomnium affine"
"Plagiomnium rostratum";"Plagiomnium rostratum"
"Plagiothecium undulatum";"Plagiothecium undulatum"
"Ptilium crista-castrensis";"Ptilium crista-castrensis"
"Racomitrium canescens";"Racomitrium canescens s.lat."
"Radula complanata";"Radula complanata"
"Rhynchostegium murale";"Rhynchostegium murale"
"Scapania nemorea";"Scapania nemorea"
"Scleropodium purum";"Scleropodium purum"
