plot;cov;tcov1;tcov2;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;stones;bare;soil;date;altitude;accuracy;latitude;longitude;alliance;association;observer;location
ew01;99;95;0;1;1;91;15;0;1;0,1;0,2;16;16;F;0;0;0;0;;2012-09-22;559;5;48.556192;13.529440;Vaccinio-Piceion;Bazzanio-Piceetum  Br.Bl. & Sissingh 1939;R. Kaiser & T. Eberl;Edtwald SSE Freinberg
ew02;98;92;0;0;1;92;16;0;0;0,1;0,3;16;16;F;0;0;0;0;;2012-09-22;552;5;48.555734;13.528951;Vaccinio-Piceion;Bazzanio-Piceetum  Br.Bl. & Sissingh 1939;R. Kaiser & T. Eberl;Edtwald SSE Freinberg
ew03;99;90;0;2;30;98;22;0;2;0,1;0,3;16;16;F;0;0;0;0;;2012-09-22;530;5;48.555650;13.528091;Vaccinio-Piceion;Bazzanio-Piceetum  Br.Bl. & Sissingh 1939;R. Kaiser & T. Eberl;Edtwald SSE Freinberg
ew04;99;90;7;3;50;90;28;7;4;0,1;0,3;16;16;W;5;0;0;0;;2012-09-22;545;5;48.555667;13.527223;Vaccinio-Piceion;Bazzanio-Piceetum  Br.Bl. & Sissingh 1939;R. Kaiser & T. Eberl;Edtwald SSE Freinberg
ew05;98;88;10;12;75;90;30;10;4;0,1;0,4;16;16;F;0;0;0;0;;2012-09-22;531;9;48.555472;13.526121;Vaccinio-Piceion;Bazzanio-Piceetum  Br.Bl. & Sissingh 1939;R. Kaiser & T. Eberl;Edtwald SSE Freinberg
ew06;98;92;0;6;70;96;30;0;4;0,1;0,3;16;16;F;0;0;0;0;;2012-09-22;547;6;48.553859;13.526878;Vaccinio-Piceion;Bazzanio-Piceetum  Br.Bl. & Sissingh 1939;R. Kaiser & T. Eberl;Edtwald SSE Freinberg
ew07;99;91;20;10;65;99;30;8;4;0,1;0,3;16;16;F;0;0;0;0;;2012-09-22;537;10;48.553371;13.528305;Vaccinio-Piceion;Bazzanio-Piceetum  Br.Bl. & Sissingh 1939;R. Kaiser & T. Eberl;Edtwald SSE Freinberg
ew08;99;93;35;15;55;92;30;8;4;0,1;0,4;16;16;F;0;0;0;0;;2012-09-22;539;5;48.552450;13.527998;Vaccinio-Piceion;Bazzanio-Piceetum  Br.Bl. & Sissingh 1939;R. Kaiser & T. Eberl;Edtwald SSE Freinberg
ew09;98;92;0;2;7;95;15;0;3;0,1;0,3;16;16;F;0;0;0;0;;2012-09-23;539;5;48.552530;13.525773;Vaccinio-Piceion;Bazzanio-Piceetum  Br.Bl. & Sissingh 1939;R. Kaiser & T. Eberl;Edtwald SSE Freinberg
ew10;98;85;25;8;70;95;30;10;4;0,1;0,4;16;16;F;0;0;0;0;;2012-09-23;562;8;48.554209;13.525637;Vaccinio-Piceion;Bazzanio-Piceetum  Br.Bl. & Sissingh 1939;R. Kaiser & T. Eberl;Edtwald SSE Freinberg
ew11;95;90;28;3;50;80;30;12;4;0,1;0,3;16;16;SW;3;0;0;0;;2012-09-23;549;7;48.554049;13.523449;Vaccinio-Piceion;Bazzanio-Piceetum  Br.Bl. & Sissingh 1939;R. Kaiser & T. Eberl;Edtwald SSE Freinberg
ew12;95;85;20;65;40;75;30;12;5;0,1;0,3;16;16;SW;5;0;0;0;;2012-09-23;528;8;48.554687;13.520730;Vaccinio-Piceion;Bazzanio-Piceetum  Br.Bl. & Sissingh 1939;R. Kaiser & T. Eberl;Edtwald SSE Freinberg
ew13;95;92;30;15;45;65;15;8;4;0,1;0,2;16;16;SW;3;0;0;0;;2012-09-23;543;9;48.554416;13.522613;Vaccinio-Piceion;Bazzanio-Piceetum  Br.Bl. & Sissingh 1939;R. Kaiser & T. Eberl;Edtwald SSE Freinberg
ew14;98;95;25;10;2;20;15;8;4;0,1;0,3;16;16;N;3;0;0;0;;2012-09-23;535;9;48.555278;13.524433;unclassified;unclassified;R. Kaiser & T. Eberl;Edtwald SSE Freinberg
ew15;99;30;15;20;90;80;27;8;4;0,1;0,3;16;16;N;3;0;0;0;;2012-09-23;525;6;48.555492;13.524962;unclassified;unclassified;R. Kaiser & T. Eberl;Edtwald SSE Freinberg
ew16;85;40;2;8;60;10;27;8;4;0,1;0,3;16;16;N;3;0;0;0;;2012-09-23;541;3;48.555381;13.525445;unclassified;unclassified;R. Kaiser & T. Eberl;Edtwald SSE Freinberg
ew17;98;50;60;70;95;90;0;0;0;0,2;0,3;16;16;N;3;0;0;0;;2012-09-23;522;7;48.556184;13.524756;unclassified;unclassified;R. Kaiser & T. Eberl;Edtwald SSE Freinberg
ew18;100;30;65;20;15;15;13;8;3;0,1;0,3;16;16;W;10;0;0;0;;2012-09-23;546;7;48.557340;13.526641;unclassified;unclassified;R. Kaiser & T. Eberl;Edtwald SSE Freinberg
