Höhe (x 10 m);134;134;110;116;128
Exposition;SS0;S0;S0;S;SSW
lnklination (°);45;40;45;35;35
Deckung (%) KG;40;20;30;40;45
SB;60;80;70;60;55
Geologie;hd;hd;hd;hd;hd
Artenzahl;8;12;12;10;14
Spalte;1;2;3;4;5
;;;;;
Achnatherum calamagrostis;3;2;3;3;3
Hieracium glaucum;+;+;1;.;.
;;;;;
Rumex scutatus;+;+;+;+;+
Campanula cochlearifolia;+;+;1;+;+
Silene vulgaris * glareosa;1;+;.;1;+
;.;.;.;.;.
Carduus defloratus;.;+;1;+;+
Euphrasia salisburgensis;.;+;+;.;+
Gentianella aspera;.;+;+;.;+
Thymus praecox * polytrichus;.;.;+;+;1
Scabiosa lucida * lucida;.;.;+;.;.
;;;;;
Galium anisophyllon;.;.;+;.;.
Adenostyles alpina * alpina;.;+;.;+;.
Petasites paradoxus;.;.;.;+;.
Gymnocarpium robertianum;.;.;.;.;+
Linum catharticum;+;+;.;.;+
Leontodon hispidus * hispidus;1;+;.;.;.
Teucrium montanum;.;.;.;+;1
Poa cenisia * cenisia;+;.;.;.;.
Leontodon hispidus * hyoseroides;.;1;.;.;.
Calamagrostis varia * varia;.;.;+;.;.
Buphthalmum salicifolium;.;.;+;.;.
Hieracium bupleuroides;.;.;.;r;.
Primula auricula;.;.;.;.;+
Acer pseudoplatanus;.;.;.;.;+
Agrostis alpina;.;.;.;.;+
