Höhe (x 10 m)                             149 151
Exposition                                 S0  S0
Inklination (°)                            35  35
Deckung (%) KG                             70  60
HF                                          v   v
SB                                         30  40
Geologie                                  kom kom
Artenzahl                                  29  34
Spalte                                      1   2

Vincetoxicum hirundinaria * hirundinaria    2   2

Myosotis alpestris                          +   +
Poa cenisia * cenisia                       .   +

Silene vulgaris * glareosa                  +   +

Aconitum vulparia                           2   1
Lamiastrum galeobdolon * montanum           +   +
Origanum vulgare                            1   +
Pimpinella major                            1   +
Carduus defloratus                          +   +
Galium anisophyllon                         +   +
Euphrasia picta                             1   +
Acinos alpinus * alpinus                    1   1
Buphthalmum salicifolium                    +   +
Crepis pyrenaica                            +   +
Adenostyles alpina * alpina                 +   1
Elymus caninus                              +   +
Carlina acaulis * simplex                   +   +
Dactylis glomerata                          +   +

Viola biflora                               +   +
Tortella tortuosa                           1   +
Arabis hirsuta                              +   +
Calamagrostis varia * varia                 +   .
Linum catharticum                           +   .
Daphne mezereum                             +   .
Carex sempervirens                          +   .
Molinia caerulea                            +   .
Ctenidium molluscum                         +   .
Hippocrepis comosa                          +   .
Thesium alpinum                             +   .
Tortula norvegica                           +   .
Campanula scheuchzeri                       .   +
Lotus alpinus                               .   +
Pseudoleskea incurvata                      .   +
Geranium robertianum                        .   +
Laserpitium latifolium                      .   +
Hieracium villosum                          .   +
Phleum hirsutum                             .   +
Aconitum variegatum                         .   +
Thymus praecox * polytrichus                .   +
Athamanta cretensis                         .   +
Ranunculus oreophilus                       .   +
Melica nutans                               .   +
Carex ferruginea * ferruginea               .   +
