taxon,matched.taxon
Vincetoxicum hirundinaria * hirundinaria,Vincetoxicum hirundinaria
blank,NA
Myosotis alpestris,Myosotis alpestris
Poa cenisia * cenisia,Poa cenisia
blank,NA
Silene vulgaris * glareosa,Silene vulgaris ssp. glareosa
blank,NA
Aconitum vulparia,Aconitum lycoctonum s.lat.
Lamiastrum galeobdolon * montanum,Galeobdolon montanum
Origanum vulgare,Origanum vulgare ssp. vulgare
Pimpinella major,Pimpinella major var. major
Carduus defloratus,Carduus defloratus ssp. viridis
Galium anisophyllon,Galium anisophyllon
Euphrasia picta,Euphrasia officinalis ssp. picta
Acinos alpinus * alpinus,Clinopodium alpinum ssp. alpinum
Buphthalmum salicifolium,Buphthalmum salicifolium
Crepis pyrenaica,Crepis pyrenaica
Adenostyles alpina * alpina,Adenostyles alpina
Elymus caninus,Elymus caninus
Carlina acaulis * simplex,Carlina acaulis ssp. acaulis
Dactylis glomerata,Dactylis glomerata ssp. glomerata
blank,NA
Viola biflora,Viola biflora
Tortella tortuosa,Tortella tortuosa
Arabis hirsuta,Arabis hirsuta s.str.
Calamagrostis varia * varia,Calamagrostis varia
Linum catharticum,Linum catharticum
Daphne mezereum,Daphne mezereum
Carex sempervirens,Carex sempervirens ssp. sempervirens
Molinia caerulea,Molinia caerulea agg.
Ctenidium molluscum,Ctenidium molluscum s.lat.
Hippocrepis comosa,Hippocrepis comosa
Thesium alpinum,Thesium alpinum
Tortula norvegica,Syntrichia norvegica
Campanula scheuchzeri,Campanula scheuchzeri
Lotus alpinus,Lotus corniculatus var. alpicola s.lat.
Pseudoleskea incurvata,Pseudoleskea incurvata
Geranium robertianum,Geranium robertianum s.str.
Laserpitium latifolium,Laserpitium latifolium ssp. latifolium
Hieracium villosum,Hieracium villosum
Phleum hirsutum,Phleum hirsutum
Aconitum variegatum,Aconitum variegatum ssp. variegatum
Thymus praecox * polytrichus,Thymus praecox ssp. polytrichus
Athamanta cretensis,Athamanta cretensis
Ranunculus oreophilus,Ranunculus breyninus
Melica nutans,Melica nutans s.str.
Carex ferruginea * ferruginea,Carex ferruginea s.str.
