plot,abbr,layer,cover,voucher,comment,history
enwi01,acer camp,hl,+,,,
enwi01,agri eupa eupa,hl,r,,,
enwi01,anem nemo,hl,r,,,
enwi01,brac sylv,hl,1,,,
enwi01,brom erec,hl,r,,,
enwi01,care alba,hl,2a,,,
enwi01,care flac,hl,r,,,
enwi01,care poly,hl,r,,,
enwi01,carp betu,tl2,1,,,
enwi01,clem vita,sl,+,,,
enwi01,conv maja maja,hl,+,,,
enwi01,corn mas,hl,+,,,
enwi01,corn mas,sl,3,,,
enwi01,corn sang slat,hl,+,,,
enwi01,corn sang slat,sl,1,,,
enwi01,cory avel,hl,r,,,
enwi01,crat mono,hl,+,,,
enwi01,crat mono,sl,1,,,
enwi01,dact glom glom,hl,r,,,
enwi01,erig annu slat,hl,r,,,
enwi01,euon euro,sl,+,,,
enwi01,fest hete ylla,hl,r,,,
enwi01,frag mosc,hl,r,,,
enwi01,frax exce,hl,+,,,
enwi01,frax exce,tl1,1,,,
enwi01,frax exce,tl2,1,,,
enwi01,hede heli,hl,r,,,
enwi01,hepa nobi,hl,r,,,
enwi01,ligu vulg,hl,2b,,,
enwi01,ligu vulg,sl,4,,,
enwi01,loni xylo,hl,+,,,
enwi01,loni xylo,sl,+,,,
enwi01,orig vulg,hl,r,,,
enwi01,poa nemo,hl,r,,,
enwi01,poly mult,hl,r,,,
enwi01,pote ster,hl,r,,,
enwi01,prun aviu slat,hl,+,,,
enwi01,quer robu,hl,+,,,
enwi01,quer robu,sl,r,,,
enwi01,quer robu,tl1,4,,,
enwi01,quer robu,tl2,1,,,
enwi01,rham cath,hl,r,,,
enwi01,rham cath,sl,r,,,
enwi01,rubu sect rubu,hl,+,,,
enwi01,ulmu mino mino,hl,1,,,
enwi01,ulmu mino mino,sl,1,,,
enwi01,vibu lant,hl,r,,,
enwi02,acer camp,hl,+,,,
enwi02,acer camp,sl,+,,,
enwi02,ajug rept,hl,r,,,
enwi02,anem nemo,hl,r,,,
enwi02,berb vulg,sl,r,,,
enwi02,betu pend,hl,r,,,
enwi02,brac pinn,hl,r,,,
enwi02,brac sylv,hl,1,,,
enwi02,brom bene,hl,r,,,
enwi02,cala epig,hl,r,,,
enwi02,care alba,hl,2b,,,
enwi02,care flac,hl,r,,,
enwi02,care poly,hl,r,,,
enwi02,carp betu,hl,+,,,
enwi02,carp betu,sl,+,,,
enwi02,clem vita,hl,1,,,
enwi02,clem vita,sl,1,,,
enwi02,clin vulg vulg,hl,r,,,
enwi02,conv maja maja,hl,r,,,
enwi02,corn mas,hl,+,,,
enwi02,corn mas,sl,2b,,,
enwi02,corn sang slat,hl,+,,,
enwi02,corn sang slat,sl,1,,,
enwi02,crat mono,sl,2a,,,
enwi02,dact glom glom,hl,r,,,
enwi02,euon euro,hl,+,,,
enwi02,euon euro,sl,r,,,
enwi02,fest hete ylla,hl,r,,,
enwi02,frag mosc,hl,r,,,
enwi02,frax exce,hl,+,,,
enwi02,frax exce,tl2,2b,,,
enwi02,gali moll,hl,r,,,
enwi02,geum urba,hl,+,,,
enwi02,hede heli,hl,1,,,
enwi02,hepa nobi,hl,r,,,
enwi02,hype perf,hl,r,,,
enwi02,ligu vulg,hl,2a,,,
enwi02,ligu vulg,sl,2b,,,
enwi02,loni xylo,hl,+,,,
enwi02,loni xylo,sl,+,,,
enwi02,pinu sylv,tl1,1,,,
enwi02,poly mult,hl,r,,,
enwi02,pote ster,hl,r,,,
enwi02,prun aviu slat,hl,+,,,
enwi02,prun aviu slat,sl,r,,,
enwi02,prun spin,hl,r,,,
enwi02,prun spin,sl,+,,,
enwi02,quer robu,hl,+,,,
enwi02,quer robu,tl1,4,,,
enwi02,quer robu,tl2,2a,,,
enwi02,rosa arve,hl,1,,,
enwi02,ulmu mino mino,hl,1,,,
enwi02,ulmu mino mino,sl,1,,,
enwi02,ulmu mino mino,tl1,1,,,
enwi02,ulmu mino mino,tl2,2a,,,
enwi03,acer camp,hl,+,,,
enwi03,alli peti,hl,2a,,,
enwi03,berb vulg,hl,+,,,
enwi03,berb vulg,sl,1,,,
enwi03,brac sylv,hl,2a,,,
enwi03,brom bene,hl,2b,,,
enwi03,brom erec,hl,r,,,
enwi03,cala epig,hl,1,,,
enwi03,care alba,hl,4,,,
enwi03,care flac,hl,+,,,
enwi03,clem vita,hl,1,,,
enwi03,clem vita,sl,1,,,
enwi03,conv maja maja,hl,1,,,
enwi03,corn mas,hl,+,,,
enwi03,corn mas,sl,+,,,
enwi03,corn sang slat,hl,+,,,
enwi03,corn sang slat,sl,+,,,
enwi03,crat mono,hl,2a,,,
enwi03,crat mono,sl,2b,,,
enwi03,euon euro,hl,+,,,
enwi03,fest hete ylla,hl,+,,,
enwi03,frag mosc,hl,r,,,
enwi03,frag vesc,hl,r,,,
enwi03,frax exce,hl,1,,,
enwi03,frax exce,sl,+,,,
enwi03,frax exce,tl1,2a,,,
enwi03,frax exce,tl2,2b,,,
enwi03,geum urba,hl,1,,,
enwi03,hede heli,hl,+,,,
enwi03,laps comm slat,hl,r,,,
enwi03,ligu vulg,hl,+,,,
enwi03,ligu vulg,sl,+,,,
enwi03,loni xylo,hl,+,,,
enwi03,loni xylo,sl,1,,,
enwi03,poly mult,hl,1,,,
enwi03,pote ster,hl,r,,,
enwi03,prun spin,hl,1,,,
enwi03,prun spin,sl,1,,,
enwi03,quer robu,hl,+,,,
enwi03,quer robu,tl1,3,,,
enwi03,quer robu,tl2,1,,,
enwi03,rham cath,hl,r,,,
enwi03,robi pseu,hl,1,,,
enwi03,robi pseu,sl,+,,,
enwi03,robi pseu,tl1,1,,,
enwi03,robi pseu,tl2,2a,,,
enwi03,rosa arve,hl,r,,,
enwi03,rubu sect rubu,hl,2b,,,
enwi03,stac alpi,hl,r,,,
enwi03,ulmu mino mino,hl,+,,,
enwi03,ulmu mino mino,sl,+,,,
enwi03,vinc hiru,hl,r,,,
enwi03,viol hirt,hl,+,,,
enwi03,viol rivi,hl,r,,,
enwi04,agri eupa eupa,hl,r,,,
