plot,abbr,layer,cover,voucher,comment,history
nber001,achi mill,hl,1,,,
nber001,ajug rept,hl,1,,,
nber001,alop prat,hl,1,,,
nber001,anth odor,hl,2b,,,
nber001,arrh elat,hl,1,,,
nber001,bell pere,hl,1,,,
nber001,brom hord hord,hl,1,,,
nber001,caly sepi,hl,+,,,
nber001,camp patu patu,hl,+,,,
nber001,care acut a,hl,r,,,
nber001,care briz,hl,2m,,,
nber001,care hirt,hl,2m,,,
nber001,cera holo,hl,1,,,
nber001,cirs arve,hl,r,,,
nber001,crep bien,hl,+,,,
nber001,dact glom glom,hl,1,,,
nber001,equi arve,hl,1,,,
nber001,erig annu annu,hl,+,,,
nber001,gali albu,hl,2a,,,
nber001,holc lana,hl,2a,,,
nber001,hype perf,hl,1,,,
nber001,lotu pedu,hl,2a,,,
nber001,lych flos cucu,hl,+,,,
nber001,medi lupu,hl,+,,,
nber001,plan lanc,hl,2a,,,
nber001,plan majo majo,hl,+,,,
nber001,pote rept,hl,1,,,
nber001,ranu acri acri,hl,2a,,,
nber001,rubu sect rubu,hl,r,,,
nber001,rume acet ella,hl,+,,,
nber001,rume obtu obtu,hl,r,,,
nber001,tara sect rude,hl,1,,,
nber001,trif prat prat,hl,1,,,
nber001,vero cham cham,hl,1,,,
nber001,vici sepi,hl,+,,,
nber002,ajug rept,hl,+,,,
nber002,anth odor,hl,+,,,
nber002,brom hord hord,hl,+,,,
nber002,care briz,hl,+,,,
nber002,crep bien,hl,+,,,
nber002,erig annu annu,hl,+,,,
nber002,fall bohe,hl,+,,,
nber002,gali albu,hl,+,,,
nber002,holc lana,hl,+,,,
nber002,lath prat prat,hl,+,,,
nber002,lych flos cucu,hl,+,,,
nber002,plan lanc,hl,+,,,
nber002,pote erec,hl,+,,,
nber002,ranu acri acri,hl,+,,,
nber002,rume acet osa,hl,+,,,
nber002,sang offi,hl,+,,,
nber002,tara sect rude,hl,+,,,
nber002,vero serp serp,hl,+,,,
nber002,vici crac,hl,+,,,
nber003,alop prat,hl,2b,,,
nber003,anth odor,hl,2m,,,
nber003,camp patu patu,hl,r,,,
nber003,care hirt,hl,2m,,,
nber003,crep bien,hl,1,,,
nber003,dact glom glom,hl,2b,,,
nber003,gali apar,hl,1,,,
nber003,lath prat prat,hl,r,,,
nber003,pers bist,hl,1,,,
nber003,peta hybr,hl,+,,,
nber003,phal arun,hl,2a,,,
nber003,plan lanc,hl,1,,,
nber003,poa prat,hl,2a,,,
nber003,ranu acri acri,hl,1,,,
nber003,rume obtu obtu,hl,r,,,
nber003,sang offi,hl,+,,,
nber003,scir sylv,hl,2b,,,
nber003,tara sect rude,hl,2m,,,
nber003,vero arve,hl,1,,,
nber004,alop prat,hl,3,,3a,
nber004,anth odor,hl,2m,,,
nber004,camp patu patu,hl,+,,,
nber004,caps burs,hl,+,,,
nber004,dact glom glom,hl,3,,3a,
nber004,fica vern vern,hl,1,,,
nber004,gali albu,hl,+,,,
nber004,geum urba,hl,1,,,
nber004,glec hede,hl,1,,,
nber004,hype perf,hl,+,,,
nber004,laps comm comm,hl,+,,,
nber004,malv mosc,hl,r,,,
nber004,oeno bien aggr,hl,+,,,
nber004,plan lanc,hl,1,,,
nber004,poa prat,hl,2b,,,
nber004,pote rept,hl,1,,,
nber004,ranu acri acri,hl,+,,,
nber004,rume acet osa,hl,+,,,
nber004,sang offi,hl,r,,,
nber004,tara sect rude,hl,1,,,
nber004,trif prat prat,hl,1,,,
nber004,vero serp serp,hl,+,,,
nber004,vici crac,hl,1,,,
nber004,vici sepi,hl,+,,,
nber005,achi mill,hl,+,,,
nber005,alop prat,hl,1,,,
nber005,anth odor,hl,4,,,
nber005,arrh elat,hl,1,,,
nber005,care briz,hl,+,,,
nber005,holc lana,hl,2b,,,
nber005,ranu repe,hl,1,,,
nber005,rume obtu obtu,hl,r,,,
nber005,sile vulg vulg,hl,+,,,
nber005,stel gram,hl,2m,,,
nber005,trif prat prat,hl,1,,,
nber005,vero cham cham,hl,2m,,,
nber006,alch mont,hl,r,,,
nber006,brom hord hord,hl,2a,,,
nber006,cera holo,hl,1,,,
nber006,fest prat prat,hl,2a,,,
nber006,loli mult,hl,3,,3a,
nber006,plan majo majo,hl,1,,,
nber006,poa chai,hl,2b,,,
nber006,poa prat,hl,2b,,,
nber006,ranu repe,hl,1,,,
nber006,tara sect rude,hl,1,,,
nber006,trif dubi,hl,1,,,
nber006,trif repe repe,hl,2b,,,
nber006,urti dioi dioi,hl,1,,,
nber007,alop prat,hl,3,,3a,
nber007,card prat,hl,1,,,
nber007,care acut rmis,hl,1,,,
nber007,cera holo,hl,2a,,,
nber007,erig annu annu,hl,+,,,
nber007,fest prat prat,hl,1,,,
nber007,lych flos cucu,hl,r,,,
nber007,poa prat,hl,2a,,,
nber007,ranu repe,hl,2b,,,
nber007,vero serp serp,hl,2m,,,
nber008,alop prat,hl,2a,,,
nber008,anth odor,hl,2m,,,
nber008,camp patu patu,hl,1,,,
nber008,card prat,hl,1,,,
nber008,care acut rmis,hl,1,,,
nber008,care briz,hl,3,,3a,
nber008,gali palu palu,hl,+,,,
nber008,glec hede,hl,+,,,
nber008,holc lana,hl,2a,,,
nber008,lotu pedu,hl,2a,,,
nber008,lych flos cucu,hl,+,,,
nber008,lysi nemo,hl,1,,,
nber008,lyth sali,hl,r,,,
nber008,ranu acri acri,hl,1,,,
nber008,ranu repe,hl,2a,,,
nber008,scir sylv,hl,2a,,,
nber008,stel gram,hl,+,,,
nber008,trif prat prat,hl,1,,,
nber008,urti dioi dioi,hl,+,,,
nber008,vero cham cham,hl,r,,,
nber008,vero serp serp,hl,2m,,,
nber009,alop prat,hl,2b,,,
nber009,camp patu patu,hl,+,,,
nber009,card prat,hl,+,,,
nber009,care briz,hl,2b,,,
nber009,cera holo,hl,2a,,,
nber009,geum urba,hl,+,,,
nber009,hera spho spho,hl,r,,,
nber009,holc lana,hl,1,,,
nber009,hype perf,hl,1,,,
nber009,lych flos cucu,hl,+,,,
nber009,lysi nemo,hl,1,,,
nber009,lyth sali,hl,+,,,
nber009,pers bist,hl,1,,,
nber009,poa prat,hl,2a,,,
nber009,ranu repe,hl,2a,,,
nber009,symp offi,hl,r,,,
nber009,trif dubi,hl,1,,,
nber009,vero serp serp,hl,2a,,,
nber010,alop prat,hl,3,,3a,
nber010,bell pere,hl,+,,,
nber010,camp patu patu,hl,1,,,
nber010,card prat,hl,1,,,
nber010,cera holo,hl,2a,,,
nber010,erig annu annu,hl,+,,,
nber010,lych flos cucu,hl,1,,,
nber010,lysi nemo,hl,2b,,,
nber010,poa prat,hl,2b,,,
nber010,ranu repe,hl,2a,,,
nber010,tara sect rude,hl,1,,,
nber010,trif repe repe,hl,1,,,
nber010,vero serp serp,hl,2m,,,
nber011,alop prat,hl,2a,,,
nber011,anth odor,hl,2a,,,
nber011,camp patu patu,hl,1,,,
nber011,card prat,hl,r,,,
nber011,care acut a,hl,2m,,,
nber011,care hirt,hl,2a,,,
nber011,care lepo,hl,1,,,
nber011,cera holo,hl,1,,,
nber011,dact glom glom,hl,1,,,
nber011,erig annu annu,hl,r,,,
nber011,geum urba,hl,+,,,
nber011,holc lana,hl,+,,,
nber011,hype perf,hl,r,,,
nber011,junc fili,hl,1,,,
nber011,lotu pedu,hl,2b,,,
nber011,lych flos cucu,hl,+,,,
nber011,lysi nemo,hl,2m,,,
nber011,plan majo majo,hl,r,,,
nber011,poa prat,hl,2a,,,
nber011,ranu repe,hl,2a,,,
nber011,stel gram,hl,+,,,
nber011,tara sect rude,hl,+,,,
nber011,trif prat prat,hl,2b,,,
nber011,vero cham cham,hl,1,,,
nber011,vero serp serp,hl,2m,,,
nber012,alop prat,hl,2b,,,
nber012,bell pere,hl,1,,,
nber012,caly sepi,hl,1,,,
nber012,cera holo,hl,1,,,
nber012,erig annu annu,hl,1,,,
nber012,geum urba,hl,r,,,
nber012,glec hede,hl,r,,,
nber012,hera spho spho,hl,r,,,
nber012,holc lana,hl,+,,,
nber012,lysi nemo,hl,1,,,
nber012,poa prat,hl,2b,,,
nber012,ranu acri acri,hl,1,,,
nber012,ranu repe,hl,2a,,,
nber012,tara sect rude,hl,1,,,
nber012,trif dubi,hl,1,,,
nber012,trif prat prat,hl,2a,,,
nber012,vero serp serp,hl,1,,,
nber012,vici tetr,hl,1,,,
nber013,ajug rept,hl,1,,,
nber013,anth odor,hl,3,,3a,
nber013,calt palu,hl,+,,,
nber013,card prat,hl,+,,,
nber013,care vesi,hl,2m,,,
nber013,crep palu,hl,+,,,
nber013,fest rubr slat,hl,2b,,,
nber013,fili ulma,hl,1,,,
nber013,gali palu palu,hl,2m,,,
nber013,glec hede,hl,1,,,
nber013,holc lana,hl,2m,,,
nber013,lych flos cucu,hl,1,,,
nber013,pers bist,hl,2a,,,
nber013,ranu acri acri,hl,1,,,
nber013,ranu repe,hl,2a,,,
nber013,rume acet osa,hl,1,,,
nber013,sang offi,hl,1,,,
nber013,vero cham cham,hl,1,,,
nber014,ajug rept,hl,1,,,
nber014,alop prat,hl,2a,,,
nber014,anth odor,hl,2m,,,
nber014,care vesi,hl,3,,3a,
nber014,cera holo,hl,1,,,
nber014,fili ulma,hl,2b,,,
nber014,gali palu palu,hl,1,,,
nber014,holc lana,hl,2b,,,
nber014,junc effu,hl,1,,,
nber014,lych flos cucu,hl,1,,,
nber014,myos palu aggr,hl,2m,,,
nber014,pers bist,hl,2a,,,
nber014,poa triv,hl,2a,,,
nber014,ranu acri acri,hl,1,,,
nber014,rume acet osa,hl,1,,,
nber015,alop geni,hl,1,,,
nber015,alop prat,hl,1,,,
nber015,care vesi,hl,4,,,
nber015,fest prat prat,hl,1,,,
nber015,glyc flui,hl,2a,,,
nber015,lych flos cucu,hl,r,,,
nber015,myos palu aggr,hl,r,,,
nber015,ranu flam,hl,2a,,,
nber016,ajug rept,hl,1,,,
nber016,alop prat,hl,2m,,,
nber016,anth odor,hl,2a,,,
nber016,camp patu patu,hl,+,,,
nber016,card prat,hl,+,,,
nber016,care lepo,hl,1,,,
nber016,cera holo,hl,+,,,
nber016,cyno cris,hl,2m,,,
nber016,fest prat prat,hl,2m,,,
nber016,holc lana,hl,2b,,,
nber016,lych flos cucu,hl,1,,,
nber016,myos palu aggr,hl,+,,,
nber016,pers bist,hl,+,,,
nber016,ranu acri acri,hl,+,,,
nber016,ranu repe,hl,2b,,,
nber016,sang offi,hl,+,,,
nber016,trif prat prat,hl,2b,,,
nber016,trif repe repe,hl,2b,,,
nber017,alop prat,hl,2m,,,
nber017,anth odor,hl,2m,,,
nber017,care vesi,hl,2m,,,
nber017,cera holo,hl,1,,,
nber017,cyno cris,hl,2m,,,
nber017,fest prat prat,hl,2m,,,
nber017,holc lana,hl,2b,,,
nber017,lych flos cucu,hl,1,,,
nber017,myos palu aggr,hl,+,,,
nber017,pers bist,hl,1,,,
nber017,poa chai,hl,2m,,,
nber017,ranu acri acri,hl,+,,,
nber017,ranu repe,hl,4,,,
nber017,sang offi,hl,1,,,
nber017,trif dubi,hl,+,,,
nber017,trif prat prat,hl,1,,,
nber018,achi mill,hl,1,,,
nber018,ajug rept,hl,1,,,
nber018,alop prat,hl,2m,,,
nber018,anth odor,hl,2m,,,
nber018,bell pere,hl,1,,,
nber018,camp patu patu,hl,1,,,
nber018,card prat,hl,1,,,
nber018,care briz,hl,2m,,,
nber018,care lepo,hl,1,,,
nber018,cera holo,hl,1,,,
nber018,cyno cris,hl,2m,,,
nber018,fest prat prat,hl,2m,,,
nber018,holc lana,hl,2b,,,
nber018,leuc ircu,hl,+,,,
nber018,lych flos cucu,hl,1,,,
nber018,myos palu aggr,hl,+,,,
nber018,pers bist,hl,1,,,
nber018,poa chai,hl,2m,,,
nber018,ranu acri acri,hl,1,,,
nber018,ranu repe,hl,2b,,,
nber018,sang offi,hl,+,,,
nber018,trif prat prat,hl,2b,,,
nber018,trif repe repe,hl,2b,,,
nber019,alop prat,hl,2b,,,
nber019,anth odor,hl,2a,,,
nber019,camp patu patu,hl,1,,,
nber019,care briz,hl,2m,,,
nber019,care lepo,hl,1,,,
nber019,care nigr,hl,+,,,
nber019,care pall,hl,1,,,
nber019,care vesi,hl,1,,,
nber019,dact glom glom,hl,1,,,
nber019,fest rubr slat,hl,2a,,,
nber019,fili ulma,hl,1,,,
nber019,holc lana,hl,3,,3a,
nber019,lath prat prat,hl,+,,,
nber019,luzu camp,hl,2m,,,
nber019,lych flos cucu,hl,+,,,
nber019,phyt nigr,hl,+,,,
nber019,poa prat,hl,2a,,,
nber019,pote erec,hl,r,,,
nber019,ranu acri acri,hl,1,,,
nber019,ranu repe,hl,2a,,,
nber019,sang offi,hl,2a,,,
nber019,tara sect rude,hl,+,,,
nber019,trif dubi,hl,+,,,
nber019,vero fili,hl,+,,,
nber020,alop prat,hl,2b,,,
nber020,anth odor,hl,2m,,,
nber020,card prat,hl,1,,,
nber020,care briz,hl,2a,,,
nber020,care lepo,hl,2a,,,
nber020,cera holo,hl,+,,,
nber020,cyno cris,hl,2a,,,
nber020,fest prat prat,hl,2a,,,
nber020,glec hede,hl,1,,,
nber020,holc lana,hl,3,,3b,
nber020,lysi numm,hl,+,,,
nber020,pers bist,hl,1,,,
nber020,ranu acri acri,hl,1,,,
nber020,ranu repe,hl,1,,,
nber020,sang offi,hl,2m,,,
nber020,trif dubi,hl,+,,,
nber021,achi mill,hl,1,,,
nber021,ajug rept,hl,1,,,
nber021,alch mont,hl,+,,,
nber021,alop prat,hl,2a,,,
nber021,camp patu patu,hl,r,,,
nber021,care briz,hl,1,,,
nber021,care lepo,hl,1,,,
nber021,cera holo,hl,1,,,
nber021,cyno cris,hl,2b,,,
nber021,fest prat prat,hl,2a,,,
nber021,fest rubr slat,hl,2a,,,
nber021,hera spho spho,hl,r,,,
nber021,holc lana,hl,2a,,,
nber021,pers bist,hl,1,,,
nber021,plan lanc,hl,+,,,
nber021,ranu acri acri,hl,2a,,,
nber021,ranu auri aggr,hl,2m,,,
nber021,ranu repe,hl,2a,,,
nber021,sang offi,hl,2a,,,
nber021,scir sylv,hl,1,,,
nber021,tara sect rude,hl,1,,,
nber021,trif dubi,hl,+,,,
nber021,trif prat prat,hl,2a,,,
nber021,trif repe repe,hl,1,,,
nber021,vero serp serp,hl,1,,,
nber022,achi mill,hl,+,,,
nber022,agro capi,hl,2a,,,
nber022,alch mont,hl,1,,,
nber022,alop prat,hl,1,,,
nber022,anth odor,hl,2a,,,
nber022,camp patu patu,hl,1,,,
nber022,care briz,hl,2a,,,
nber022,cera holo,hl,1,,,
nber022,dact glom glom,hl,1,,,
nber022,holc lana,hl,2b,,,
nber022,hype macu,hl,1,,,
nber022,lych flos cucu,hl,1,,,
nber022,plan lanc,hl,2m,,,
nber022,poa prat,hl,2a,,,
nber022,pote erec,hl,1,,,
nber022,prun vulg,hl,2m,,,
nber022,ranu acri acri,hl,+,,,
nber022,ranu repe,hl,1,,,
nber022,sang offi,hl,2b,,,
nber022,stel gram,hl,2m,,,
nber022,tara sect rude,hl,+,,,
nber022,trif prat prat,hl,1,,,
nber022,trif repe repe,hl,2a,,,
nber022,vero cham cham,hl,1,,,
nber023,ajug rept,hl,1,,,
nber023,alop prat,hl,1,,,
nber023,anth odor,hl,1,,,
nber023,care briz,hl,2a,,,
nber023,care pall,hl,1,,,
nber023,fest prat prat,hl,1,,,
