plot;date;region;location;longitude;latitude;accuracy;pls;altitude;expo;slope;geomorphology;altitudinal.belt;bedrock;vegetation;soil;landuse;cov;t1cov;htl1;t2cov;htl2;scov;hsl;hcov;hhl;mcov;comment;observer
epa1;2012-06-04;Etrachsee;E Etrachsee;13.97762E;47.22721N;500;625;1200;W;12;Mittelhang;montan;Schiefer;Nadelwald;Braunerde;extensive Forstwirtschaft, teilw. beweidet;70;40;25;30;15;2;2,5;50;50;60;;P. Heiselmayer & V. Meroth
epa2;2012-06-04;Etrachsee;E Etrachsee;13.97762E;47.22721N;500;625;1220;W;10;Mittelhang;montan;Schiefer;Nadelwald;Braunerde;extensive Forstwirtschaft, teilw. beweidet;65;40;28;25;15;5;2,5;45;50;70;;P. Heiselmayer & V. Meroth
epa3;2012-06-04;Etrachsee;E Etrachsee;13.97762E;47.22721N;500;625;1210;W;10;Mittelhang;montan;Schiefer;Nadelwald;Braunerde;extensive Forstwirtschaft, teilw. beweidet;75;45;25;0;0;3;2,5;50;50;65;;P. Heiselmayer & V. Meroth
epb1;2012-06-04;Etrachsee;E Etrachsee;13.97762E;47.22721N;500;625;1350;W;14;Mittelhang;montan;Schiefer;Nadelwald;Braunerde;extensive Forstwirtschaft, teilw. beweidet;80;65;28;0;0;5;2;55;99;60;;P. Heiselmayer & V. Meroth
epb2;2012-06-04;Etrachsee;E Etrachsee;13.97762E;47.22721N;500;625;1375;W;12;Mittelhang;montan;Schiefer;Nadelwald;Braunerde;extensive Forstwirtschaft, teilw. beweidet;85;70;20;0;0;3;2,5;40;50;60;;P. Heiselmayer & V. Meroth
epb3;2012-06-04;Etrachsee;E Etrachsee;13.97762E;47.22721N;500;400;1380;W;17;Mittelhang;montan;Schiefer;Nadelwald;Braunerde;extensive Forstwirtschaft, teilw. beweidet;75;90;30;0;0;6;2;50;99;10;;P. Heiselmayer & V. Meroth
epc1;2012-06-05;Etrachsee;E Etrachsee;13.97762E;47.22721N;500;450;1390;W;15;Mittelhang;montan;Schiefer;Nadelwald;Braunerde;extensive Forstwirtschaft, teilw. beweidet;85;35;25;20;12;1;3;35;50;75;;P. Heiselmayer & V. Meroth
epc2;2012-06-05;Etrachsee;E Etrachsee;13.97762E;47.22721N;500;450;1395;W;15;Mittelhang;montan;Schiefer;Nadelwald;Braunerde;extensive Forstwirtschaft, teilw. beweidet;65;40;25;5;12;1;2;25;50;75;;P. Heiselmayer & V. Meroth
epc3;2012-06-05;Etrachsee;E Etrachsee;13.97762E;47.22721N;500;400;1395;W;15;Mittelhang;montan;Schiefer;Nadelwald;Braunerde;extensive Forstwirtschaft, teilw. beweidet;80;55;23;3;10;3;3;60;50;60;;P. Heiselmayer & V. Meroth
epc4;2012-06-05;Prebersee;300m W Landesgrenze, N der Prebersee-Landesstraße;13.89150E;47.18962N;500;10;1450;S;3;leichte Muldenlage;montan;Schiefer;Moor;Torf;Beweidung;95;4;4;4;4;4;4;60;30;70;;P. Heiselmayer & V. Meroth
epc5;2012-06-05;Prebersee;300m W Landesgrenze, N der Prebersee-Landesstraße;13.89150E;47.18962N;500;10;1450;S;3;leichte Muldenlage;montan;Schiefer;Moor;Torf;Beweidung;95;6;6;6;6;6;6;50;30;85;;P. Heiselmayer & V. Meroth
epc6;2012-06-05;Prebersee;300m W Landesgrenze, N der Prebersee-Landesstraße;13.89150E;47.18962N;500;10;1450;S;3;leichte Muldenlage;montan;Schiefer;Moor;Torf;Beweidung;95;7;7;7;7;7;7;55;30;80;;P. Heiselmayer & V. Meroth
epc7;2012-06-05;Prebersee;300m W Landesgrenze, N der Prebersee-Landesstraße;13.89150E;47.18962N;500;10;1452;S;7;leichte Muldenlage;montan;Schiefer;Moor;Torf;Beweidung;99;12;12;12;12;12;12;90;30;99;;P. Heiselmayer & V. Meroth
epd1;2012-06-05;Etrachsee;E Etrachsee;13.97762E;47.22721N;500;625;1390;W;15;Mittelhang;montan;Schiefer;Nadelwald;Braunerde;extensive Forstwirtschaft, teilw. beweidet;80;60;20;0;0;2;4,5;30;50;65;;P. Heiselmayer & V. Meroth
epd2;2012-06-05;Etrachsee;E Etrachsee;13.97762E;47.22721N;500;625;1395;W;15;Mittelhang;montan;Schiefer;Nadelwald;Braunerde;extensive Forstwirtschaft, teilw. beweidet;90;75;20;0;0;2;5;40;30;65;;P. Heiselmayer & V. Meroth
epd3;2012-06-05;Etrachsee;E Etrachsee;13.97762E;47.22721N;500;625;1395;W;15;Mittelhang;montan;Schiefer;Nadelwald;Braunerde;extensive Forstwirtschaft, teilw. beweidet;80;75;20;0;0;2;1;25;15;60;;P. Heiselmayer & V. Meroth
epd4;2012-06-05;Prebersee;300m W Landesgrenze, N der Prebersee-Landesstraße;13.89150E;47.18962N;500;10;1450;S;3;leichte Muldenlage;montan;Schiefer;Moor;Torf;Beweidung;95;3;3;3;3;3;3;98;30;98;;P. Heiselmayer & V. Meroth
epd5;2012-06-05;Prebersee;300m W Landesgrenze, N der Prebersee-Landesstraße;13.89150E;47.18962N;500;10;1450;S;3;leichte Muldenlage;montan;Schiefer;Moor;Torf;Beweidung;95;8;8;8;8;8;8;90;90;30;;P. Heiselmayer & V. Meroth
epd6;2012-06-05;Prebersee;300m W Landesgrenze, N der Prebersee-Landesstraße;13.89150E;47.18962N;500;10;1450;S;3;leichte Muldenlage;montan;Schiefer;Moor;Torf;Beweidung;80;0;0;0;0;0;0;90;30;90;;P. Heiselmayer & V. Meroth
epd7;2012-06-05;Prebersee;300m W Landesgrenze, N der Prebersee-Landesstraße;13.89150E;47.18962N;500;10;1452;S;7;leichte Muldenlage;montan;Schiefer;Moor;Torf;Beweidung;95;11;11;11;11;11;11;90;30;90;;P. Heiselmayer & V. Meroth
epe1;2012-06-05;Etrachsee;E Etrachsee;13.97762E;47.22721N;500;500;1480;W;15;Mittelhang;montan;Schiefer;Nadelwald;Braunerde;extensive Forstwirtschaft, teilw. beweidet;70;45;28;15;10;2;2;40;50;60;;P. Heiselmayer & V. Meroth
epe2;2012-06-05;Prebersee;300m W Landesgrenze, N der Prebersee-Landesstraße;13.89150E;47.18962N;500;500;1480;W;15;leichte Muldenlage;montan;Schiefer;Moor;Torf;Beweidung;95;1;1;1;1;1;1;50;50;80;;P. Heiselmayer & V. Meroth
