plot;variable;value
1;altitude;1200
2;altitude;1300
3;altitude;1300
4;altitude;1250
5;altitude;1000
6;altitude;1250
7;altitude;1100
8;altitude;1100
9;altitude;1500
10;altitude;1560
11;altitude;1480
12;altitude;1300
13;altitude;1380
14;altitude;1500
15;altitude;1410
16;altitude;1400
17;altitude;1380
18;altitude;1360
19;altitude;1490
20;altitude;1410
1;comment;
2;comment;
3;comment;
4;comment;
5;comment;
6;comment;
7;comment;
8;comment;
9;comment;
10;comment;
11;comment;
12;comment;
13;comment;
14;comment;
15;comment;
16;comment;
17;comment;
18;comment;
19;comment;
20;comment;
1;expo;S
2;expo;S
3;expo;S
4;expo;S
5;expo;SE
6;expo;S
7;expo;S
8;expo;S
9;expo;S
10;expo;W
11;expo;S
12;expo;S
13;expo;S
14;expo;SE
15;expo;S
16;expo;S
17;expo;S
18;expo;S
19;expo;S
20;expo;S
1;latitude;47,102207
2;latitude;47,099044
3;latitude;47,112043
4;latitude;47,112385
5;latitude;47,08969
6;latitude;47,10385
7;latitude;47,089129
8;latitude;47,09507
9;latitude;47,100724
10;latitude;47,020272
11;latitude;47,021712
12;latitude;47,004186
13;latitude;47,010411
14;latitude;47,008334
15;latitude;47,006865
16;latitude;47,005353
17;latitude;47,010914
18;latitude;47,016658
19;latitude;47,024059
20;latitude;47,018145
1;location;Lungau, Muhr, Fuß einer Felswand oberhalb Muhr
2;location;Lungau, Muhr, Felsunterkante oberh. Muhr Richtung Mayerhof
3;location;Lungau, W of Jedl, Trockener Felsrasen westl. Jedl
4;location;Lungau, W of Jedl, Felswand ca 200 m westl. Trockener Felsrasen westl. Jedl
5;location;Lungau, E of Muhr, Trockenfelsen bei Hemerach
6;location;Lungau, Muhr/Jedl, Felsen zwischen Muhr und Jedl kurz vor dem Trawenig-Graben
7;location;Lungau, E of Hemerach, Felsen bei der alten Brücke östl. Hemerach
8;location;Lungau, Maierhof, Felsen oberhalb Maierhof
9;location;Lungau, E of Muhr, Trockenfelsen beim Zeppergraben ca 2 km östl. Muhr
10;location;Ost-Tirol, Virgental, Hinterbichl
11;location;Ost-Tirol, Virgental, near Bichl W of Prägraten
12;location;Ost-Tirol, Virgental, road Obermauer-Bojobach
13;location;Ost-Tirol, Virgental, Obermauern, Steinige steile, verbuschte Heide oberhalb Obermauern
14;location;Ost-Tirol, Virgental, Budam, Felsiger Steilhang unterhalb Budam
15;location;Ost-Tirol, Virgental, Obermauern-Bojobach, Felsiger Steilhang am Weg Obermauern-Bobojach, östlich des Wegkreuzes
16;location;"Ost-Tirol, Virgental, Obermauern; Flachgründiger Trockenhang bei der Burg Obermauern"
17;location;Ost-Tirol, Virgental, Obermauern, Treppiger Felsen an der Nilbachbrücke oberhalb Obermauern
18;location;Ost-Tirol, Virgental, Wallhorn, Steiler Felshang unterhalb Wallhorn
19;location;Ost-Tirol, Virgental, Hinterbichl, Felsige Partie oberhalb felsiger Trockenrasen beim Wiesenkreuz oberhalb Hinterbichl
20;location;Ost-Tirol, Virgental, Wallhorn, Verbuschte Weide bei Wallhorn
1;longitude;13,498475
2;longitude;13,515123
3;longitude;13,467066
4;longitude;13,466055
5;longitude;13,547685
6;longitude;13,49588
7;longitude;13,553206
8;longitude;13,532499
9;longitude;13,524581
10;longitude;12,340434
11;longitude;12,356865
12;longitude;12,424437
13;longitude;12,439241
14;longitude;12,428507
15;longitude;12,423923
16;longitude;12,434089
17;longitude;12,437346
18;longitude;12,404584
19;longitude;12,335408
20;longitude;12,404777
1;plsx;8
2;plsx;9
3;plsx;10
4;plsx;9
5;plsx;7
6;plsx;9
7;plsx;10
8;plsx;5
9;plsx;0
10;plsx;0
11;plsx;0
12;plsx;0
13;plsx;0
14;plsx;0
15;plsx;0
16;plsx;0
17;plsx;0
18;plsx;0
19;plsx;0
20;plsx;0
1;plsy;10
2;plsy;10
3;plsy;10
4;plsy;10
5;plsy;10
6;plsy;10
7;plsy;10
8;plsy;10
9;plsy;0
10;plsy;0
11;plsy;0
12;plsy;0
13;plsy;0
14;plsy;0
15;plsy;0
16;plsy;0
17;plsy;0
18;plsy;0
19;plsy;0
20;plsy;0
1;accuracy;200
2;accuracy;200
3;accuracy;200
4;accuracy;200
5;accuracy;200
6;accuracy;200
7;accuracy;200
8;accuracy;200
9;accuracy;200
10;accuracy;200
11;accuracy;200
12;accuracy;200
13;accuracy;200
14;accuracy;200
15;accuracy;200
16;accuracy;200
17;accuracy;200
18;accuracy;200
19;accuracy;200
20;accuracy;200
1;precision.vertical;20
2;precision.vertical;20
3;precision.vertical;20
4;precision.vertical;20
5;precision.vertical;20
6;precision.vertical;20
7;precision.vertical;20
8;precision.vertical;20
9;precision.vertical;20
10;precision.vertical;20
11;precision.vertical;20
12;precision.vertical;20
13;precision.vertical;20
14;precision.vertical;200
15;precision.vertical;20
16;precision.vertical;20
17;precision.vertical;20
18;precision.vertical;20
19;precision.vertical;20
20;precision.vertical;20
1;slope;45
2;slope;60
3;slope;55
4;slope;60
5;slope;75
6;slope;30
7;slope;40
8;slope;60
9;slope;12
10;slope;50
11;slope;40
12;slope;45
13;slope;35
14;slope;40
15;slope;40
16;slope;30
17;slope;45
18;slope;40
19;slope;40
20;slope;30
