plot;abbr;layer;cov;comment;determined;history
1;arte absi;hl;+;Artemisia absinthium;;
1;arte camp;hl;1;Artemisia campestris;;
1;camp trac;hl;+;C. trachelium;;
1;card defl slat;hl;+;Carduus defloratus agg.;;
1;carl vulg slat;hl;+;Carlina vulgaris agg.;;
1;clin acin;hl;+;Acinos alpinus;;
1;digi gran;hl;+;Digitalis grandiflora;;
1;euph cypa;hl;+;Euphorbia cyparissias;;
1;gali moll aggr;hl;+;Galium mollugo agg.;;
1;hier pilo ella;hl;1;Hieracium pilosella;;
1;hylo maxi;hl;+;Sedum maximum;;
1;juni sabi;hl;3;Juniperus sabina;;
1;rham cath;hl;+;Rhamnus cathartica;;
1;rume acet slat;hl;+;Rumex acetosella s. lat.;;
1;saxi pani;hl;+;Saxifraga paniculata;;
1;semp arac;hl;+;Sempervivum arachnoideum;;
1;semp wulf;hl;+;Sempervivum wulfenii;;
1;sesl caer;hl;1;Sesleria albicans;;
1;sile nuta nuta;hl;+;Silene nutans s. lat.;;
1;thal minu slat;hl;+;Thalictrum minus agg.;;
1;thym prae slat;hl;+;Thymus praecox agg.;;
1;vinc hiru;hl;+;Vincetoxicum hirundinaria;;
2;arte camp;hl;+;Artemisia campestris;;
2;card defl slat;hl;1;Carduus defloratus agg.;;
2;digi gran;hl;+;Digitalis grandiflora;;
2;echi vulg;hl;+;Echium vulgare;;
2;erys sylv;hl;1;Erysimum sylvestre;;
2;euph cypa;hl;1;Euphorbia cyparissias;;
2;fest stri sulc;hl;2;Festuca  rupicola;;
2;gali moll aggr;hl;+;Galium mollugo agg.;;
2;gent anis;hl;+;Gentianella anisodonta;;
2;juni sabi;hl;2;Juniperus sabina;;
2;koel pyra pyra;hl;+;Koeleria pyramidata auct.;;
2;lase lati lati;hl;+;Laserpitium  latifolium;;
2;linu cath;hl;+;Linum catharticum;;
2;rume acet slat;hl;1;Rumex acetosella s. lat.;;
2;semp arac;hl;1;Sempervivum arachnoideum;;
2;sese liba liba;hl;1;Seseli libanotis;;
2;sile nuta nuta;hl;1;Silene nutans s. lat.;;
2;vici crac aggr;hl;+;Vicia cracca agg.;;
3;agro capi;hl;+;Agrostis capillaris;;
3;aste alpi;hl;+;Aster  alpinus;;
3;dian sylv;hl;+;Dianthus sylvestris;;
3;euph cypa;hl;+;Euphorbia cyparissias;;
3;gali moll aggr;hl;+;Galium mollugo agg.;;
3;gali pumi;hl;+;Galium pusillum agg.;;
3;heli numm slat;hl;+;Helianthemum nummularium agg.;;
3;juni sabi;hl;2;Juniperus sabina;;
3;koel pyra pyra;hl;1;Koeleria pyramidata auct.;;
3;pote vern aggr;hl;+;Potentilla verna agg.;;
3;saxi pani;hl;+;Saxifraga paniculata;;
3;scab colu;hl;+;Scabiosa columbaria;;
3;semp arac;hl;+;Sempervivum arachnoideum;;
3;semp wulf;hl;+;Sempervivum wulfenii;;
3;sesl caer;hl;4;Sesleria albicans;;
3;thym prae slat;hl;+;Thymus praecox agg.;;
4;agro capi;hl;+;Agrostis capillaris;;
4;amel oval;hl;+;Amelanchier ovalis;;
4;anth odor aggr;hl;+;Anthoxanthum odoratum agg.;;
4;arte camp;hl;+;Artemisia campestris;;
4;card defl slat;hl;+;Carduus defloratus agg.;;
4;dian cart slat;hl;+;Dianthus carthusianorum agg.;;
4;fest stri sulc;hl;+;Festuca  rupicola;;
4;gali moll aggr;hl;+;Galium mollugo agg.;;
4;gali pumi;hl;+;Galium pusillum agg.;;
4;juni sabi;hl;4;Juniperus sabina;;
4;lase lati lati;hl;+;Laserpitium  latifolium;;
4;linu cath;hl;+;Linum catharticum;;
4;phle phle;hl;+;Phleum phleoides;;
4;phle prat aggr;hl;+;Phleum pratense agg.;;
4;poly odor;hl;1;Polygonatum odoratum;;
4;scab colu;hl;+;Scabiosa columbaria;;
4;semp arac;hl;1;Sempervivum arachnoideum;;
4;semp wulf;hl;+;Sempervivum wulfenii;;
4;sesl caer;hl;1;Sesleria albicans;;
4;thym prae slat;hl;+;Thymus praecox agg.;;
4;vinc hiru;hl;+;Vincetoxicum hirundinaria;;
4;wood alpi;hl;+;Woodsia alpina;;
5;achi mill aggr;hl;+;Achillea millefolium agg.;;
5;card defl slat;hl;+;Carduus defloratus agg.;;
5;clin acin;hl;+;Acinos alpinus;;
5;dian cart slat;hl;+;Dianthus carthusianorum agg.;;
5;erys sylv;hl;1;Erysimum sylvestre;;
5;euph cypa;hl;1;Euphorbia cyparissias;;
5;fest stri sulc;hl;1;Festuca  rupicola;;
5;gali pumi;hl;+;Galium pusillum agg.;;
5;jovi glob aren;hl;2;Jovibarba arenaria;;
5;juni sabi;hl;3;Juniperus sabina;;
5;koel pyra pyra;hl;+;Koeleria pyramidata auct.;;
5;saxi pani;hl;+;Saxifraga paniculata;;
5;scab colu;hl;+;Scabiosa columbaria;;
5;sedu albu;hl;1;Sedum album;;
5;semp arac;hl;2;Sempervivum arachnoideum;;
5;sese liba liba;hl;+;Seseli libanotis;;
5;sile rupe;hl;+;Silene rupestris;;
5;thym prae slat;hl;2;Thymus praecox agg.;;
5;vero frut cans;hl;+;Veronica fruticans;;
6;agro capi;hl;+;Agrostis capillaris;;
6;aspl sept sept;hl;+;Asplenium septentrionale;;
6;aste alpi;hl;+;Aster  alpinus;;
6;clin acin;hl;+;Acinos alpinus;;
6;erys sylv;hl;+;Erysimum sylvestre;;
6;euph cypa;hl;1;Euphorbia cyparissias;;
6;euph sali;hl;+;Euphrasia salisburgensis;;
6;fest stri sulc;hl;2;Festuca  rupicola;;
6;gali moll aggr;hl;+;Galium mollugo agg.;;
6;gali pumi;hl;+;Galium pusillum agg.;;
6;hier pilo ella;hl;1;Hieracium pilosella;;
6;jovi glob aren;hl;+;Jovibarba arenaria;;
6;juni sabi;hl;3;Juniperus sabina;;
6;thal minu slat;hl;+;Thalictrum minus agg.;;
6;thym prae slat;hl;+;Thymus praecox agg.;;
6;trif medi medi;hl;+;Trifolium medium;;
6;vinc hiru;hl;+;Vincetoxicum hirundinaria;;
6;wood alpi;hl;+;Woodsia alpina;;
7;alli lusi;hl;+;Allium senescens;;
7;alli oler;hl;+;Allium oleraceum;;
7;anth vuln slat;hl;+;Anthyllis vulneraria;;
7;arte camp;hl;1;Artemisia campestris;;
7;aste alpi;hl;+;Aster  alpinus;;
7;astr pend;hl;+;Astragalus penduliflorus;;
7;homa pube pube;hl;+;Avenula pubescens;;
7;brac pinn aggr;hl;+;Brachypodium pinnatum agg.;;
7;briz medi;hl;+;Briza media;;
7;clin acin;hl;1;Acinos alpinus;;
7;clin vulg vulg;hl;+;Clinopodium vulgare;;
7;dian cart slat;hl;1;Dianthus carthusianorum agg.;;
7;erys sylv;hl;+;Erysimum sylvestre;;
7;euph cypa;hl;+;Euphorbia cyparissias;;
7;fest stri sulc;hl;2;Festuca  rupicola;;
7;frag vesc;hl;+;Fragaria vesca;;
7;frax exce;hl;+;Fraxinus excelsior;;
7;gali pumi;hl;+;Galium pusillum agg.;;
7;gali veru;hl;1;Galium verum;;
7;heli numm slat;hl;+;Helianthemum nummularium agg.;;
7;jovi glob aren;hl;+;Jovibarba arenaria;;
7;juni sabi;hl;2;Juniperus sabina;;
7;koel pyra pyra;hl;1;Koeleria pyramidata auct.;;
7;leon hisp slat;hl;+;Leontodon hispidus;;
7;leuc vulg aggr;hl;1;Leucanthemum vulgare agg.;;
7;lili bulb bulb;hl;+;Lilium bulbiferum, most likely L. bulbiferum subsp. bulbiferum;;
7;phle phle;hl;+;Phleum phleoides;;
7;poa moli;hl;1;Poa molineri;;
7;poly odor;hl;+;Polygonatum odoratum;;
7;pote vern aggr;hl;+;Potentilla verna agg.;;
7;prim veri veri;hl;+;P. veris;;
7;rubu idae;hl;+;Rubus idaeus;;
7;saxi pani;hl;1;Saxifraga paniculata;;
7;scab colu;hl;1;Scabiosa columbaria;;
7;sedu albu;hl;2;Sedum album;;
7;sedu dasy;hl;+;Sedum dasyphyllum;;
7;semp arac;hl;2;Sempervivum arachnoideum;;
7;sese liba liba;hl;1;Seseli libanotis;;
7;sile nuta nuta;hl;+;Silene nutans s. lat.;;
7;thal minu slat;hl;+;Thalictrum minus agg.;;
7;thym prae slat;hl;2;Thymus praecox agg.;;
7;vero frut cans;hl;+;Veronica fruticans;;
7;vici crac aggr;hl;+;Vicia cracca agg.;;
7;vinc hiru;hl;+;Vincetoxicum hirundinaria;;
7;wood alpi;hl;+;Woodsia alpina;;
8;agro capi;hl;1;Agrostis capillaris;;
8;alli lusi;hl;+;Allium senescens;;
8;anth vuln slat;hl;+;Anthyllis vulneraria;;
8;arte absi;hl;+;Artemisia absinthium;;
8;arte camp;hl;1;Artemisia campestris;;
8;aspl ruta;hl;+;Asplenium ruta-muraria;;
8;aste alpi;hl;+;Aster  alpinus;;
8;homa pube pube;hl;+;Avenula pubescens;;
8;cala vari;hl;+;Calamagrostis varia;;
8;card defl slat;hl;+;Carduus defloratus agg.;;
8;clin acin;hl;1;Acinos alpinus;;
8;dian cart slat;hl;+;Dianthus carthusianorum agg.;;
8;dian sylv;hl;1;Dianthus sylvestris;;
8;erys sylv;hl;+;Erysimum sylvestre;;
8;euph cypa;hl;1;Euphorbia cyparissias;;
8;fest stri sulc;hl;2;Festuca  rupicola;;
8;gali pumi;hl;1;Galium pusillum agg.;;
8;gali veru;hl;+;Galium verum;;
8;gyps repe;hl;1;Gypsophila repens;;
8;hier pilo ella;hl;+;Hieracium pilosella;;
8;hylo maxi;hl;+;Sedum maximum;;
8;jovi glob aren;hl;+;Jovibarba arenaria;;
8;juni sabi;hl;2;Juniperus sabina;;
8;koel pyra pyra;hl;+;Koeleria pyramidata auct.;;
8;lase lati lati;hl;+;Laserpitium  latifolium;;
8;leon hisp slat;hl;+;Leontodon hispidus;;
8;phle phle;hl;1;Phleum phleoides;;
8;pimp saxi slat;hl;+;Pimpinella saxifraga agg.;;
8;plan medi;hl;+;Plantago media;;
8;poa moli;hl;+;Poa molineri;;
8;pote vern aggr;hl;+;Potentilla verna agg.;;
8;scab colu;hl;+;Scabiosa columbaria;;
8;sedu albu;hl;1;Sedum album;;
8;sedu dasy;hl;+;Sedum dasyphyllum;;
8;semp arac;hl;2;Sempervivum arachnoideum;;
8;sesl caer;hl;+;Sesleria albicans;;
8;sile nuta nuta;hl;+;Silene nutans s. lat.;;
8;thal minu slat;hl;+;Thalictrum minus agg.;;
8;thym prae slat;hl;1;Thymus praecox agg.;;
8;trif camp;hl;+;Trifolium campestre;;
8;trif medi medi;hl;+;Trifolium medium;;
8;trif mont mont;hl;+;Trifolium montanum;;
8;vale offi slat;hl;+;Valeriana officinalis agg.;;
8;vero frut cans;hl;+;Veronica fruticans;;
8;vero offi;hl;+;Veronica officinalis;;
8;vinc hiru;hl;+;Vincetoxicum hirundinaria;;
9;arte absi;hl;+;Artemisia absinthium;;
9;arte camp;hl;+;Artemisia campestris;;
9;aspl sept sept;hl;+;Asplenium septentrionale;;
9;aspl tric slat;hl;+;Asplenium trichomanes;;
9;aste alpi;hl;1;Aster  alpinus;;
9;berb vulg;hl;+;Berberis vulgaris;;
9;card defl slat;hl;+;Carduus defloratus agg.;;
9;clin acin;hl;+;Acinos alpinus;;
9;dian cart slat;hl;+;Dianthus carthusianorum agg.;;
9;euph cypa;hl;+;Euphorbia cyparissias;;
9;fest stri sulc;hl;2;Festuca  rupicola;;
9;gali moll aggr;hl;+;Galium mollugo agg.;;
9;hier pilo ella;hl;1;Hieracium pilosella;;
9;holc lana;hl;+;Holcus lanatus;;
9;jovi glob aren;hl;1;Jovibarba arenaria;;
9;juni sabi;hl;2;Juniperus sabina;;
9;poa moli;hl;+;Poa molineri;;
9;pote vern aggr;hl;+;Potentilla verna agg.;;
9;saxi pani;hl;+;Saxifraga paniculata;;
9;sedu albu;hl;+;Sedum album;;
9;semp arac;hl;1;Sempervivum arachnoideum;;
9;sese liba liba;hl;+;Seseli libanotis;;
9;sile nuta nuta;hl;+;Silene nutans s. lat.;;
9;sile vulg vulg;hl;+;Silene vulgaris;;
9;thym prae slat;hl;1;Thymus praecox agg.;;
9;trif medi medi;hl;+;Trifolium medium;;
9;trif mont mont;hl;+;Trifolium montanum;;
9;vero cham slat;hl;+;Veronica chamaedrys agg.;;
10;alli lusi;hl;+;Allium senescens;;
10;anth vuln slat;hl;+;Anthyllis vulneraria;;
10;arte camp;hl;1;Artemisia campestris;;
10;astr pend;hl;+;Astragalus penduliflorus;;
10;brac pinn aggr;hl;+;Brachypodium pinnatum agg.;;
10;cala vari;hl;1;Calamagrostis varia;;
10;camp spic;hl;+;Campanula spicata;;
10;card defl slat;hl;+;Carduus defloratus agg.;;
10;cent pseu;hl;+;Centaurea phrygia agg.;;
10;cent scab slat;hl;+;Centaurea scabiosa;;
10;cera arve slat;hl;+;Cerastium arvense;;
10;clin acin;hl;+;Acinos alpinus;;
10;clin vulg vulg;hl;+;Clinopodium vulgare;;
10;crep cony;hl;+;Crepis conyzifolia;;
10;dian sylv;hl;+;Dianthus sylvestris;;
10;erys sylv;hl;1;Erysimum sylvestre;;
10;fest stri sulc;hl;2;Festuca  rupicola;;
10;gali moll aggr;hl;1;Galium mollugo agg.;;
10;hylo maxi;hl;+;Sedum maximum;;
10;juni comm comm;hl;2;Juniperus communis;;
10;juni sabi;hl;3;Juniperus sabina;;
10;knau arve arve;hl;+;Knautia arvensis;;
10;koel pyra pyra;hl;2;Koeleria pyramidata auct.;;
10;lase lati lati;hl;1;Laserpitium  latifolium;;
10;leuc maxi aggr;hl;+;Leucanthemum maximum s.l.;;
10;phle phle;hl;1;Phleum phleoides;;
10;phyt beto;hl;+;Phyteuma betonicifolia;;
10;pimp saxi slat;hl;+;Pimpinella saxifraga agg.;;
10;poa moli;hl;1;Poa molineri;;
10;poa nemo;hl;+;Poa nemoralis;;
10;poly odor;hl;+;Polygonatum odoratum;;
10;pote pusi;hl;+;Potentilla pusilla;;
10;rhin aris aggr;hl;+;Rhinanthus aristatus agg.;;
10;rhyt rugo;ml;1;Rhytidium rugosum;;
10;rosa vosa aggr;hl;+;Rosa dumalis s. lat.;;
10;rume scut;hl;+;Rumex scutatus;;
10;saxi pani;hl;1;Saxifraga paniculata;;
10;scab colu;hl;+;Scabiosa columbaria;;
10;sedu annu;hl;1;Sedum annuum;;
10;semp arac;hl;1;Sempervivum arachnoideum;;
10;semp wulf;hl;+;Sempervivum wulfenii;;
10;sese liba liba;hl;+;Seseli libanotis;;
10;sile nuta nuta;hl;+;Silene nutans s. lat.;;
10;thal minu slat;hl;+;Thalictrum minus agg.;;
10;thes alpi;hl;+;Thesium alpinum;;
10;thym pule slat;hl;1;Thymus pulegioides;;
10;tort tort;ml;1;Tortella tortuosa;;
10;trif medi medi;hl;1;Trifolium medium;;
10;trif mont mont;hl;+;Trifolium montanum;;
10;vinc hiru;hl;+;Vincetoxicum hirundinaria;;
10;viol tric slat;hl;+;Viola tricolor;;
11;abie abie abie;ml;+;Abietinella abietina;; | Changed abie abie To abie abie abie 2012-11-12 08:56:31
11;agro capi;hl;+;Agrostis capillaris;;
11;alch sect alch;hl;+;Alchemilla vulgaris agg.;;
11;alli lusi;hl;+;Allium senescens;;
11;anth vuln slat;hl;+;Anthyllis vulneraria;;
11;arte camp;hl;1;Artemisia campestris;;
11;astr pend;hl;+;Astragalus penduliflorus;;
11;berb vulg;hl;+;Berberis vulgaris;;
11;brac pinn aggr;hl;1;Brachypodium pinnatum agg.;;
