plot,abbr,layer,cover,voucher,comment,history
fw01,achi mill aggr,hl,1,,,
fw01,agro capi,hl,1,,,
fw01,agro stol,hl,2a,,,
fw01,alch sect alch,hl,+,,,
fw01,ange sylv sylv,hl,r,,,
fw01,arrh elat,hl,1,,,
fw01,cent jace jace,hl,1,,,
fw01,cera holo,hl,+,,,
fw01,clin vulg vulg,hl,+,,,
fw01,dact glom glom,hl,2b,,,
fw01,fest nigr cens,hl,+,,,
fw01,fest rubr slat,hl,1,,,
fw01,gali albu,hl,+,,,
fw01,hera spho spho,hl,+,,,
fw01,leuc ircu,hl,+,,,
fw01,loli mult,hl,1,,,
fw01,loli pere,hl,1,,,
fw01,lych flos cucu,hl,+,,,
fw01,phle prat,hl,+,,,
fw01,pimp majo majo,hl,+,,,
fw01,plan lanc,hl,+,,,
fw01,prun vulg,hl,1,,,
fw01,ranu acri acri,hl,+,,,
fw01,ranu repe,hl,2a,,,
fw01,rume acet osa,hl,+,,,
fw01,rume obtu obtu,hl,+,,,
fw01,seta pumi,hl,+,,,
fw01,stel gram,hl,+,,,
fw01,tara sect rude,hl,+,,,
fw01,trif prat prat,hl,1,,,
fw01,trif repe repe,hl,1,,,
fw01,tris flav flav,hl,2b,,,
fw01,vero fili,hl,+,,,
fw02,achi mill aggr,hl,+,,,
fw02,agro capi,hl,4,,,
fw02,alch sect alch,hl,r,,,
fw02,arrh elat,hl,r,,,
fw02,beto offi offi,hl,+,,,
fw02,camp rotu,hl,+,,,
fw02,care pilu pilu,hl,+,,,
fw02,cent jace jace,hl,+,,,
fw02,cera holo,hl,+,,,
fw02,fest nigr cens,hl,1,,,
fw02,fest rubr slat,hl,+,,,
fw02,frag vesc,hl,+,,,
fw02,gali albu,hl,+,,,
fw02,gali pumi,hl,+,cf.,,
fw02,hier lach,hl,r,,,
fw02,hier saba,hl,+,,,
fw02,holc lana,hl,+,,,
fw02,holc moll,hl,+,,,
fw02,hype macu,hl,+,,,
fw02,hypo radi,hl,+,,,
fw02,knau arve arve,hl,+,,,
fw02,leon hisp slat,hl,2b,,,
fw02,leuc ircu,hl,+,,,
fw02,lotu corn,hl,+,,,
fw02,mela prat,hl,+,,,
fw02,moli caer aggr,hl,+,,,
fw02,pimp majo majo,hl,+,,,
fw02,plan lanc,hl,+,,,
fw02,poa prat,hl,+,,,
fw02,popu trem,hl,+,,,
fw02,pote aure,hl,1,,,
fw02,prun vulg,hl,+,,,
fw02,quer robu,hl,+,,,
fw02,soli virg virg,hl,r,,,
fw02,stel gram,hl,+,,,
fw02,trif prat prat,hl,1,,,
fw02,vero fili,hl,+,,,
fw02,vero offi,hl,1,,,
fw02,viol reic,hl,+,,,
fw03,abie alba,hl,+,,,
fw03,aven flex flex,hl,2a,,,
fw03,betu pend,hl,+,,,
fw03,call vulg,hl,r,,,
fw03,care pilu pilu,hl,+,,,
fw03,digi purp,hl,+,,,
fw03,dryo cart,hl,+,,,
fw03,dryo dila,hl,1,,,
fw03,fran alnu,hl,+,,,
fw03,moli caer aggr,hl,+,,,
fw03,pice abie,hl,+,,,
fw03,quer robu,hl,+,,,
fw03,rubu sect rubu,hl,3,,,
fw03,sorb aucu aucu,hl,+,,,
fw03,teuc scor onia,hl,r,,,
fw03,vacc myrt,hl,2a,,,
fw03,dicr scop,ml,1,,,
fw03,eurh stri,ml,1,,,
fw03,hylo sple,ml,2a,,,
fw03,leuc glau,ml,+,,,
fw03,pleu schr,ml,1,,,
fw03,poly form,ml,2b,,,
fw03,scle puru,ml,+,,,
fw03,abie alba,sl,2b,,,
fw03,betu pend,sl,+,,,
fw03,fran alnu,sl,3,,,
fw03,pice abie,sl,2a,,,
fw03,sorb aucu aucu,sl,+,,,
fw04,abie alba,hl,+,,,
fw04,aven flex flex,hl,r,,,
fw04,blec spic,hl,r,,,
fw04,care pilu pilu,hl,r,,,
fw04,digi purp,hl,r,,,
fw04,dryo dila,hl,+,,,
fw04,fran alnu,hl,+,,,
fw04,rubu sect rubu,hl,r,,,
fw04,vacc myrt,hl,+,,,
fw04,dicr denu,ml,+,,,
fw04,dicr hete,ml,+,,,
fw04,eurh stri,ml,+,,,
fw04,hylo sple,ml,4,,,
fw04,leuc glau,ml,+,,,
fw04,pleu schr,ml,+,,,
fw04,poly form,ml,1,,,
fw04,scle puru,ml,+,,,
fw04,pice abie,sl,1,,,
fw04,abie alba,tl1,3,,,
fw04,pice abie,tl1,2b,,,
fw04,abie alba,tl2,2a,,,
fw04,pice abie,tl2,2a,,,
fw05,abie alba,hl,r,,,
fw05,dryo cart,hl,r,,,
fw05,fran alnu,hl,r,,,
fw05,samb nigr,hl,r,,,
fw05,dicr hete,ml,+,,,
fw05,dicr scop,ml,+,,,
fw05,hylo sple,ml,2a,,,
fw05,leuc glau,ml,+,,,
fw05,poly form,ml,+,,,
fw05,abie alba,sl,r,,,
fw05,abie alba,tl1,3,,,
fw05,pice abie,tl1,3,,,
fw05,abie alba,tl2,1,,,
fw05,pice abie,tl2,2a,,,
fw06,abie alba,hl,r,,,
fw06,aven flex flex,hl,r,,,
fw06,vacc myrt,hl,+,,,
fw06,dicr hete,ml,+,,,
fw06,eurh stri,ml,3,,,
fw06,hypn cupr slat,ml,+,,,
fw06,leuc glau,ml,1,,,
fw06,pleu schr,ml,1,,,
fw06,poly form,ml,+,,,
fw06,abie alba,tl1,2b,,,
fw06,pice abie,tl1,4,,,
fw06,pinu sylv,tl1,2b,,,
fw07,abie alba,hl,1,,,
fw07,aven flex flex,hl,+,,,
fw07,dryo cart,hl,+,,,
fw07,fran alnu,hl,r,,,
fw07,hier muro,hl,+,,,
fw07,lact mura,hl,+,,,
fw07,pice abie,hl,+,,,
fw07,quer robu,hl,+,,,
fw07,samb nigr,hl,r,,,
fw07,vacc myrt,hl,+,,,
fw07,dicr denu,ml,+,,,
fw07,dicr hete,ml,+,,,
fw07,eurh stri,ml,+,,,
fw07,hylo sple,ml,3,,,
fw07,leuc glau,ml,+,,,
fw07,pleu schr,ml,1,,,
fw07,spha girg,ml,r,,,
fw07,abie alba,tl1,2b,,,
fw07,pice abie,tl1,4,,,
fw08,abie alba,hl,r,,,
fw08,eurh stri,hl,+,,,
fw08,fagu sylv,hl,r,,,
fw08,fran alnu,hl,r,,,
fw08,hylo sple,hl,1,,,
fw08,pice abie,hl,+,,,
fw08,quer robu,hl,r,,,
fw08,vacc myrt,hl,r,,,
fw08,betu pend,tl1,1,,,
fw08,pice abie,tl1,5,,,
fw09,abie alba,hl,r,,,
fw09,fran alnu,hl,r,,,
fw09,vacc myrt,hl,+,,,
fw09,dicr hete,ml,+,,,
fw09,dicr scop,ml,+,,,
fw09,eurh stri,ml,1,,,
fw09,hylo sple,ml,+,,,
fw09,leuc glau,ml,+,,,
fw09,pleu schr,ml,+,,,
fw09,poly form,ml,1,,,
fw09,pice abie,tl1,4,,,
fw09,pinu sylv,tl1,2a,,,
fw10,abie alba,hl,2a,,,
fw10,betu pend,hl,r,,,
fw10,dryo cart,hl,+,,,
fw10,fran alnu,hl,1,,,
fw10,mela prat,hl,r,,,
fw10,quer robu,hl,r,,,
fw10,vacc myrt,hl,5,,,
fw10,bazz tril,ml,r,,,
fw10,dicr hete,ml,+,,,
fw10,dicr spec ies,ml,+,D. cf. majus,,
fw10,eurh stri,ml,+,,,
fw10,hylo sple,ml,1,,,
fw10,hypn cupr slat,ml,+,,,
fw10,hypn jutl,ml,+,,,
fw10,plag laet secu,ml,+,,,
fw10,pleu schr,ml,3,,,
fw10,poly form,ml,2a,,,
fw10,spha quin,ml,1,,,
fw10,abie alba,sl,2a,,,
fw10,betu pend,sl,+,,,
fw10,fran alnu,sl,2b,,,
fw10,pice abie,sl,+,,,
fw10,abie alba,tl1,3,,,
fw10,lari deci deci,tl1,2b,,,
fw10,pice abie,tl1,2b,,,
fw10,abie alba,tl2,1,,,
fw10,pice abie,tl2,1,,,
fw11,abie alba,hl,2a,,,
fw11,agro capi,hl,r,,,
fw11,betu pend,hl,+,,,
fw11,care pilu pilu,hl,+,,,
fw11,dryo cart,hl,+,,,
fw11,dryo dila,hl,+,,,
fw11,quer robu,hl,r,,,
fw11,sorb aucu aucu,hl,+,,,
fw11,vacc myrt,hl,5,,,
fw11,bazz tril,ml,1,,,
fw11,dicr hete,ml,+,,,
fw11,dicr scop,ml,1,,,
fw11,eurh stri,ml,+,,,
