plot,location,longitude,latitude,accuracy,observer,date,remarks
1,"Fürstenbrunn am Untersberg, Küh[l]bach",12.9886653191,47.7412932044,100,R. Fischer,1998-01-01,date is year of publication
2,"Großgmain, am Weißenbachufer",12.9128775492,47.7134919692,100,R. Fischer,1998-01-01,date is year of publication
3,"Glanegg, Rosittenbach",13.0173941733,47.7344911288,200,R. Fischer,1998-01-01,date is year of publication
4,"Wiestal, 4 km vor Hallein",13.1466215116,47.7313945253,500,R. Fischer,1998-01-01,date is year of publication
5,"Aufstieg zur Postalm, im Weißenbachtal",13.4851778178,47.6915742048,1000,R. Fischer,1998-01-01,date is year of publication
6,"Hintersee, entlang des Tauglbaches",13.3067311866,47.7106981873,500,R. Fischer,1998-01-01,date is year of publication
7,unterhalb des Schafbergnordabfalles,13.4268616124,47.7953439698,1000,R. Fischer,1998-01-01,date is year of publication
8,entlang des Mühlbaches bei Bischofshofen,13.1711546026,47.3888152079,1000,R. Fischer,1998-01-01,date is year of publication
9,"Wildental, am Aufstieg zur Mooswacht",12.7308690742,47.5530662112,5000,R. Fischer,1998-01-01,date is year of publication
10,"Weißbachtal, beim Aufstieg ins Hintertal [Seißenbergklamm]",12.758832562,47.5240854133,200,R. Fischer,1998-01-01,date is year of publication
11,"Weißbachtal, beim Aufstieg ins Hintertal [Seißenbergklamm]",12.7624085457,47.5268220374,500,R. Fischer,1998-01-01,date is year of publication
