Laufende Nr.;Seehöhe in m x 10;Exposition;Neigung in °;Fläche in m²;Gesamtdeckung in %;longitude;latitude;accuracy;location;decription;decription2
01;199;N;5;100;100;14.646170;46.886500;500;Kärnten, Saualpe, Kienberg, 20 m unterhalb des Grenzsteines 413/371 nahe der Scharte bei einem kleinen Moor mit Tirchophorum cespitosum und Loiseleuria procumbens auf einem Bult;10x10 m, eine kleine Erosionsstelle in der Aufnahme, Bodenflechte grau indet.;9153/2, 10. 8. 1996, Campanula alpina bildet etliche sterile Rosetten, Alectoria ochroleuca auf Loiseleuria-Teppich aufliegend
02;199;NE;6;100;100;14.646170;46.886500;500;Kärnten, Saualpe, Kienberg, südlich der Aufn. 47/96;10x10 m, reich an Nivationsnischen, Lee-Lage;9153/2, 10. 8. 1996, „Steinpflaster“: ein weißer Kieselstein, sonst Gesteinsgrus aus Glimmerschiefer (0,5 bis 1 cm Durchmesser anstehend), Cladonia sp. mit grau-grünen Schuppen, Cetraria is/andica und C. ericetorum auf Verebnungsstellen
03;197;E;3;25;100;14.666740;46.895130;500;Kärnten, Saualpe, Forstwiesen, SE des Deckenmoores, NE der letzten „Öfen“, 1978 m;5x5 m, Losung von Gämsen in der Aufnahmefläche;9154/1, 19. 07.1996, gemeinsam mit H. Gutschi
04;199;N;6;36;98;14.646170;46.886500;500;Kärnten, Saualpe, Kienberg, wenige Meter südlich des Grenzsteines 414/370;6x6 m, C. bigelowii wächst auch auf Kalk (ca. 1 m2 große Fläche) der im Umkreis des Grenzsteines 413/371 ansteht. Eine kleine Nivationsnische mit Cladonia coccifera (Flörke) Sprengel;9153/2, 10. 8. 1996
05;201;N;3;25;100;14.646170;46.886500;500;Kärnten, Saualpe, Kienberg, 3° N-geneigter Hang, südlich des Einzelofens gegen den Zirbitzkogel;5x5 m, 8 cm bräunlicher Rohhumus, 10 cm schwarzer Humus, viele Muskovitplättchen, ab ca. -20 cm Steine anstehend, geschlossenes Loiseleurietum das am Unterhang und besonders am darüberliegenden Hang in ein typisches Erosions-Loiseleurietum (Steinpflaster-L.) übergeht (Anreicherung des Schnees in Luv-Lage durch den steileren vorgelagerten Hang;9153/2, 19. 07. 1996, gemeinsam mit H. Gutschi.Vegetationseinheit gleicht einem „gemähten Rasen“ in dem Carex bigelowi über den „Rasen“ 5 cm hoch emporragt
06;200;N;2;64;100;14.651640;46.893250;1000;Kärnten, Saualpe, Plateau zwischen Forstalpe und Kienberg gegen den Zirbitzkogel;8x8 m, viele Pflanzen von Campanula alpina steril;9153/2, 19. 07. 1996, gemeinsam mit H. Gutschi. Bodenziegel entnommen. Chemische Daten det. am 19. 8. 1996: Landwirtschaftliche Versuchsanstalt zur Bodenanalyse pH: 3,65 in CaCb, Humus % Masse 26,97 (hoch!), CaCOj % 3,62
07;204;W;2;25;100;14.642620;46.88380;100;Kärnten, Saualpe, Kienberg, Drei Öfen, 30 m E d. Grenzsteins Nr. 368, bei dem alten FLAK-Drehturm (Stein 366 steht ca. 20 m E direkt am Steig);Losung von Gämsen (Rupicapra rupicapra) in Aufnahmefläche, Schneehase (Lepus timidus) auf einem „Ofen“ in 3 m Höhe, sucht hier Deckung/Nachtquartier, 9153/2;10. 8. 1996
08;198;N;3;100;100;14.666740;46.895130;500;Kärnten, Saualpe, Forstwiesen, SE des Deckenmoores (in diesem Carex chordorhiza und Betula nana obs. et leg. Franz) nördl. Rand der Öfen;ca. 30 cm dunkelbrauner Torf anstehend, Vacinium vitis-idaea wird nicht größer als 5 cm;9154/1, 19. 07. 1996, gemeinsam mit H. Gutschi
09;199;NNE;5;225;100;14.646200;46.886490;100;Kärnten, Saualpe, Kienberg, ca. 60 m SSE des Grenzsteins 414/370 bzw. ca. 100 m SSE der Öfen im Sattel nördl. d. Kienberges;schwarzer, humusreicher Boden;9153/2, 10. 8. 1996, Bodenprobe entnommen, 1996 m
10;193;SE;3;25;100;14.666740;46.895130;500;Kärnten, Saualpe, Forstwiesen, 300 m nördl. d. Forstofens, breiter, sehr schwach gewölbter Rücken, nicht strukturiert innerhalb der Aufnahmefläche;Polytrichum alpinum wuchsgleich mit Leuseleuria (ca. 3 cm);9154/1, 28. 7. 1996, gemeinsam mit FI. Gutschi und A. Schriebl
11;199;F;0;30;100;14.661340;46.896590;1000;Kärnten, Saualpe, zwischen Forstalpe und Kienberg, ca 100 m breiter Sattel nahe der Mineralfundstelle (kleiner Aufschluß) bzw. SW des verschütteten Stellungsgrabens aus dem 2. Weltkrieg;± eben;9153/2, 28. 7. 1996, gemeinsam mit H. Gutschi und A. Schriebl
12;202;NW;4;;100;14.662880;46.897590;500;Kärnten, Saualpe, Forstalpe, Hang, NW 4° übernommen aus STUTZER (1994:432, Aufnahme 4);;
13;198;NNE;10;100;100;14.646170;46.886500;500;Kärnten, Saualpe, Kienberg, oberhalb des Steiges, der an der oberen Kante am S-Rand des Forstalm-Kares verläuft;10x10 m, Ein feinerdereiches „Frost- Bult-Loiseleurietum“ mit Verebnungsflächen, Buckel (bis 30 cm hoch, Durchmesser ca. 0,5 m) unterscheiden sich nicht von der Vegetation in den Vertiefungen! Boden tiefgründig, schwarz, humusreich, nahe der Aufnahmefläche wächst auch Carex sempervirens;9153/2, 10. 8. 1996
