plot,x,y,observer,date,remarks
6001,721630,228500,H.U. Frey,1995-01-01,date is year of publication
6002,755500,234990,H.U. Frey,1995-01-01,date is year of publication
7001,753820,215840,H.U. Frey,1995-01-01,date is year of publication
7002,755000,217120,H.U. Frey,1995-01-01,date is year of publication
7003,754890,217190,H.U. Frey,1995-01-01,date is year of publication
7004,754810,219480,H.U. Frey,1995-01-01,date is year of publication
7005,754730,220330,H.U. Frey,1995-01-01,date is year of publication
7006,726630,222280,H.U. Frey,1995-01-01,date is year of publication
7007,726670,222380,H.U. Frey,1995-01-01,date is year of publication
7008,726510,222630,H.U. Frey,1995-01-01,date is year of publication
7009,723370,226260,H.U. Frey,1995-01-01,date is year of publication
7010,723450,226250,H.U. Frey,1995-01-01,date is year of publication
7011,752120,213760,H.U. Frey,1995-01-01,date is year of publication
7012,752110,213920,H.U. Frey,1995-01-01,date is year of publication
7013,750860,213620,H.U. Frey,1995-01-01,date is year of publication
7014,723410,226900,H.U. Frey,1995-01-01,date is year of publication
7015,723180,227000,H.U. Frey,1995-01-01,date is year of publication
7016,723120,227080,H.U. Frey,1995-01-01,date is year of publication
7017,721940,230480,H.U. Frey,1995-01-01,date is year of publication
7018,721820,230280,H.U. Frey,1995-01-01,date is year of publication
7019,747460,214710,H.U. Frey,1995-01-01,date is year of publication
7020,747120,215020,H.U. Frey,1995-01-01,date is year of publication
7021,747700,215980,H.U. Frey,1995-01-01,date is year of publication
7022,748610,216040,H.U. Frey,1995-01-01,date is year of publication
7023,752400,213900,H.U. Frey,1995-01-01,date is year of publication
7024,747760,214350,H.U. Frey,1995-01-01,date is year of publication
7030,746160,218180,H.U. Frey,1995-01-01,date is year of publication
7031,746270,217840,H.U. Frey,1995-01-01,date is year of publication
7032,746660,217520,H.U. Frey,1995-01-01,date is year of publication
7033,745150,218450,H.U. Frey,1995-01-01,date is year of publication
7034,753630,215110,H.U. Frey,1995-01-01,date is year of publication
7035,753740,215030,H.U. Frey,1995-01-01,date is year of publication
7036,753860,214880,H.U. Frey,1995-01-01,date is year of publication
7037,754050,214870,H.U. Frey,1995-01-01,date is year of publication
7038,753720,216470,H.U. Frey,1995-01-01,date is year of publication
7039,753610,222230,H.U. Frey,1995-01-01,date is year of publication
7040,754380,222500,H.U. Frey,1995-01-01,date is year of publication
7041,754270,222750,H.U. Frey,1995-01-01,date is year of publication
7042,721210,227920,H.U. Frey,1995-01-01,date is year of publication
7043,721460,228290,H.U. Frey,1995-01-01,date is year of publication
7044,721180,234700,H.U. Frey,1995-01-01,date is year of publication
7045,755620,234990,H.U. Frey,1995-01-01,date is year of publication
7046,749740,212830,H.U. Frey,1995-01-01,date is year of publication
7047,749560,212400,H.U. Frey,1995-01-01,date is year of publication
7048,749380,212110,H.U. Frey,1995-01-01,date is year of publication
7049,744160,211760,H.U. Frey,1995-01-01,date is year of publication
7050,738040,222480,H.U. Frey,1995-01-01,date is year of publication
7051,738050,222330,H.U. Frey,1995-01-01,date is year of publication
7052,737690,222270,H.U. Frey,1995-01-01,date is year of publication
7053,736630,222310,H.U. Frey,1995-01-01,date is year of publication
7054,755750,236750,H.U. Frey,1995-01-01,date is year of publication
7055,755480,237560,H.U. Frey,1995-01-01,date is year of publication
7056,755850,238010,H.U. Frey,1995-01-01,date is year of publication
7057,752200,225380,H.U. Frey,1995-01-01,date is year of publication
7058,752510,225490,H.U. Frey,1995-01-01,date is year of publication
7061,737030,221650,H.U. Frey,1995-01-01,date is year of publication
7062,736700,221690,H.U. Frey,1995-01-01,date is year of publication
7063,750570,232050,H.U. Frey,1995-01-01,date is year of publication
7064,750400,232100,H.U. Frey,1995-01-01,date is year of publication
7066,734980,221450,H.U. Frey,1995-01-01,date is year of publication
7067,744650,221010,H.U. Frey,1995-01-01,date is year of publication
7068,744490,221160,H.U. Frey,1995-01-01,date is year of publication
8001,751080,213590,H.U. Frey,1995-01-01,date is year of publication
8002,751750,213120,H.U. Frey,1995-01-01,date is year of publication
