abbr,matched.abbr
frax exce,frax exce
ulmu scab,ulmu glab
fagu silv,fagu sylv
acer pseu,acer pseu
tili cord,tili cord
pice exce,pice abie
acer plat,acer plat
sorb aria,sorb aria
prun aviu,prun aviu slat
quer petr,quer petr
taxu bacc,taxu bacc
tili plat,tili plat
sorb aucu,sorb aucu slat
quer robu,quer robu
abie alba,abie alba
jugl regi,jugl regi
alnu inca,alnu inca
carp betu,carp betu
ulmu carp,ulmu mino mino
lari deci,lari deci deci
betu pend,betu pend
pinu sylv,pinu sylv
blank,NA
loni xylo,loni xylo
cory avel,cory avel
acer camp,acer camp
rosa arve,rosa arve
corn sang,corn sang slat
ligu vulg,ligu vulg
crat mono,crat mono
rubu frut,rubu sect rubu
vibu lant,vibu lant
vibu opul,vibu opul
evon euro,euon euro
crat oxac,crat laev laev
loni alpi,loni alpi
rubu caes,rubu caes
rubu idae,rubu idae
samb nigr,samb nigr
berb vulg,berb vulg
ilex aqui,ilex aqui
euon lati,euon lati
rham cath,rham cath
daph meze,daph meze
rosa spec,rosa spec ies
prun maha,prun maha
piru malu,malu sylv
amel oval,amel oval
juni comm,juni comm comm
ribe alpi,ribe alpi
fran alnu,fran alnu
prun spin,prun spin
coto tome,coto tome
rosa pend,rosa pend
samb race,samb race
blank,NA
chae niti,anth niti
blank,NA
ranu lanu,ranu lanu
cice alpi,lact alpi
card kita,card kita
aden alli,aden alli
sile dioe,sile dioi
blank,NA
sene fuch,sene ovat ovat
epil mont,epil mont
crep palu,crep palu
blank,NA
camp lati,camp lati
lili mart,lili mart
ranu plat,ranu plat
blank,NA
viol bifl,viol bifl
peta albu,peta albu
acon pani,acon vari slat
prim elat,prim elat
chae cicu,chae hirs
stel nemo,stel nemo
poly vert,poly vert
blank,NA
cirs oler,cirs oler
hera spho,hera spho slat
blank,NA
luna redi,luna redi
urti dioi,urti dioi dioi
chry alte,chry alte
impa noli,impa noli
blank,NA
poly loba,poly acul
athy fili,athy fili
fega coni,cono coni
mniu undu,plag nium undu
mili effu,mili effu effu
blank,NA
vera albu,vera albu slat
acon vulp,acon lyco vulp
saxi rotu,saxi rotu
blank,NA
lami mont,gale mont
dryo fili,dryo fili
gera robe,gera robe
pari quad,pari quad
acta spic,acta spic
arun sylv,arun dioi
aego poda,aego poda
adox mosc,adox mosc
blank,NA
gali odor,gali odor
phyt spic,phyt spic
blank,NA
merc pere,merc pere
blank,NA
aspe taur,aspe taur
blank,NA
brac silv,brac sylv
camp trac,camp trac
blank,NA
viol silv,viol reic
hede heli,hede heli
care digi,care digi
poly mult,poly mult
blank,NA
brom bene,brom bene
pimp majo,pimp majo slat
blank,NA
frag vesc,frag vesc
soli virg,soli virg virg
hier muro,hier muro
gali sylv,gali sylv
meli nuta,meli nuta
blank,NA
salv glut,salv glut
hepa tril,hepa nobi
tamu comm,tamu comm
coro emer,hipp emer emer
care flac,care flac
viol hirt,viol hirt
blank,NA
cycl euro,cycl purp
epip lati,epip hell slat
viol mira,viol mira
blank,NA
care mont,care mont
satu vulg,clin vulg vulg
poly offi,poly odor
lili croc,lili bulb croc
ceph long,ceph long
blank,NA
moli lito,moli arun
trif medi,trif medi medi
anth ramo,anth ramo
blank,NA
care humi,care humi
teuc cham,teuc cham
poly cham,poly cham
