"plot";"abbr";"layer";"cov";"determined";"history"
"fk01";"heli parl";"hl";4;;
"fk01";"heli alpe";"hl";"2b";;
"fk01";"sesl caer";"hl";"2a";;
"fk01";"card defl viri";"hl";1;;
"fk01";"vero offi";"hl";"+";;
"fk01";"care flac";"hl";1;;
"fk01";"hipp como";"hl";"+";;
"fk01";"pote aure";"hl";"+";;
"fk01";"gali trun";"hl";"+";"cf.";
"fk01";"thym prae poly";"hl";1;;
"fk01";"care semp semp";"hl";"2a";;
"fk01";"sedu albu";"hl";"+";;
"fk01";"myos alpe";"hl";"+";;
"fk01";"gali anis";"hl";1;;
"fk01";"achi mill aggr";"hl";"+";;
"fk01";"trif prat slat";"hl";"2a";;
"fk01";"care orni orni";"hl";"+";;
"fk01";"alch sect alch";"hl";"r";;
"fk01";"scab luci luci";"hl";1;;
"fk01";"nard stri";"hl";"+";;
"fk01";"mute adon";"hl";"+";;
"fk01";"camp sche";"hl";1;;
"fk01";"vale mont";"hl";1;;
"fk01";"anth vuln alpi";"hl";"+";;
"fk01";"phle hirs";"hl";"2b";;
"fk01";"plan atra atra";"hl";"+";;
"fk01";"gent vern vern";"hl";"r";;
"fk01";"eric carn";"hl";"2a";;
"fk01";"phyt orbi";"hl";1;;
"fk01";"frag vesc";"hl";"+";;
"fk01";"beto alop";"hl";"+";;
"fk01";"sile nuta nuta";"hl";"+";;
"fk01";"lase lati lati";"hl";"+";;
"fk01";"pote caul";"hl";"+";;
"fk01";"camp coch";"hl";"+";;
"fk01";"lase sile sile";"hl";"r";;
"fk01";"cala vari";"hl";1;;
"fk01";"anth odor";"hl";1;"cf.";
"fk02";"heli parl";"hl";4;;
"fk02";"eric carn";"hl";3;;
"fk02";"gymn cono cono";"hl";"+";;
"fk02";"heli alpe";"hl";"2b";;
"fk02";"vale mont";"hl";"2a";;
"fk02";"phle hirs";"hl";"2a";;
"fk02";"cala vari";"hl";1;;
"fk02";"thym prae poly";"hl";1;;
"fk02";"clin acin";"hl";"+";;
"fk02";"poly cham";"hl";"+";;
"fk02";"sesl caer";"hl";"2a";;
"fk02";"hipp como";"hl";"2a";;
"fk02";"gali anis";"hl";1;;
"fk02";"lase lati lati";"hl";"+";;
"fk02";"card defl viri";"hl";1;;
"fk02";"frag vesc";"hl";"+";;
"fk02";"gera sylv";"hl";"+";;
"fk02";"lotu corn slat";"hl";"+";;
"fk02";"rubu idae";"hl";"+";;
"fk02";"pimp majo slat";"hl";"+";;
"fk02";"care flac";"hl";1;;
"fk02";"ajug pyra";"hl";"+";;
"fk02";"care orni orni";"hl";1;;
"fk02";"scab luci luci";"hl";1;;
"fk02";"leon inca";"hl";"+";;
"fk02";"nard stri";"hl";"+";;
"fk02";"anth vuln alpi";"hl";"+";;
"fk02";"camp sche";"hl";1;;
"fk02";"phyt orbi";"hl";"+";;
