"plot";"abbr";"layer";"cov";"comment";"history"
"fu01a";"cala vari";"hl";"3";"";""
"fu01a";"brac sylv";"hl";"2b";"";""
"fu01a";"desc cesp";"hl";"1";"";""
"fu01a";"rubu idae";"hl";"+";"";""
"fu01a";"cirs arve";"hl";"+";"";""
"fu01a";"atro bell";"hl";"+";"";""
"fu01a";"care flac";"hl";"1";"";""
"fu01a";"care sylv";"hl";"1";"";""
"fu01a";"care pall";"hl";"+";"";""
"fu01a";"pice abie";"hl";"+";"";""
"fu01a";"hell nige";"hl";"1";"";""
"fu01a";"clin vulg vulg";"hl";"+";"";" | Changed clin vulg To clin vulg vulg 2012-11-27 00:39:21"
"fu01a";"gali odor";"hl";"+";"";""
"fu01a";"aden alpi";"hl";"+";"";" | Changed aden glab To aden alpi 2012-11-27 00:39:21"
"fu01a";"euph cypa";"hl";"+";"";""
"fu01a";"frag vesc";"hl";"+";"";""
"fu01a";"fagu sylv";"hl";"+";"";""
"fu01a";"rubu sect rubu";"hl";"+";"";" | Changed rubu frut To rubu sect rubu 2012-11-27 00:39:21"
"fu01a";"sali capr";"hl";"+";"";""
"fu01a";"apos foet";"hl";"+";"";""
"fu01a";"viol reic";"hl";"+";"";""
"fu01a";"cirs palu";"hl";"+";"";""
"fu01a";"vero offi";"hl";"+";"";""
"fu01a";"viol hirt";"hl";"+";"";""
"fu01a";"ajug rept";"hl";"+";"";""
"fu01a";"pote rept";"hl";"+";"";""
"fu02a";"pice abie";"tl";"4";"";""
"fu02a";"cala vari";"hl";"3";"";""
"fu02a";"aden alpi";"hl";"1";"";" | Changed aden glab To aden alpi 2012-11-27 00:39:21"
"fu02a";"sorb aucu aucu";"hl";"+";"";" | Changed sorb aucu To sorb aucu aucu 2012-11-27 00:39:21"
"fu02a";"poly vert";"hl";"+";"";""
"fu02a";"merc pere";"hl";"1";"";""
"fu02a";"lysi nemo";"hl";"+";"";""
"fu02a";"gale mont";"hl";"1";"";""
"fu02a";"meli nuta";"hl";"1";"";""
"fu02a";"care alba";"hl";"2a";"";""
"fu02a";"salv glut";"hl";"+";"";""
"fu02a";"ajug rept";"hl";"+";"";""
"fu02a";"gali rotu";"hl";"+";"";""
"fu02a";"apos foet";"hl";"1";"";""
"fu02a";"hupe sela";"hl";"+";"";""
"fu02a";"dryo dila";"hl";"+";"";""
"fu02a";"frag vesc";"hl";"1";"";""
"fu02a";"gali albu";"hl";"1";"";""
"fu02a";"orig vulg";"hl";"1";"";""
"fu02a";"fagu sylv";"hl";"+";"";""
"fu02a";"viol reic";"hl";"+";"";""
"fu02a";"brac sylv";"hl";"1";"";""
"fu02a";"peta albu";"hl";"+";"";""
"fu02a";"oxal acet";"hl";"+";"";""
"fu02a";"pari quad";"hl";"+";"";""
"fu02a";"acer pseu";"hl";"+";"";""
"fu02a";"vinc hiru";"hl";"+";"";" | Changed vinc hier To vinc hiru 2012-11-27 00:39:21"
"fu02a";"clem vita";"hl";"+";"";""
"fu02a";"clem vita";"sl";"+";"";""
