plot,abbr,layer,cov,comment,voucher,history
gb01,alli lusi,hl,2m,,,
gb01,anth ramo,hl,+,,,
gb01,aspl ruta,hl,+,,,
gb01,brac pinn,hl,+,,,
gb01,buph sali,hl,2a,,,
gb01,cala vari,hl,2b,,,
gb01,card defl viri,hl,2a,,,
gb01,care alba,hl,2a,,,
gb01,care digi,hl,r,,,
gb01,care mont,hl,+,,,
gb01,clin alpi alpi,hl,2a,,,
gb01,clin vulg vulg,hl,1,,,
gb01,euph cypa,hl,2b,,,
gb01,frag vesc,hl,+,,,
gb01,frax exce,hl,1,,,
gb01,gali albu,hl,+,,,
gb01,gali anis,hl,2m,,,
gb01,glob cord,hl,+,,,
gb01,hepa nobi,hl,r,,,
gb01,hier bifi,hl,+,,,
gb01,kern saxa,hl,r,,,
gb01,linu cath,hl,+,,,
gb01,meli nuta,hl,+,,,
gb01,orig vulg,hl,1,,,
gb01,poly cham,hl,r,,,
gb01,rham cath,hl,+,,,
gb01,rosa cani,hl,1,,,
gb01,sang mino slat,hl,+,,,
gb01,sedu albu,hl,1,,,
gb01,sesl caer,hl,2b,,,
gb01,sile nuta nuta,hl,+,,,
gb01,teuc cham,hl,2a,,,
gb01,teuc mont,hl,2a,,,
gb01,vinc hiru,hl,3,,,
gb01,viol hirt,hl,+,,,
gb01,bryu arge,ml,+,,,
gb01,tort tort,ml,2a,,,
gb02,alli lusi,hl,+,,,
gb02,anth ramo,hl,+,,,
gb02,aspl ruta,hl,+,,,
gb02,brac pinn,hl,1,,,
gb02,buph sali,hl,2a,,,
gb02,cala vari,hl,3,,,
gb02,card defl viri,hl,2b,,,
gb02,care alba,hl,2a,,,
gb02,care digi,hl,2a,,,
gb02,care flac,hl,1,,,
gb02,care mont,hl,+,,,
gb02,care orni orni,hl,1,,,
gb02,clem vita,hl,+,,,
gb02,clin alpi alpi,hl,1,,,
gb02,clin vulg vulg,hl,+,,,
gb02,cory avel,hl,2a,,,
gb02,eric carn,hl,+,,,
gb02,euph cypa,hl,2a,,,
gb02,euph dulc,hl,+,,,
gb02,frag vesc,hl,+,,,
gb02,frax exce,hl,+,,,
gb02,gali anis,hl,1,,,
