plot,abbr,layer,cov,voucher,comment,history
ga001,achi mill aggr,hl,+,,,
ga001,agro capi,hl,+,,,
ga001,alch mont,hl,+,,,
ga001,anth odor,hl,1,,,
ga001,bell pere,hl,+,,,
ga001,care pall,hl,+,,,
ga001,care sylv,hl,+,,,
ga001,caru carv,hl,+,,,
ga001,cent jace jace,hl,r,,,
ga001,cera holo,hl,+,,,
ga001,crep bien,hl,+,,,
ga001,cyno cris,hl,1,,,
ga001,dact glom glom,hl,1,,,
ga001,fest prat prat,hl,r,,,
ga001,fest rubr slat,hl,+,,,
ga001,gera sylv,hl,r,,,
ga001,hera spho spho,hl,+,,,
ga001,homa pube pube,hl,1,,,
ga001,knau arve arve,hl,r,,,
ga001,leon hisp hisp,hl,4,,,
ga001,leuc ircu,hl,r,,,
ga001,loli pere,hl,2b,,,
ga001,lotu corn,hl,+,,,
ga001,pimp majo majo,hl,+,,,
ga001,plan lanc,hl,1,,,
ga001,poa prat,hl,+,,,
ga001,prun vulg,hl,+,,,
ga001,ranu acri acri,hl,+,,,
ga001,ranu repe,hl,+,,,
ga001,rhin alec alec,hl,2a,,,
ga001,rume acet osa,hl,+,,,
ga001,tara sect rude,hl,r,,,
ga001,trag orie,hl,r,,,
ga001,trif prat prat,hl,+,,,
ga001,tris flav flav,hl,2b,,,
ga001,vero cham cham,hl,+,,,
ga001,vici crac,hl,+,,,
ga002,achi mill aggr,hl,+,,,
ga002,ajug rept,hl,+,,,
ga002,alch mont,hl,+,,,
ga002,anem nemo,hl,r,,,
ga002,anth odor,hl,1,,,
ga002,anth vuln slat,hl,r,,,
ga002,briz medi,hl,1,,,
ga002,care flac,hl,+,,,
ga002,care mont,hl,2b,,,
ga002,care orni orni,hl,1,2020-0015,,
ga002,care pall,hl,+,,,
ga002,care pani,hl,r,,,
ga002,cent jace jace,hl,+,,,
ga002,cera holo,hl,r,,,
ga002,cyno cris,hl,+,,,
ga002,dant decu decu,hl,r,,,
ga002,fest nigr cens,hl,1,,,
ga002,fest prat prat,hl,+,,,
ga002,homa pube pube,hl,1,,,
ga002,knau arve arve,hl,+,,,
ga002,lath prat prat,hl,+,,,
ga002,leon hisp hisp,hl,2b,,,
ga002,leuc ircu,hl,+,,,
ga002,lotu corn,hl,1,,,
ga002,luzu camp,hl,1,,,
ga002,lysi nemo,hl,r,,,
ga002,nard stri,hl,r,,,
ga002,pimp majo majo,hl,+,,,
ga002,plan lanc,hl,+,,,
ga002,poly amar ella,hl,1,2020-0016,,
ga002,pote erec,hl,1,,,
ga002,prim elat,hl,r,,,
ga002,ranu nemo,hl,+,,,
ga002,rhin mino,hl,r,,cf.,
ga002,rume acet osa,hl,r,,,
ga002,scab colu,hl,1,,,
ga002,thym pule pule,hl,1,,,
ga002,trag orie,hl,r,,,
ga002,trif prat prat,hl,+,,,
ga002,tris flav flav,hl,1,,,
ga002,vero cham cham,hl,+,,,
ga002,vici crac,hl,+,,,
ga002,viol cani rupp,hl,+,2020-0017,,
ga003,achi mill aggr,hl,+,,,
ga003,ajug rept,hl,r,,,
ga003,anth odor,hl,2a,,,
ga003,bell pere,hl,+,,,
ga003,care pall,hl,+,,,
ga003,care sylv,hl,1,,,
ga003,cera holo,hl,r,,,
ga003,cyno cris,hl,+,,,
ga003,dact glom glom,hl,+,,,
ga003,fest prat prat,hl,+,,,
ga003,fest rubr slat,hl,1,,,
ga003,gali albu,hl,r,,,
ga003,homa pube pube,hl,r,,,
ga003,knau arve arve,hl,1,,,
ga003,leon hisp hisp,hl,2a,,,
ga003,leuc ircu,hl,+,,,
ga003,loli pere,hl,2a,,,
ga003,lotu corn,hl,r,,,
ga003,luzu camp,hl,1,,,
ga003,pimp majo majo,hl,+,,,
ga003,plan lanc,hl,1,,,
ga003,poa triv,hl,+,,,
ga003,ranu acri acri,hl,1,,,
ga003,ranu repe,hl,+,,,
ga003,rhin alec alec,hl,r,,,
ga003,rume acet osa,hl,+,,,
ga003,rume obtu obtu,hl,r,,,
ga003,tara sect rude,hl,1,,,
ga003,trag orie,hl,r,,,
ga003,trif prat prat,hl,1,,,
ga003,trif repe repe,hl,+,,,
ga003,tris flav flav,hl,3,,,
ga003,vero cham cham,hl,+,,,
ga003,vici crac,hl,+,,,
ga004,achi mill aggr,hl,+,,,
ga004,ajug rept,hl,+,,,
ga004,alch mont,hl,+,,,
ga004,anth odor,hl,1,,,
ga004,arab hirs,hl,r,,cf.,
ga004,aren serp,hl,r,,,
ga004,care cary,hl,1,,,
ga004,care flac,hl,+,,,
ga004,care mont,hl,1,,,
ga004,care orni orni,hl,+,,cf. 2020-0013,
ga004,caru carv,hl,r,,,
ga004,cent jace jace,hl,r,,,
ga004,cent scab scab,hl,1,,,
ga004,dact glom glom,hl,+,,,
ga004,euph cypa,hl,1,,,
ga004,fest prat prat,hl,+,,,
ga004,gali albu,hl,r,,,
ga004,hera spho spho,hl,r,,,
ga004,homa pube pube,hl,+,,,
ga004,knau arve arve,hl,r,,,
ga004,lath prat prat,hl,+,,,
ga004,leon hisp hisp,hl,2b,,,
ga004,lotu corn,hl,+,,,
ga004,luzu camp,hl,r,,,
ga004,medi lupu,hl,1,,,
ga004,pimp majo majo,hl,+,,,
ga004,pimp saxi saxi,hl,r,,cf.,
ga004,plan lanc,hl,+,,,
ga004,poa prat,hl,r,,,
ga004,prun vulg,hl,+,,,
ga004,ranu acri acri,hl,+,,,
ga004,ranu mont,hl,1,,,
ga004,ranu nemo,hl,+,,,
ga004,ranu repe,hl,r,,,
ga004,rhin alec alec,hl,+,,,
ga004,rume acet osa,hl,+,,,
ga004,scab colu,hl,r,,,
ga004,sile vulg vulg,hl,1,,,
ga004,tara sect rude,hl,+,,,
ga004,trag orie,hl,+,,,
ga004,trif prat prat,hl,+,,,
ga004,tris flav flav,hl,1,,,
ga004,vero cham cham,hl,+,,,
ga004,vici crac,hl,+,,,
ga005,aego poda,hl,r,,,
ga005,alch mont,hl,+,,,
ga005,alop prat,hl,+,,,
ga005,anth odor,hl,1,,,
ga005,bell pere,hl,1,,,
ga005,cera holo,hl,r,,,
ga005,chae aure,hl,r,,,
ga005,dact glom glom,hl,+,,,
ga005,fest prat prat,hl,+,,,
ga005,fest rubr slat,hl,+,,,
ga005,hera spho spho,hl,2a,,,
ga005,leon hisp hisp,hl,+,,,
ga005,loli pere,hl,2a,,,
ga005,plan lanc,hl,+,,,
ga005,poa triv,hl,1,,,
ga005,ranu acri acri,hl,1,,,
ga005,ranu repe,hl,1,,,
ga005,rume acet osa,hl,1,,,
ga005,rume obtu obtu,hl,r,,,
ga005,sile dioi,hl,r,,,
ga005,tara sect rude,hl,2a,,,
ga005,trag orie,hl,r,,,
ga005,trif prat prat,hl,1,,,
