plot,abbr,layer,cover,voucher,comment,history
ge01,acer pseu,hl,r,,,
ge01,achi mill,hl,+,,,
ge01,agro capi,hl,r,,,
ge01,arab hirs,hl,+,,,
ge01,arrh elat,hl,1,,,
ge01,brac pinn,hl,+,,,
ge01,briz medi,hl,+,,,
ge01,cala vari,hl,+,,,
ge01,care flac,hl,+,,,
ge01,care flav flav,hl,+,,,
ge01,care hirt,hl,+,,,
ge01,care orni,hl,+,,,
ge01,care pall,hl,+,,,
ge01,care pani,hl,+,,,
ge01,cent jace jace,hl,2b,,,
ge01,dact glom glom,hl,+,,,
ge01,desc cesp,hl,+,,,
ge01,equi arve,hl,+,,,
ge01,euph offi rost,hl,2m,,,
ge01,fest arun slat,hl,3,,,
ge01,fest prat prat,hl,1,,,
ge01,fest rubr slat,hl,1,,,
ge01,fili ulma ulma,hl,+,,,
ge01,gali bore,hl,1,,,
ge01,gali veru,hl,1,,,
ge01,homa pube pube,hl,1,,,
ge01,leon hisp hisp,hl,+,,,
ge01,leuc ircu,hl,1,,,
ge01,linu cath,hl,2m,,,
ge01,lotu corn,hl,1,,,
ge01,medi lupu,hl,+,,,
ge01,moli caer aggr,hl,1,,,
ge01,phle prat,hl,+,,,
ge01,plan lanc,hl,+,,,
ge01,poly amar ella,hl,1,,,
ge01,pote rept,hl,+,,,
ge01,prun gran,hl,+,,,
ge01,prun vulg,hl,+,,,
ge01,ranu nemo,hl,1,,,
ge01,rhin mino,hl,1,,,
ge01,sali purp,hl,r,,,
ge01,scab colu,hl,1,,,
ge01,sile vulg vulg,hl,r,,,
ge01,thym pule pule,hl,+,,,
ge01,trag orie,hl,r,,,
ge01,trif prat prat,hl,+,,,
ge01,verb nigr,hl,r,,,
ge02,alli cari cari,hl,+,,cf.,
ge02,anth odor,hl,1,,,
ge02,anth vuln slat,hl,2a,,cf. ssp alpicola,
ge02,beto offi offi,hl,+,,,
ge02,brac pinn,hl,2a,,,
ge02,briz medi,hl,2b,,,
ge02,buph sali,hl,+,,,
ge02,camp glom,hl,+,,,
ge02,care cary,hl,+,,,
ge02,care flac,hl,+,,,
ge02,care mont,hl,+,,,
ge02,care orni,hl,+,,,
ge02,care pall,hl,+,,,
ge02,care pani,hl,+,,,
ge02,cent jace jace,hl,1,,,
ge02,dact glom glom,hl,+,,,
ge02,dact macu slat,hl,r,,,
ge02,euph offi rost,hl,+,,,
ge02,fest prat prat,hl,1,,,
ge02,fest stri trac,hl,1,,cf.,
ge02,gali albu,hl,+,,,
ge02,gali bore,hl,1,,,
ge02,gali veru,hl,1,,,
ge02,gymn cono slat,hl,+,,,
ge02,hipp como,hl,+,,,
ge02,homa pube pube,hl,2a,,,
ge02,knau arve arve,hl,1,,,
ge02,koel pyra pyra,hl,2b,,,
ge02,leon hisp hisp,hl,1,,,
ge02,leuc ircu,hl,+,,,
ge02,linu cath,hl,2m,,,
ge02,lotu corn,hl,+,,,
ge02,medi lupu,hl,+,,,
ge02,moli caer aggr,hl,1,,,
ge02,orob grac,hl,+,,cf.,
ge02,peta para,hl,+,,,
ge02,peuc oreo,hl,2a,,,
ge02,poly amar ella,hl,+,,,
ge02,pote erec,hl,+,,,
ge02,prun gran,hl,1,,,
ge02,ranu acri acri,hl,+,,,
ge02,ranu nemo,hl,1,,,
ge02,rhin mino,hl,2b,,,
ge02,sang mino slat,hl,+,,,
ge02,sang offi,hl,+,,,
ge02,scab colu,hl,2a,,,
ge02,thym pule pule,hl,1,,,
ge02,trif mont mont,hl,+,,,
ge02,trif prat prat,hl,+,,,
ge02,vici crac,hl,+,,,
ge03,achi mill,hl,+,,,
ge03,ajug rept,hl,+,,,
ge03,alli cari cari,hl,+,,,
ge03,anth odor,hl,+,,,
ge03,anth vuln slat,hl,+,,cf. ssp alpicola,
ge03,brac pinn,hl,2a,,,
ge03,briz medi,hl,2b,,,
ge03,camp rotu aggr,hl,r,,,
ge03,care cary,hl,+,,,
ge03,care flac,hl,1,,,
ge03,care mont,hl,1,,,
ge03,care orni orni,hl,+,,,
ge03,cent jace jace,hl,1,,,
