plot,variable,value
gm10a,comments,
gm10b,comments,
gm10c,comments,
gm10d,comments,
gm11a,comments,
gm12a,comments,Grasfrosch
gm15a,comments,
gm16a,comments,
gm17a,comments,
gm17b,comments,
gm17c,comments,
gm17d,comments,
gm18a,comments,
gm18b,comments,
gm1a,comments,
gm1b,comments,
gm1c,comments,
gm1d,comments,
gm1e,comments,
gm1f,comments,
gm1g,comments,
gm20a,comments,
gm21a,comments,
gm22a,comments,
gm22b,comments,
gm22c,comments,
gm22d,comments,"Forst, Käferschaden"
gm22e,comments,nummer 22d (2 mal vergeben)
gm23a,comments,
gm23b,comments,
gm23c,comments,"Rücken, flachgründig"
gm23d,comments,
gm24a,comments,Dickung
gm25a,comments,
gm27a,comments,
gm27b,comments,
gm27c,comments,
gm28a,comments,
gm29a,comments,schüttere Anpflanzung?
gm2a,comments,
gm31a,comments,
gm5a,comments,
gm6a,comments,
gm6b,comments,
gm7a,comments,
gm8a,comments,
gm9a,comments,
gm10a,cov,90
gm10b,cov,85
gm10c,cov,95
gm10d,cov,95
gm11a,cov,95
gm12a,cov,95
gm15a,cov,95
gm16a,cov,100
gm17a,cov,95
gm17b,cov,95
gm17c,cov,95
gm17d,cov,100
gm18a,cov,95
gm18b,cov,98
gm1a,cov,95
gm1b,cov,98
gm1c,cov,95
gm1d,cov,98
gm1e,cov,98
gm1f,cov,100
gm1g,cov,100
gm20a,cov,95
gm21a,cov,95
gm22a,cov,90
gm22b,cov,95
gm22c,cov,95
gm22d,cov,85
gm22e,cov,85
gm23a,cov,95
gm23b,cov,98
gm23c,cov,95
gm23d,cov,80
gm24a,cov,98
gm25a,cov,95
gm27a,cov,98
gm27b,cov,98
gm27c,cov,98
gm28a,cov,98
gm29a,cov,100
gm2a,cov,100
gm31a,cov,98
gm5a,cov,100
gm6a,cov,100
gm6b,cov,95
gm7a,cov,100
gm8a,cov,100
gm9a,cov,90
gm10a,date,2008-05-31
gm10b,date,2008-05-31
gm10c,date,2008-05-31
gm10d,date,2008-06-01
gm11a,date,2008-05-31
gm12a,date,2008-05-31
gm15a,date,2008-06-01
gm16a,date,2008-06-01
gm17a,date,2008-06-01
gm17b,date,2008-06-01
gm17c,date,2008-06-01
gm17d,date,2008-06-27
gm18a,date,2008-06-01
gm18b,date,2008-06-27
gm1a,date,2008-05-30
gm1b,date,2008-05-30
gm1c,date,2008-05-30
gm1d,date,2008-05-31
gm1e,date,2008-06-01
gm1f,date,2008-06-28
gm1g,date,2008-06-28
gm20a,date,2008-06-01
gm21a,date,2008-06-27
gm22a,date,2008-06-27
gm22b,date,2008-06-27
gm22c,date,2008-06-27
gm22d,date,2008-06-27
gm22e,date,2008-06-27
gm23a,date,2008-06-27
