plot,abbr,layer,cover,voucher,comment,history
go01,acer plat,hl,1,,,
go01,acer pseu,hl,+,,,
go01,ajug ×hyb,hl,r,2015-0031,,
go01,alli cari cari,hl,1,,,
go01,alli oler,hl,+,cf.,,
go01,anem nemo,hl,+,,,
go01,apos foet,hl,+,,,
go01,arab hirs,hl,+,,,
go01,aspl ruta,hl,+,,,
go01,aspl tric quad,hl,1,,,
go01,brac pinn,hl,+,,,
go01,brac sylv,hl,+,,,
go01,brom bene,hl,+,,,
go01,cala vari,hl,1,,,
go01,camp pers,hl,r,,,
go01,camp rapu rapu,hl,+,,,
go01,camp trac,hl,+,,,
go01,care alba,hl,1,,,
go01,care digi,hl,2b,,,
go01,care humi,hl,1,,,
go01,care mont,hl,1,,,
go01,care orni,hl,+,,,
go01,carp betu,hl,+,,,
go01,clem vita,hl,+,,,
go01,clin vulg vulg,hl,+,,,
go01,corn sang slat,hl,+,,,
go01,crat mono,hl,1,,,
go01,euon euro,hl,+,,,
go01,euph amyg amyg,hl,+,,,
go01,euph cypa,hl,r,,,
go01,euph dulc,hl,+,,,
go01,fagu sylv,hl,+,,,
go01,frag mosc,hl,+,2015-0030,,
go01,frag vesc,hl,1,,,
go01,frax exce,hl,+,,,
go01,gale mont,hl,+,,,
go01,gera robe,hl,+,,,
go01,hede heli,hl,2a,,,
go01,hepa nobi,hl,2a,,,
go01,lact mura,hl,+,,,
go01,ligu vulg,hl,2a,,,
go01,loni xylo,hl,1,,,
go01,meli nuta,hl,1,,,
go01,merc pere,hl,+,,,
go01,orch masc spec,hl,r,,,
go01,orig vulg,hl,+,,,
go01,poa comp,hl,+,,,
go01,poly cham,hl,+,,,
go01,poly mult,hl,1,,,
go01,poly odor,hl,r,,,
go01,pote neum,hl,r,2015-0032,,
go01,quer robu,hl,+,,,
go01,rosa arve,hl,1,,,
go01,rubu sect rubu,hl,1,,,
go01,salv glut,hl,+,,,
go01,sesl caer,hl,+,,,
go01,sile nuta nuta,hl,+,,,
go01,soli virg virg,hl,+,,,
go01,teuc cham,hl,r,,,
go01,ulmu glab,hl,+,,,
go01,vibu lant,hl,+,,,
go01,vinc hiru,hl,1,,,
go01,viol alba slat,hl,+,2015-0033,,
go01,viol coll,hl,+,,,
go01,viol rivi,hl,+,,,
go01,acer plat,sl,+,,,
go01,acer pseu,sl,+,,,
go01,berb juli,sl,r,,,
go01,carp betu,sl,+,,,
go01,clem vita,sl,+,,,
go01,corn sang slat,sl,1,,,
go01,cory avel,sl,+,,,
go01,coto hori,sl,+,,,
go01,crat mono,sl,2a,,,
go01,euon euro,sl,1,,,
go01,frax exce,sl,1,,,
go01,hede heli,sl,+,,,
go01,ligu vulg,sl,4,,,
go01,loni xylo,sl,2b,,,
go01,quer robu,sl,+,,,
go01,rham cath,sl,+,,,
go01,rosa arve,sl,+,,,
go01,ulmu glab,sl,1,,,
go01,vibu lant,sl,1,,,
go01,acer plat,tl1,2a,,,
go01,frax exce,tl1,3,,,
go01,quer robu,tl1,2a,,,
go01,acer plat,tl2,2a,,,
go01,carp betu,tl2,2b,,,
go01,frax exce,tl2,2b,,,
go01,ulmu glab,tl2,+,,,
go02,acer plat,hl,1,,,
go02,acer pseu,hl,+,,,
go02,ajug rept,hl,+,,,
go02,anem nemo,hl,2a,,,
go02,apos foet,hl,+,,,
go02,aspl ruta,hl,+,,,
go02,aspl tric quad,hl,+,,,
go02,brac pinn,hl,+,,,
go02,brac sylv,hl,+,,,
go02,brom bene,hl,+,,,
go02,cala vari,hl,1,,,
go02,camp rapu rapu,hl,+,,,
go02,care alba,hl,2a,,,
go02,care digi,hl,1,,,
go02,care humi,hl,2a,,,
go02,care mont,hl,2a,,,
go02,carp betu,hl,1,,,
go02,clem vita,hl,+,,,
go02,corn sang slat,hl,+,,,
go02,crat mono,hl,1,,,
go02,dact glom glom,hl,+,,,
go02,euph amyg amyg,hl,2a,,,
go02,fagu sylv,hl,+,,,
go02,frag vesc,hl,1,,,
go02,frax exce,hl,+,,,
go02,gera robe,hl,+,,,
go02,hede heli,hl,1,,,
go02,hell viri,hl,r,2015-0034,,
go02,hepa nobi,hl,2a,,,
go02,lact mura,hl,+,,,
go02,ligu vulg,hl,1,,,
go02,loni xylo,hl,+,,,
go02,meli nuta,hl,1,,,
go02,merc pere,hl,+,,,
go02,orch masc spec,hl,1,,,
go02,pice abie,hl,r,,,
go02,poly mult,hl,1,,,
go02,pote ster,hl,+,,,
go02,prun aviu slat,hl,+,,,
go02,quer robu,hl,+,,,
go02,rham cath,hl,1,,,
go02,rosa arve,hl,1,,,
go02,rosa pend,hl,+,,,
go02,rubu sect rubu,hl,+,,,
go02,salv glut,hl,+,,,
go02,sile nuta nuta,hl,+,,,
go02,soli virg virg,hl,+,,,
go02,sorb aucu aucu,hl,+,,,
go02,tara sect rude,hl,r,,,
go02,vibu lant,hl,+,,,
go02,vinc hiru,hl,+,,,
go02,viol coll,hl,+,,,
go02,viol hirt,hl,+,,,
go02,viol rivi,hl,+,,,
go02,acer pseu,sl,+,,,
go02,carp betu,sl,+,,,
go02,clem vita,sl,+,,,
go02,corn sang slat,sl,+,,,
go02,cory avel,sl,+,,,
go02,coto hori,sl,r,,,
go02,crat mono,sl,1,,,
go02,fagu sylv,sl,+,,,
go02,frax exce,sl,+,,,
go02,ligu vulg,sl,2a,,,
go02,loni xylo,sl,1,,,
go02,prun aviu slat,sl,+,,,
