plot,abbr,layer,cov
5,bell mich,hl,1
1,bart alpi,hl,+
12,bisc laev laev,hl,+
1,care semp semp,hl,1
1,heli alpe,hl,+
1,heli numm gran,hl,2
13,heli parl,hl,2
1,pimp alpi,hl,+
22,sela sela,hl,+
3,sese liba liba,hl,+
5,crep jacq slat,hl,+
21,hier bupl,hl,2
4,vale saxa,hl,2
11,achn cala,hl,+
17,gyps repe,hl,2
11,minu aust,hl,+
1,sile rupe,hl,+
22,aspe cyna,hl,1
16,botr luna,hl,r
11,arab aren,hl,+
11,cycl purp,hl,r
11,echi vulg,hl,+
21,geni pilo,hl,+
5,gent aust,hl,+
13,hell nige,hl,r
4,hier spec ies,hl,r
22,knau arve slat,hl,1
22,medi lupu,hl,+
22,orob alba,hl,+
7,rham saxa saxa,hl,+
22,sedu acre,hl,1
22,sile nuta nuta,hl,1
20,thym pule slat,hl,+
6,acer pseu,hl,r
18,berb vulg,hl,+
2,pinu mugo,hl,r
18,rham cath,hl,+
2,sali appe,hl,r
9,sorb aria,hl,r
20,clad spec ies,ml,+
15,hypn spec ies,ml,+
15,pelt apht,ml,+
22,pelt rufe,ml,+
21,psor deci,ml,+
21,squa cart,ml,1
18,tort incl,ml,+
