plot,elevation,expo,slope,pls,hcov,mcov,location,date,remark,gridcell,latitude,longitude,accuracy,observer
1,1700,S,40,10,60,0,"Prein/Rax, Raxenmäuer",1990-07-27,(LM3815),8360-1,47.684334,15.689971,200,J. Greimler
2,1400,S,30,8,30,1,"Prein/Rax, Reißtalersteig",1990-07-27,(LM3813),8360-1,47.683924,15.701182,1000,J. Greimler
3,640,W,60,10,45,5,"Reichenau/Rax, Eng",1990-07-27,(LM3802),8261-3,47.712853,15.848659,200,J. Greimler
4,680,NO,60,20,30,1,"Reichenau/Rax, Eng",1990-07-27,(LM3805),8261-3,47.712853,15.848659,200,J. Greimler
5,720,WNW,65,15,50,1,"Reichenau/Rax, Eng",1990-07-27,(LM3807),8261-3,47.712853,15.848659,200,J. Greimler
6,700,SW,43,16,30,1,"Weichselboden, SW Gutenbrand",1990-06-02,(LM3778),8357-1,47.679419,15.167420,500,J. Greimler
7,680,W,50,25,60,5,"Weichselboden, Vordere Höll",1990-07-28,(LM3819),8357-1,47.671825,15.184912,300,J. Greimler
8,720,S,30,24,50,5,"Weichselboden, Vordere Höll",1990-07-28,(LM3821),8357-1,47.671825,15.184912,300,J. Greimler
9,720,S,40,30,50,1,"Weichselboden, Vordere Höll",1990-07-28,(LM3822),8357-1,47.671825,15.184912,300,J. Greimler
10,700,SW,45,30,50,1,"Weichselboden, SW Gutenbrand",1990-07-28,(LM3826),8357-1,47.679419,15.167420,500,J. Greimler
11,720,W,75,15,50,10,"Weichselboden, SW Gutenbrand",1990-07-28,(LM3824),8357-1,47.679419,15.167420,500,J. Greimler
12,700,SSW,30,20,50,0,"Weichselboden, SW Gutenbrand",1990-07-28,(SG0510),8357-1,47.679419,15.167420,500,J. Greimler
13,800,S,40,25,50,1,"Weichselboden, S Ameiskogel",1990-07-28,(SG0511),8357-1,47.671459,15.167906,500,J. Greimler
14,680,SW,60,8,45,1,"Gschöder, SW Guckkogel",1990-07-29,(LM3827),8356-2,47.653125,15.093126,500,J. Greimler
15,680,S,40,20,55,15,"Gschöder, SW Guckkogel",1990-07-29,(LM3828),8356-2,47.653125,15.093126,500,J. Greimler
16,750,OSO,65,8,40,1,"Eisenerz, Seemauer/Leopoldsteinersee",1990-06-02,(LM3772),8455-2,47.577442,14.848171,1000,J. Greimler
17,630,WSW,45,10,25,5,"Admont, Himbeerstein",1990-08-06,(SG0512),8453-1,47.582438,14.551860,150,J. Greimler
18,620,SSW,60,15,10,5,"Admont, Himbeerstein",1988-06-20,(SG0130),8453-1,47.582438,14.551860,150,J. Greimler
19,630,SO,50,8,20,5,"Admont, Himbeerstein",1988-06-20,(SG0132),8453-1,47.582438,14.551860,150,J. Greimler
20,620,SO,30,10,40,5,"Admont, Himbeerstein",1990-05-29,(SG0496),8453-1,47.582438,14.551860,150,J. Greimler
21,880,S,70,9,70,1,"Breitenstein/Semmering, O Rotes Kreuz",1990-07-29,(LM3833),8360-2,47.657314,15.808405,150,J. Greimler
