taxon,matched.taxon
Festuca * pallidula,Festuca versicolor ssp. pallidula
Minuartia kitaibelii,Minuartia langii
blank,NA
Phyteuma orbiculare,Phyteuma orbiculare s.str.
Carduus crassifolius,Carduus defloratus ssp. summanus
Pulsatilla alpina,Pulsatilla alpina s.lat.
Thesium alpinum,Thesium alpinum
Carex firma,Carex firma
blank,NA
Euphorbia cyparissias,Euphorbia cyparissias
Galium lucidum,Galium lucidum
Carex humilis,Carex humilis
Dianthus carthusianorum,Dianthus carthusianorum s.lat.
Erysimum sylvestre,Erysimum sylvestre s.str.
Teucrium chamaedrys,Teucrium chamaedrys ssp. chamaedrys
Allium carinatum,Allium carinatum
Melica ciliata,Melica ciliata s.str.
Abietinella abietina,Abietinella abietina s.lat.
blank,NA
Sesleria albicans,Sesleria caerulea s.str.
Achillea clavenae,Achillea clavennae
Acinos alpinus,Clinopodium alpinum ssp. alpinum
Euphrasia salisburgensis,Euphrasia salisburgensis s.str.
Calamagrostis varia,Calamagrostis varia
Carex mucronata,Carex mucronata
Jovibarba hirta,Jovibarba globifera ssp. hirta
Scabiosa lucida,Scabiosa lucida ssp. lucida
Carduus defloratus,Carduus defloratus ssp. viridis
Rhinanthus glacialis,Rhinanthus glacialis
Hippocrepis comosa,Hippocrepis comosa
Gentiana clusii,Gentiana clusii ssp. clusii
Carex ornithopoda,Carex ornithopoda s.lat.
Galium anisophyllum,Galium anisophyllon
Polygala * brachyptera,Polygala amara ssp. brachyptera
Ranunculus hybridus,Ranunculus hybridus
Aster alpinus,Aster alpinus
Anthyllis * alpestris,Anthyllis vulneraria ssp. alpicola
Senecio abrotanifolius,Senecio abrotanifolius var. abrotanifolius
Viola biflora,Viola biflora
blank,NA
Vincetoxicum hirundinaria,Vincetoxicum hirundinaria
Buphthalmum salicifolium,Buphthalmum salicifolium
Betonica alopecuros,Betonica alopecuros
Laserpitium latifolium,Laserpitium latifolium ssp. latifolium
Molinia caerulea agg.,Molinia caerulea agg.
blank,NA
Globularia cordifolia,Globularia cordifolia s.str.
Hieracium porrifolium,Hieracium porrifolium
Primula auricula,Primula auricula s.lat.
Asplenium ruta-muraria,Asplenium ruta-muraria
Potentilla caulescens,Potentilla caulescens ssp. caulescens
Kernera saxatilis,Kernera saxatilis
Trisetum alpestre,Trisetum alpestre
Campanula praesignis,Campanula praesignis
Hieracium bifidum,Hieracium bifidum
Campanula cochleariifolia,Campanula cochleariifolia
Carex brachystachys,Carex brachystachys
blank,NA
Athamanta cretensis,Athamanta cretensis
Thalictrum minus,Thalictrum minus s.lat.
Campanula cespitosa,Campanula cespitosa
Asperula neilreichii,Asperula neilreichii
Leontodon * hyoseroides,Leontodon hispidus ssp. hyoseroides
Linaria alpina,Linaria alpina ssp. alpina
Adenostyles glabra,Adenostyles alpina
Aëthionema saxatile      .,Aëthionema saxatile
Galium meliodorum,Galium meliodorum
Sedum atratum,Sedum atratum ssp. atratum
blank,NA
Teucrium montanum,Teucrium montanum
Thymus praecox,Thymus praecox s.lat.
Allium montanum,Allium lusitanicum
Seseli austriacum,Seseli austriacum
Anthericum ramosum,Anthericum ramosum
Anthyllis vulneraria,Anthyllis vulneraria s.lat.
Centaurea scabiosa,Centaurea scabiosa s.lat.
Galium pumilum,Galium pumilum
Viola collina,Viola collina
Carlina acaulis,Carlina acaulis s.lat.
blank,NA
Leontodon incanus,Leontodon incanus
Polygala chamaebuxus,Polygala chamaebuxus
Amelanchier ovalis,Amelanchier ovalis
Erica herbacea,Erica carnea
Crepis alpestris,Crepis alpestris
blank,NA
Linum catharticum,Linum catharticum
Lotus corniculatus,Lotus corniculatus s.str.
Sedum album,Sedum album
Gentianella germanica,Gentianella austriaca
Polygonatum odoratum,Polygonatum odoratum
Viola hirta,Viola hirta
Bupleurum falcatum,Bupleurum falcatum
blank,NA
Tortella tortuosa,Tortella tortuosa
Homalothecium sericeum,Homalothecium sericeum
Schistidium apocarpum,Schistidium apocarpum
Cladonia pyxidata,Cladonia pyxidata
Ditrichum flexicaule,Ditrichum flexicaule
Rhytidium rugosum,Rhytidium rugosum
Neckera crispa,Neckera crispa
