Aufn. Nr.;453
Seehöhe mxlO;191
Neigung °;25
Exposition;WSW
Fläche m2;7
Deckung % K;70
M;5
Elyna myosuroides;3
Dryas octopetala;2
Agrostis alpina;1
Hedysarum hedysaroides;1
Festuca *brachystachys;1
Oxytropis jacqinii;1
Helianthemum alpestre;1
Festuca pumila;+
Androsace chamaejasme;+
Silene acaulis;+
Gentiana nivalis;+
Potentilla crantzii;+
Minuartia sedoides;+
Carex capillaris;+
Potentilla clusiana;4-
Saussurea pygmaea;+
Saussurea discolor;+
Pedicularis verticillata;+
Minuartia gerardii;
Euphrasia salisburgensis;+
Festuca *pallidula;+
Phyteuma orbiculare;+
Gentianella germanica;+
Galium anisophyllum;+
Polygonum viviparum;+
Carex sempervirens;+
Primula auricula;l
Luzula glabrata;4-
Cerastium arvense;+
Trollius europaeus;+
Sesleria varia;4-
Poa alpina;4*
Campanula scheuchzeri;+
