Aufn.Nr;91;391;458;449
Seehöhe mx1O;203;200;191;202
Heigung°;-;15;30;5
Exposition;-;WNW;SW;S
Fläche b2;10;10;2;4
Deckung % K;60;70;90;70
Deckung % M;50;15;10;60
Agrostis rupestris;3;2;4;2
Leontodon helveticus;2;2;2;1
Anthoxanthum alpinum;+;1;1;1
Avenochloa versicolor;1;1;1;2
Euphrasia ninioa;2;1;1;1
Valeriana celtica;2;3;;3
Pulsatilla alpina;+;1;;+
Polygonus viviparun;2;t;;1
Hieraciua alpinus;1;*;;t
Caapanula scheuchzeri;;*;+;
Potentilla aurea;f;;;
Bardus stricta;;*;;
Hoaogyne alpina;2;1;;
Salix retusa;3;♦;;
Luzula multiflora;;*;*;
Vacciniun syrtillus;;t;+;
Carex atrata agg.;;+;;
Agrostis alpina;;•;¥;1
Cerastium arvense;;•;f;t
LigusticuB Butellina;;2;;0
Deschampsia cespitosa;;1;;0
Galiua noricua;;.;;1
Carex seapervirens;;1;;.
Juncus trifidus;;.;1;.
Gentiana punctata;2;0;;.
HoBogyne discolor;;3;;.
Carex capillaris;;1;;1
Antennaria dioica;;.;;2
Pestuca rupicaprina;;1;;.
Androsace chaaaejasae;;;;1
Ninuartia sedoides;;•;;1
Dicranus scop./sp.;♦;2;1;1
Cetraria islandica;3;1;;1
Cladonia species;*;;1;¥
Cladonia arbuscula;2;;;0
Polytrichun piliferua;2;;;3
Cladonia aacroceras;1;;;1
Polytrichun connune;1;;;
Barbilophozia species;1;;;
Cladonia rangiferina;2;;;
tecidoaa deaissa;+;;;
Sanionia uncinata;;+;;
Polytrichum alpinum;;1;;
Cladonia arb./rang.;;.;;2
Cetraria nivalis;;.;;1
Cetraria cucullata;;■;;1
