taxon;matched.taxon;abbr
Braya alpina;Braya alpina;bray alpi
Carex firma;Carex firma;care firm
Saxifraga caesia;Saxifraga caesia;saxi caes
Polygonum viviparum;Persicaria vivipara;pers vivi
Primula minima;Primula minima;prim mini
Sesleria ovata;Sesleria ovata;sesl ovat
Euphrasia minima agg.;Euphrasia minima s.str.;euph mini
Ranunculus alpestris;Ranunculus alpestris s.str.;ranu alpe
Carex ornithopodoides;Carex ornithopodoides;care orni
Carex parviflora;Carex parviflora;care parv
Salix reticulata;Salix reticulata;sali reti
Salix retusa;Salix retusa s.str.;sali retu
Saxifraga aizoides;Saxifraga aizoides;saxi aizo
Elyna myosuroides;Kobresia myosuroides;kobr myos
Oxytropis campestris;Oxytropis campestris ssp. campestris;oxyt camp camp
Gentiana orbicularis;Gentiana orbicularis;gent orbi
Ligusticum mutellinoides;Pachypleurum mutellinoides;pach mute
Arenaria ciliata;Arenaria ciliata;aren cili
Helianthemum alpestre;Helianthemum alpestre;heli alpe
Gypsophila repens;Gypsophila repens;gyps repe
Pedicularis rostrato capitata;Pedicularis rostratocapitata ssp. rostratocapitata;pedi rost tata
Sesleria varia;Sesleria caerulea s.str.;sesl caer
Thymus praecox ssp. polytrichus;Thymus praecox ssp. polytrichus;thym prae poly
Bartsia alpina;Bartsia alpina;bart alpi
Draba aizoides;Draba aizoides ssp. aizoides;drab aizo aizo
Achillea clavenae;Achillea clavennae;achi clav
Sedum atratum;Sedum atratum s.lat.;sedu atra slat
Euphrasia salisburgensis;Euphrasia salisburgensis s.str.;euph sali
Leontopodium alpinum;Leontopodium alpinum;leon alpi
Campanula cochleariifolia;Campanula cochleariifolia;camp coch
Galium anisophyllum;Galium anisophyllon;gali anis
Erysimum sylvestre;Erysimum sylvestre s.str.;erys sylv
Tortella tortuosa;Tortella tortuosa;tort tort
Aster alpinus;Aster alpinus;aste alpi
Gentianella germanica;Gentianella rhaetica;gent rhae
Linaria alpina;Linaria alpina ssp. alpina;lina alpi alpi
Artemisia mutellina;Artemisia mutellina;arte mute
Distichium capillaceum;Distichium capillaceum;dist capi
Thamnolia vermicularis;Thamnolia vermicularis var. vermicularis;tham verm verm
Cetraria tilesii;Vulpicida tubulosus;vulp tubu
Dactylina madreporiformis;Allocetraria madreporiformis;allo madr
Festuca pumila;Festuca pumila;fest pumi
Carex rupestris;Carex rupestris;care rupe
Salix serpillifolia;Salix serpyllifolia;sali serp
Minuartia gerardii;Minuartia gerardii;minu gera
Silene acaulis agg.;Silene acaulis s.lat.;sile acau slat
Saxifraga oppositifolia;Saxifraga oppositifolia ssp. oppositifolia;saxi oppo oppo
Minuartia sedoides;Minuartia sedoides;minu sedo
Cetraria islandica;Cetraria islandica ssp. islandica;cetr isla isla
Dryas octopetala;Dryas octopetala;drya octo
