plot,region,L,T,K,F,R,N,expo,slope,pls,cov,AZ,hhl1,hcov,mcov,geology,landuse,grazing.intensity,elevation,latitude,longitude,accuracy,location,observer,date,remarks
1,geo1,7,2,3,6,6,3,0,5,30,80,19,50,80,1,fluviatil sediments,pasture,medium,2100,46.68387,10.40457,100,"Mitteralm, Praviert NW 70 m, Rand eines Bachlaufes, schneetälchenartig, Pediment, feine Alluvionen, Almweide am Bachrand",P. Gruber,2006-01-01,date is year of publication
2,geo1,8,8,7,5,8,8,1,4,4,80,17,50,80,5,fluviatil sediments,pasture,low,2100,46.68387,10.40457,100,"Mitteralm, Praviert NW, Einzelklon, Feinalluvionen, Bachrand zu Weidefläche",P. Gruber,2006-01-01,date is year of publication
3,geo1,8,3,4,5,7,2,0,0,16,90,13,70,90,40,fluviatil sediments,pasture,medium,2100,46.68387,10.40457,100,"Pravierthütte S 50 m, sumpfige Delle im Mäan­ derbereich, Mäander-Feinschutt und Sand",P. Gruber,2006-01-01,date is year of publication
4,geo1,2,3,3,5,4,5,1,2,16,90,7,70,90,1,fluviatil sediments,pasture,medium,2100,46.68387,10.40457,100,"Pravierthütte SE 80 m, Bachsumpfmäander auf Feinalluvionen, Optimalbereich",P. Gruber,2006-01-01,date is year of publication
5,geo1,7,2,4,7,5,3,0,0,40,65,10,60,65,1,sand and mud,pasture,medium,2100,46.68387,10.40457,100,"Pravierthütte SE 80 m, direkt am fließenden Bach, Rohbodenalluvionen und Schlick, Juncus arcticus zum Teil im Seichtwasser",P. Gruber,2006-01-01,date is year of publication
6,geo1,7,5,4,2,8,4,44,0,20,85,13,75,85,15,sand and mud,pasture,medium,2100,46.68387,10.40457,200,"Mitteralm, Praviert S ca. 100 m, Bachrand, aber nur teilweise überstaut, Feinalluvionen mit Sand und Schlick, temporär höherfließendes Wasser, leicht eisenhältiges Wasser durch Bakterien",P. Gruber,2006-01-01,date is year of publication
7,geo1,7,0,3,8,5,2,0,0,25,75,10,40,75,2,half-bog,pasture,medium,2100,46.68387,10.40457,200,"Mitteralm, Praviert S 120 m, Schlickboden an­moorig, Caricetum fuscae",P. Gruber,2006-01-01,date is year of publication
8,geo1,8,3,8,3,5,5,65,0,16,100,14,40,100,60,half-bog,pasture,medium,2100,46.68387,10.40457,200,"Mitteralm, Praviert S 120 m, anmoorig bis niedermoorig, Alluvionen",P. Gruber,2006-01-01,date is year of publication
9,geo1,7,7,4,7,5,3,0,5,4,85,10,40,85,50,half-bog,pasture,low,2100,46.66297,10.42180,1000,"Mitteralm, Bachrand, Caricetum fuscae",P. Gruber,2006-01-01,date is year of publication
10,geo1,8,3,4,9,6,5,44,0,5,100,7,45,100,35,fluviatil sediments,pasture,low,2100,46.68387,10.40457,100,"Mitteralm, Praviert SE, Bachrandsumpf, anmoo­rig, Carex nigra bis 30 cm hoch, Caricetum fuscae",P. Gruber,2006-01-01,date is year of publication
