taxon,matched.taxon
Clim den,Climacium dendroides
Desc cesp,Deschampsia cespitosa
Phno fon,Philonotis fontana
Ranu acri,Ranunculus acris ssp. acris
Alch mont,Alchemilla monticola
Call palu,Callitriche palustris s.str.
Care elat,Carex elata ssp. elata
Desm lat,Desmatodon latifolius var. latifolius
Didy fal,Didymodon fallax
Fest rubr,Festuca rubra s.lat.
Gera sylv,Geranium sylvaticum
Hypn cup,Hypnum cupressiforme s.lat.
Kobr simp,Kobresia simpliciuscula
Leuc gaud,Leucanthemum gaudinii
Mniu mar,Mnium marginatum
Oxyt hall,Oxytropis halleri s.lat
Phno ser,Philonotis seriata
Phno tom,Philonotis tomentella
Phle prat,Phleum pratense s.str.
Poaa annu,Poa annua ssp. annua
Poac ____,Poa sp.
Pohl fil,Pohlia filum
Rume alpe,Rumex alpestris
Sali appe,Salix appendiculata s.str.
Trif hybr,Trifolium hybridum s.lat.
Trif repe,Trifolium repens ssp. repens
Trif spad,Trifolium spadiceum
Vera albu,Veratrum album s.lat.
Vero becc,Veronica beccabunga
Achi mill,Achillea millefolium agg.
Acon nape,Aconitum napellus s.lat.
Cera font,Cerastium fontanum s.str.
Cirs acau,Cirsium acaule
Didy sp,Didymodon sp.
Drya octo,Dryas octopetala
Elyn myos,Kobresia myosuroides
Junc jacq,Juncus jacquinii
Phle rhae,Phleum rhaeticum
Sagi proc,Sagina procumbens
Achi atra,Achillea atrata
Alch stra,Alchemilla straminea
Anty vuln,Anthyllis vulneraria s.lat.
Brth gla,Brachythecium glareosum var. glareosum
Cera cera,Cerastium cerastoides
Crep aure,Crepis aurea ssp. aurea
Dist cap,Distichium capillaceum
Junc cast,Juncus castaneus
Leon hisp,Leontodon hispidus s.lat.
Poyt nor,Polytrichum sexangulare
Tara offi,Taraxacum sect. Ruderalia
Trif badi,Trifolium badium
Alch decu,Alchemilla decumbens
Alch fiss,Alchemilla fissa s.str.
Ante dioi,Antennaria dioica
Antx alpi,Anthoxanthum alpinum
Arme alpi,Armeria alpina
Bart alpi,Bartsia alpina
Bryo alp,Bryoerythrophyllum alpigenum
Bryu pal,Bryum pallens
Camp sche,Campanula scheuchzeri
Care firm,Carex firma
Care lepo,Carex leporina
Care mari,Carex maritima
Chlo stat,Chlorocrepis staticifolia
Cirs spin,Cirsium spinosissimum
Clad sym,Cladonia symphycarpa
Ditr het,Ditrichum heteromallum
Ditr pus,Ditrichum pusillum
Erio lati,Eriophorum latifolium
Erio sche,Eriophorum scheuchzeri
Eupr mini,Euphrasia minima s.str.
Fest nisc,Festuca nigrescens
Gent niva,Gentiana nivalis
Gent vern,Gentiana verna ssp. verna
Genl anis,Gentianella anisodonta
Hedy hedy,Hedysarum hedysaroides ssp. hedysaroides
Heli alpe,Helianthemum alpestre
Hier aura,Hieracium aurantiacum
Hylo pyr,Hylocomium pyrenaicum
Junc fili,Juncus filiformis
Loma cari,Lomatogonium carinthiacum
Luzu mult,Luzula multiflora s.str.
Marc pol,Marchantia polymorpha s.lat.
Oxyt catr,Oxytropis campestris ssp. tiroliensis
Pedi roca,Pedicularis rostratocapitata ssp. rostratocapitata
Plan alpi,Plantago alpina
Poaa supi,Poa supina
Pogo urn,Pogonatum urnigerum
Pote aure,Potentilla aurea
Pote cran,Potentilla crantzii
Pote rept,Potentilla reptans
Rhac elo,Racomitrium elongatum
Rhmn pun,Rhizomnium punctatum
Sali alpi,Salix alpina
Sali repe,Salix repens ssp. repens
Sali reti,Salix reticulata
Sali serp,Salix serpyllifolia
Saxi andr,Saxifraga androsacea
Scap cus,Scapania cuspiduligera
Sile acau,Silene acaulis s.lat.
Sold mini,Soldanella minima
Tort nor,Syntrichia norvegica
Tort tor,Tortella tortuosa
Trif alpe,Trifolium alpestre
Trif aure,Trifolium aureum
Trif prni,Trifolium pratense ssp. nivale
Vero alpi,Veronica alpina
Care ferr,Carex ferruginea s.str.
Gent bava,Gentiana bavarica s.str.
Lotu alpi,Lotus corniculatus var. alpicola s.lat.
Sela sela,Selaginella selaginoides
Sesl vari,Sesleria caerulea s.str.
Sold pusi,Soldanella pusilla ssp. alpicola
Care capi,Carex capillaris
Parn palu,Parnassia palustris
Agro stol,Agrostis stolonifera s.str.
Bryu bim,Bryum pseudotriquetrum var. bimum
Bryu pse,Bryum pseudotriquetrum var. pseudotriquetrum
Cael cus,Calliergonella cuspidata
Calt palu,Caltha palustris
Carm amar,Cardamine amara s.lat.
Care pani,Carex panicea
Epil nuta,Epilobium nutans
Junc arti,Juncus articulatus
Junc comp,Juncus compressus s.str.
Ranu rept,Ranunculus reptans
Sali brev,Salix breviserrata
Tuss farf,Tussilago farfara
Bryu spe,Buellia sp.
Junc arct,Juncus arcticus
Leio sp,Leiocolea sp.
Mniu spe,Mnium sp.
