plot;cov;tcov1;tcov2;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;soil;comment;latitude;longitude;accuracy;elevation;syntaxon;habitat;location;observer
hg01;98;0;0;0;96;2;0;0;0;0,15;0,04;4;4;W;15;1;1;0;2013-08-21;Pechrendzina;;47.507001N;13.113866E;8;2092;Caricion firmae;Polsterseggenrasen über Pechrendzina;Hagengebirge;R. Kaiser
hg02;98;0;0;0;93;5;0;0;0;0,15;0,03;4;4;W;20;1;1;0;2013-08-21;Pechrendzina;;47.502437N;13.093143E;8;2188;Caricion firmae;Polsterseggenrasen über Pechrendzina;Hagengebirge;R. Kaiser
hg03;88;0;0;0;83;7;0;0;0;0,15;0,02;4;4;N;7;2;3;7;2013-08-22;Pechrendzina;;47.502637N;13.092859E;20;2167;Caricion firmae;Polsterseggenrasen über Pechrendzina;Hagengebirge;R. Kaiser
hg04;98;0;0;0;85;20;0;0;0;0,1;0,02;4;4;F;0;0;1;1;2013-08-22;Braunlehm;;47.500614N;13.091306E;20;2197;Salicion herbaceae;bodensaurer Schneeboden über alpinem Braunlehm;Hagengebirge;R. Kaiser
hg05;97;0;0;0;95;5;0;0;0;0,15;0,03;4;4;N;10;3;0;0;2013-08-22;Pechrendzina;direkt neben Dolinie;47.500369N;13.090932E;20;2188;Oxytropido-Elynion;Nacktried-Rasen über Pechrendzina, direkt neben Dolinie;Hagengebirge;R. Kaiser
hg06;97;0;0;0;90;10;0;0;0;0,15;0,03;4;4;N;30;2;1;0;2013-08-22;Pechrendzina;;47.499902N;13.091310E;20;2179;Oxytropido-Elynion;Nacktried-Rasen über Pechrendzina;Hagengebirge;R. Kaiser
hg07;60;0;0;0;57;3;0;0;0;0,1;0,02;4;4;N;3;0;1;39;2013-08-22;Pechrendzina;;47.500535N;13.087511E;20;2219;Caricion firmae;Polsterseggenrasen über Pechrendzina;Hagengebirge;R. Kaiser
hg08;94;0;0;0;84;10;0;0;0;0,1;0,01;4;4;F;0;1;3;0;2013-08-22;Braunlehm;;47.499503N;13.086223E;20;2235;Salicion herbaceae;bodensaurer Schneeboden über alpinem Braunlehm;Hagengebirge;R. Kaiser
hg09;99;0;0;0;98;2;0;0;0;0,2;0,01;4;4;W;3;0;1;0;2013-08-22;Pechrendzina;;47.498954N;13.085763E;20;2163;Oxytropido-Elynion;Nacktried-Rasen über Pechrendzina;Hagengebirge;R. Kaiser
hg10;97;0;0;0;93;5;0;0;0;0,1;0,03;4;4;NW;20;1;2;0;2013-08-22;Pechrendzina;;47.499129N;13.085666E;20;2185;Caricion firmae;Polsterseggenrasen über Pechrendzina;Hagengebirge;R. Kaiser
