"";"x"
"1";"Ajuga reptans"
"2";"Alopecurus pratensis"
"3";"Anthoxanthum odoratum s.str."
"4";"Bellis perennis"
"5";"Bromus hordeaceus ssp. hordeaceus"
"6";"Capsella bursa-pastoris s.str."
"7";"Carex sylvatica ssp. sylvatica"
"8";"Cerastium holosteoides"
"9";"Chaerophyllum hirsutum s.str."
"10";"Cirsium oleraceum"
"11";"Dactylis glomerata ssp. glomerata"
"12";"Elytrigia repens"
"13";"Festuca pratensis s.str."
"14";"Glechoma hederacea"
"15";"Heracleum sphondylium ssp. sphondylium"
"16";"Holcus lanatus"
"17";"Lolium multiflorum"
"18";"Lolium perenne"
"19";"Lychnis flos-cuculi"
"20";"Lysimachia nemorum"
"21";"Plantago lanceolata"
"22";"Plantago major s.lat."
"23";"Poa annua ssp. annua"
"24";"Poa pratensis"
"25";"Poa trivialis"
"26";"Potentilla reptans"
"27";"Ranunculus acris ssp. acris"
"28";"Ranunculus repens"
"29";"Rumex acetosa"
"30";"Rumex obtusifolius ssp. obtusifolius"
"31";"Silene dioica"
"32";"Taraxacum sect. Ruderalia"
"33";"Trifolium pratense ssp. pratense"
"34";"Trifolium repens ssp. repens"
"35";"Trisetum flavescens ssp. flavescens"
"36";"Veronica arvensis"
"37";"Veronica filiformis"
"38";"Veronica serpyllifolia ssp. serpyllifolia"
