taxon,matched.taxon
Kobresia simpliciuscula,Kobresia simpliciuscula
Potentilla erecta,Potentilla erecta
Primula farinosa,Primula farinosa
Valeriana dioica,Valeriana dioica
Drepanocladus intermedius,Scorpidium cossonii
Campylium stellatum,Campylium stellatum
Bartsia alpina,Bartsia alpina
Juncus alpino-articulatus,Juncus alpinoarticulatus ssp. alpinoarticulatus
Carex davalliana,Carex davalliana
Carex flava lepidocarpa,Carex lepidocarpa
Selaginella selaginoides,Selaginella selaginoides
Tofieldia calyculata,Tofieldia calyculata
Eriophorum latifolium,Eriophorum latifolium
Trichophortim cespitosum,Trichophorum cespitosum ssp. cespitosum
Pinguicula vulgaris,Pinguicula vulgaris
Dactylorhiza majalis,Dactylorhiza majalis s.lat.
Equisetum variegatum,Equisetum variegatum
Aster bellidiastrum,Bellidiastrum michelii
Sesleria varia,Sesleria caerulea s.str.
Veratrum album lobelianum,Veratrum album ssp. lobelianum
Parnassia palustris,Parnassia palustris
Carex nigra,Carex nigra
Willemetia stipitata,Willemetia stipitata ssp. stipitata
Euphrasia minima,Euphrasia minima s.str.
Phyteuma orbiculare,Phyteuma orbiculare s.str.
Campanula scheuchzeri,Campanula scheuchzeri
Eriophorum angustifolium,Eriophorum angustifolium
Cirsium palustre,Cirsium palustre
Carex ferruginea,Carex ferruginea s.str.
Polygala alpestris,Polygala alpestris ssp. alpestris
Gymnadenia conopsea,Gymnadenia conopsea ssp. conopsea
Prunella vulgaris,Prunella vulgaris
Nardus stricta,Nardus stricta
Ranunculus nemorosus,Ranunculus nemorosus
Linum catharticum,Linum catharticum
Gentiana kochiana,Gentiana acaulis
Carex sempervirens,Carex sempervirens ssp. sempervirens
Pedicularis rostrato capitata,Pedicularis rostratocapitata ssp. rostratocapitata
Leontodon hispidus,Leontodon hispidus s.lat.
Briza media,Briza media
Carex paniculata,Carex paniculata ssp. paniculata
Rhinanthus aristatus,Rhinanthus glacialis
