plot;cov;tcov1;tcov2;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;stones;bare;date;soil;altitude;accuracy;latitude;longitude;locality;description;observer
hk01;99;0;0;0;98;10;0;0;0;0,4;0,1;4;4;N;3;0;1;0;2011-08-16;;2041;35;47.379935N;13.781088E;Hauser Kaibling;;R. Kaiser & A. Blaschka
hk02;99;65;0;1;80;85;25;0;2,5;0,3;0,2;16;16;NE;5;0;0;1;2011-08-16;;1831;10;47.379328N;13.784132E;Hauser Kaibling;;R. Kaiser & A. Blaschka
hk03;98;0;0;0;90;75;0;0;0;0,6;0,25;8;8;NE;20;0;0;2;2011-08-16;;1870;8;47.375962N;13.782740E;Hauser Kaibling;Buntschwingelrasen;R. Kaiser & A. Blaschka
hk04;85;0;0;0;80;15;0;0;0;0,4;0,1;4;4;SW;75;15;0;1;2011-08-16;;2059;14;47.373633N;13.778656E;Hauser Kaibling;;R. Kaiser & A. Blaschka
hk05;99;0;0;0;95;30;0;0;0;0,1;0,04;4;4;NE;15;0;0;1;2011-08-16;;2021;10;47.370654N;13.780655E;Hauser Kaibling;;R. Kaiser & A. Blaschka
hk06;98;0;0;80;75;20;0;0;2,5;0,5;0,3;8;8;S;30;0;0;2;2011-08-16;;1956;13;47.368659N;13.781089E;Hauser Kaibling;;R. Kaiser & A. Blaschka
hk07;97;0;0;5;85;20;0;0;1,5;0,8;0,5;8;8;S;25;3;0;0;2011-08-16;;1863;13;47.366572N;13.780880E;Hauser Kaibling;;R. Kaiser & A. Blaschka
hk08;96;55;0;10;85;25;20;0;5;0,7;0,4;16;16;W;40;2;0;2;2011-08-16;;1878;24;47.364926N;13.777535E;Hauser Kaibling;;R. Kaiser & A. Blaschka
hk09;99;0;0;0;97;40;0;0;0;0,7;0,3;4;4;S;3;0;0;1;2011-08-16;;1847;9;47.364247N;13.775455E;Hauser Kaibling;;R. Kaiser & A. Blaschka
hk10;75;0;0;0;65;15;0;0;0;0,6;0,3;8;8;W;35;0;25;5;2011-08-16;;1961;29;47.361906N;13.779694E;Hauser Kaibling;Schuttflur;R. Kaiser & A. Blaschka
hk11;98;0;0;0;95;15;0;0;0;0,3;0,15;4;4;S;10;0;0;2;2011-08-16;;1980;20;47.360437N;13.780629E;Hauser Kaibling;;R. Kaiser & A. Blaschka
hk12;99;0;0;0;95;35;0;0;0;0,6;0,3;8;8;NW;15;0;0;1;2011-08-16;;1988;11;47.359236N;13.780425E;Hauser Kaibling;;R. Kaiser & A. Blaschka
hk13;99;0;0;0;99;5;0;0;0;0,1;0,05;4;4;N;35;1;0;0;2011-08-16;;2000;23;47.357989N;13.780221E;Hauser Kaibling;;R. Kaiser & A. Blaschka
hk14;92;0;0;0;80;45;0;0;0;0,4;0,15;4;4;E;35;7;0;1;2011-08-16;;2140;16;47.354401N;13.780504E;Hauser Kaibling;;R. Kaiser & A. Blaschka
hk15;84;0;0;0;80;30;0;0;0;0,2;0,05;4;4;NE;10;0;1;0;2011-08-16;;2141;33;47.354717N;13.783190E;Hauser Kaibling;;R. Kaiser & A. Blaschka
hk16;96;0;0;0;90;15;0;0;0;0,25;0,15;4;4;W;40;1;0;3;2011-08-16;;2167;14;47.359562N;13.785287E;Hauser Kaibling;Buntschwingelrasen;R. Kaiser & A. Blaschka
hk17;75;0;0;0;70;20;0;0;0;0,3;0,2;4;4;W;45;25;0;1;2011-08-16;;2182;12;47.360317N;13.785329E;Hauser Kaibling;;R. Kaiser & A. Blaschka
hk18;96;0;0;0;0,3;0,1;0;0;0;0,3;0,1;4;4;W;35;1;0;3;2011-08-16;;2149;15;47.360586N;13.784708E;Hauser Kaibling;;R. Kaiser & A. Blaschka
hk19;98;0;0;0;75;70;0;0;0;0,2;0,05;3;5;NW;10;0;0;2;2011-08-16;Ranker;2109;10;47.361540N;13.783435E;Hauser Kaibling;Alpenazaleen-Windheide;R. Kaiser & A. Blaschka
hk20;85;0;0;0;85;;0;0;0;;;4;4;;;;;15;2009-06-18;;1410;7;47.3906705N;13.7731058E;Hauser Kaibling;Schipiste;A. Blascka
hk21;95;0;0;0;95;;0;0;0;;;4;4;;;;;5;2009-08-12;;1770;7;47.3800807N;13.7822106E;Hauser Kaibling;Schipiste;A. Blascka
hk22;97;0;0;0;97;;0;0;0;;;4;4;;;;;3;2009-08-12;;2000;7;47.3731075N;13.7789266E;Hauser Kaibling;Magerweide;A. Blascka
hk23;90;0;0;0;90;;0;0;0;;;4;4;;;;;10;2008-07-10;;1840;7;47.3754749N;13.7731039E;Hauser Kaibling;Schipiste;A. Blascka
hk24;99;0;0;0;99;;0;0;0;;;4;4;;;;;1;2011-06-28;;1670;7;47.3832674N;13.7699042E;Hauser Kaibling;Schipiste;A. Blascka
