plot;abbr;layer;cov;voucher;comment;history
hk01;achi mill aggr;hl;+;;;
hk01;acon taur taur;hl;1;;;
hk01;agro capi;hl;2a;;;
hk01;anth alpi;hl;2a;;;
hk01;aven flex flex;hl;+;;;
hk01;briz medi;hl;+;;;
hk01;camp sche;hl;+;;;
hk01;care nigr;hl;1;;;
hk01;desc cesp;hl;2b;;;
hk01;fest nigr cens;hl;2a;;;
hk01;geum mont;hl;+;;;
hk01;junc fili;hl;+;;;
hk01;luzu luzu rube;hl;+;;;
hk01;nard stri;hl;3;;;
hk01;phle comm;hl;1;;;
hk01;ranu repe;hl;1;;;
hk01;scor autu;hl;1;;;
hk01;scor helv;hl;+;;;
hk01;sene suba;hl;2a;;;
hk01;sold pusi alpi;hl;+;;;
hk01;tara sect rude;hl;+;;;
hk01;trif repe repe;hl;2b;;;
hk01;vacc myrt;hl;1;;;
hk01;viol bifl;hl;+;;;
hk01;will stip stip;hl;+;;;
hk01;poly form;ml;+;;;
hk01;rhyt triq;ml;2a;;;
hk01;scle puru;ml;1;;;
hk02;anth alpi;hl;1;;;
hk02;aven flex flex;hl;2b;;;
hk02;blec spic;hl;+;;;
hk02;clad rang;hl;+;;;
hk02;desc cesp;hl;+;;;
hk02;dryo cart;hl;+;;;
hk02;gymn dryo;hl;+;;;
hk02;homo alpi;hl;1;;;
hk02;hype macu;hl;+;;;
hk02;luzu luzu rube;hl;2a;;;
hk02;nard stri;hl;1;;;
hk02;oxal acet;hl;1;;;
hk02;pice abie;hl;+;;;
hk02;sold pusi alpi;hl;+;;;
hk02;vacc myrt;hl;4;;;
hk02;vacc viti;hl;+;;;
hk02;vera albu slat;hl;+;;;
hk02;dicr scop;ml;2a;;;
hk02;fiss taxi;ml;+;;;
hk02;hylo sple;ml;2b;;;
hk02;pleu schr;ml;3;;;
hk02;poly form;ml;2b;;;
hk02;rhyt triq;ml;2a;;;
hk02;pice abie;sl;+;;;
hk02;lari deci deci;tl1;1;;;
hk02;pice abie;tl1;3;;;
hk02;pseu furf slat;tl1;2a;;;
hk03;agro capi;hl;1;;;
hk03;anth alpi;hl;1;;;
hk03;athy dist;hl;+;;;
